source,target,weight
0,3,0.31395063945925544
1,2,0.2477896996803639
4,5,0.1408836239772476
5,11,0.2590187625339637
6,13,0.31206641060150486
7,14,0.2040366530418396
7,19,0.11708438396453857
8,41,0.26390010265335
9,38,0.3747257957780864
10,27,0.36967243459251975
10,40,0.31314146082471583
12,33,0.2709457809874204
15,30,0.270413115307594
16,28,1.0000000596046448
16,29,1.0000000596046448
17,34,0.1875150780903904
18,37,0.23897781951141098
20,24,0.24533638151356713
20,25,0.13069602847099304
21,36,0.24911865088448515
22,37,0.4632141279858405
23,37,0.43172383612034804
24,31,0.358150576833604
26,38,0.5933293729672618
30,38,0.27270796943877784
31,32,0.47565915359712607
33,34,0.9834986136947433
35,36,0.9842984705877693
37,39,0.1938076224100772
38,41,0.37703086938293423
