source,target,weight
0,29,0.4123983375181451
1,81,0.1602614136720188
2,68,0.30204851362643464
3,54,0.23798762209752441
4,57,0.29387066117132077
4,32,0.17492333790437783
4,34,0.1277490982437688
5,68,0.2815656694906685
6,62,0.35549213951160386
6,22,0.19963714480400085
7,75,0.17712807655334473
8,55,0.29279043947991956
8,25,0.1328041123865876
9,65,0.47363815397171666
9,57,0.39161637877497907
9,99,0.25147760379025796
10,52,0.43629798330498915
10,40,0.21953698345734607
11,44,0.3571948717970396
12,13,0.2915196823034996
13,98,0.29446019175004634
14,68,0.34970414183103393
14,28,0.2961387363126901
15,47,0.42702987790107727
15,82,0.2755061686038971
16,51,0.14564436674118042
17,43,0.25581295606504084
18,44,0.3401540187910056
18,73,0.2812211700561375
18,77,0.2731243685806882
19,66,0.33897150338684384
20,36,0.6832794097877428
21,66,0.2655539591980836
22,24,0.1849025934934616
23,64,0.5187029008171034
26,66,0.5535028881012034
26,44,0.36713842849998857
26,94,0.32236761260553237
27,78,0.21842177370151744
28,88,0.23590036752294918
30,51,0.7429885030696226
31,38,0.3604637193195326
33,53,0.1402025818824768
35,56,0.14538757503032684
37,83,0.34857676822321687
37,79,0.2809239327468908
38,84,0.40055327223966036
39,63,0.6354055621172883
39,59,0.36038535148339396
41,42,0.2547125355693357
43,51,0.7792729199836088
43,72,0.21232989532372812
45,80,0.3726803284290721
46,65,0.23208969638902013
48,49,0.7070503123731067
50,86,0.7049803446126139
50,78,0.42594972978057505
53,61,0.3560961987139599
54,55,0.4650648654762679
54,61,0.39898010400671635
54,69,0.20754185318946838
54,70,0.292635574544178
54,81,0.2086196669879357
55,68,0.5920691909666633
56,83,0.25513262088323163
58,64,0.6701211244951294
58,87,0.1526384949684143
60,93,0.14579708874225616
61,90,0.3896776300165711
62,83,0.43526845801829667
67,83,0.32157439507201263
71,74,0.2713912270857722
76,80,0.606581678235202
81,85,0.20252856612205505
84,93,0.24575190361652494
89,91,1.0000000596046448
95,97,0.39888354056527753
96,92,0.6644926026948234
97,98,0.32180556839967334
