source,target,weight
0,86,0.4195260818825119
1,86,0.42799401994641306
2,6,0.45631674182457144
2,1391,0.43683486430218355
3,2493,0.43701028846773793
3,710,0.3328421700893005
4,41,0.4525757830915431
5,1328,0.32333021621000113
6,105,0.5222154406038627
6,14,0.47110840375620233
6,47,0.4492293974153746
6,608,0.3989592431087306
6,690,0.4913925406380232
6,1847,0.42705459045408767
6,2050,0.5213707230292304
7,114,0.7514174989441316
8,94,1.0000001192092896
8,168,1.0000001192092896
8,190,1.0000001192092896
8,195,1.0000001192092896
8,216,1.0000001192092896
8,274,1.0000001192092896
8,282,1.0000001192092896
8,298,1.0000001192092896
8,338,1.0000001192092896
8,387,1.0000001192092896
8,406,1.0000001192092896
8,444,1.0000001192092896
8,446,1.0000001192092896
8,447,1.0000001192092896
8,497,1.0000001192092896
8,498,1.0000001192092896
8,501,1.0000001192092896
8,503,1.0000001192092896
8,511,1.0000001192092896
8,517,1.0000001192092896
8,519,1.0000001192092896
8,537,1.0000001192092896
8,609,1.0000001192092896
8,610,1.0000001192092896
8,611,1.0000001192092896
8,612,1.0000001192092896
8,632,1.0000001192092896
8,659,1.0000001192092896
8,672,1.0000001192092896
8,749,1.0000001192092896
8,750,1.0000001192092896
8,848,1.0000001192092896
8,880,1.0000001192092896
8,919,1.0000001192092896
8,959,1.0000001192092896
8,1111,1.0000001192092896
8,1118,1.0000001192092896
8,1119,1.0000001192092896
8,1130,1.0000001192092896
8,1133,1.0000001192092896
8,1197,1.0000001192092896
8,1206,1.0000001192092896
8,1232,1.0000001192092896
8,1256,1.0000001192092896
8,1265,1.0000001192092896
8,1290,1.0000001192092896
8,1302,1.0000001192092896
8,1309,1.0000001192092896
8,1310,1.0000001192092896
8,1319,1.0000001192092896
8,1365,1.0000001192092896
8,1377,1.0000001192092896
8,1454,1.0000001192092896
8,1492,1.0000001192092896
8,1502,1.0000001192092896
8,1646,1.0000001192092896
8,1695,1.0000001192092896
8,1756,1.0000001192092896
8,1757,1.0000001192092896
8,1781,1.0000001192092896
8,1783,1.0000001192092896
8,1850,1.0000001192092896
8,1885,1.0000001192092896
8,1911,1.0000001192092896
8,1940,1.0000001192092896
8,1957,1.0000001192092896
8,1960,1.0000001192092896
8,1994,1.0000001192092896
8,2048,1.0000001192092896
8,2071,1.0000001192092896
8,2082,1.0000001192092896
8,2154,1.0000001192092896
8,2163,1.0000001192092896
8,2277,1.0000001192092896
8,2290,1.0000001192092896
8,2350,1.0000001192092896
8,2429,1.0000001192092896
8,2443,1.0000001192092896
8,2520,1.0000001192092896
8,2707,1.0000001192092896
8,2763,1.0000001192092896
8,2770,1.0000001192092896
8,2800,1.0000001192092896
9,912,0.25091559784988143
10,2535,0.17294946312904358
11,86,0.42205156008383626
12,31,0.42121656219472137
13,2050,0.41533150223548476
13,16,0.3856472962136666
14,22,0.39262866682877995
15,127,0.418412150729989
15,763,0.4149943000738386
15,2691,0.3597615472182676
17,438,0.35464792983666116
18,1419,1.0000000596046448
18,132,0.353835222310233
18,1008,1.0
18,1501,1.0
18,1630,1.0
18,1973,1.0
18,2141,1.0
19,75,0.45746615383295963
20,2194,0.4375530224836458
20,1324,0.4291126762626465
21,33,0.3925669718415584
21,130,0.2891290518018207
23,78,0.3552496910925046
24,884,1.0
24,1126,0.314873394570217
25,1890,0.20789802074432373
26,37,0.46077333852843505
27,34,0.45158921115132045
28,1906,0.4559960032324867
28,607,0.24236491871767663
29,272,0.3807399118861631
30,381,0.350052614389862
32,33,0.5015788131491089
32,35,0.41514472588874823
