source,target,weight
0,95,0.16903927437040817
1,97,0.4003942549528895
1,3,0.1755919570495777
1,23,0.28738528608758596
1,75,0.27305185066554083
1,77,0.25906027635407114
2,98,0.3383851776491954
4,77,0.253726438185758
4,79,0.24622295246346532
5,54,0.4430325125418357
6,19,0.29542213678359985
7,8,1.0000000596046448
9,10,0.9999999701976778
9,60,0.28427638936936733
11,12,1.0000001192092896
11,45,0.16090715723595833
13,34,0.45467842342034537
13,19,0.3272570935196928
13,32,0.2767379883997292
13,95,0.17409700058256583
14,38,0.32596859152249097
15,54,0.24673215744292096
16,18,0.2668908861806243
16,17,0.13747630805242628
16,65,0.19574144504743846
20,88,0.19158261496288173
21,35,0.1940600574016571
22,63,0.4001594963953045
24,96,0.2316097558182776
25,78,0.25583587015157205
26,59,0.2989508519915359
27,28,1.0000000596046448
29,38,0.12780293822288513
30,46,0.20748329099414828
31,99,0.29225822234633003
33,38,0.582787856056167
35,76,0.20937176621812367
36,41,0.283235307835958
37,68,0.20873476564884186
39,68,0.1970673370237203
40,41,0.4008387680440114
41,70,0.2460841329246039
42,56,0.23198615838873715
43,64,0.36998815778333083
43,52,0.36231563544308915
43,57,0.2658188137150124
44,56,0.3613495187835908
44,66,0.2692842051129482
46,48,0.35241274439462517
46,62,0.34337980259175593
47,74,0.3439425612220561
48,53,0.31362511686360317
49,57,0.2000749616573562
50,68,0.16364942697384843
51,74,0.46793563326372495
51,78,0.37349859328979484
52,69,0.26315184795720403
55,74,0.2931326525765585
58,71,0.2501098112277932
59,64,0.36222451795709887
61,64,0.3304934143152041
67,91,0.18657036224700782
71,97,0.3468123806974753
71,72,0.2743429190088423
73,97,0.32281748159269297
74,76,0.2686794444757311
80,98,0.514692458774449
81,82,0.5481691065163867
81,87,0.46143926469885643
81,88,0.43212170950852824
81,90,0.5338122000193777
81,93,0.5012586674946946
82,89,0.5589703609260963
82,83,0.38439864005568636
83,94,0.254717477425751
84,90,0.1534025348344488
85,87,0.37019199586061347
86,87,0.4001314004223565
89,98,0.5640344422900393
91,92,0.42365273153253113
96,99,0.30684072010549446
97,99,0.5609077161404775
