source,target,weight
0,1,0.44005651355736053
0,99,0.1601603776216507
3,2,0.36331959585269735
4,66,0.22883812935492018
5,113,0.28932461042011387
6,40,0.332110859340497
7,69,0.29131138921855937
7,44,0.1657509264135374
8,53,0.2633990856933629
9,11,0.3955243579628637
9,12,0.3370464463083227
10,11,0.26769006773844994
10,56,0.239626982671848
11,57,0.41276724737962367
11,85,0.2987934306526546
13,14,0.3204659066801603
14,95,0.3694831789472393
15,103,0.3043052477667616
15,90,0.23714281526525335
16,97,0.2963787798425602
16,65,0.2609651811625055
17,71,0.30032974789325606
17,93,0.23786042129663787
17,94,0.22079854367761675
18,27,0.3104052684146854
18,76,0.1641010301353385
19,115,0.159496009349823
20,59,0.31889069576502815
20,21,0.23508937986142386
22,36,0.22964531242455719
23,63,0.38568776845932007
24,107,0.33094332478255595
25,26,0.3792931674738994
27,30,0.4540100437885217
27,37,0.34867162311695243
27,51,0.20167429179114446
28,95,0.32866953947574035
28,46,0.29461113003703404
29,108,0.2829490169840657
29,91,0.22265426180399292
30,31,0.27829838275339536
30,38,0.34877826591278543
30,100,0.2894419419422749
32,71,0.6343309465177212
33,129,0.3009530856709819
34,84,0.396156886013162
34,39,0.28930202667598054
34,64,0.28820301391258274
34,97,0.3542611691507491
35,64,0.16251688577266607
36,70,0.39823844111208506
37,69,0.30948931182052886
40,97,0.35391935661738483
41,43,0.49829635903986697
42,43,0.41038137186767204
45,47,0.35934312069952545
48,114,0.2813936392511185
49,50,0.383404577507269
49,74,0.2870312166230079
52,131,0.18997040925257552
52,77,0.18768022053735772
54,71,0.29551458885927095
55,71,0.6108381419097733
57,84,0.42349562168810695
58,68,0.31036242273241316
59,67,0.3649096489937542
59,83,0.13881275057792664
60,66,0.3966114683903784
60,116,0.2165471332167505
61,65,0.17437514505785004
62,65,0.22237378167659366
63,96,1.0000001788139343
63,86,0.33399714237384237
71,104,0.6715482662622723
71,92,0.5584443455039902
71,103,0.6682397720833699
72,112,0.25752899151576003
72,98,0.1839758326101724
73,75,0.2608331445454523
73,82,0.1319983384961025
78,79,0.996679961681366
78,80,0.38971372161569906
81,84,0.3680174299294345
87,88,0.2608940519078873
88,89,0.44587837224244714
92,102,0.5354892529374524
95,125,0.3967407039009172
101,114,0.12319617284985918
105,115,0.19184094830592868
106,110,0.429796687002468
109,110,0.33161417674129345
110,111,0.3917551330148013
117,118,0.3590761907639311
119,121,0.44749076633845586
119,120,0.2109454871100384
121,122,0.3283309507313006
123,125,0.507022960927536
124,125,0.3156264227573612
125,126,0.5359958375211733
127,128,0.4424646455822178
129,130,0.5386861182324664
