source,target,weight
0,564,0.2871918572823754
1,1867,0.4258666592704392
1,2503,0.39564334269674994
2,14,0.3803155391288739
3,9518,0.40079111944157897
4,1057,0.37705734668917174
4,263,0.34574735066575885
4,1868,0.20835301280021667
5,8672,0.40489155372443664
6,239,0.32541154532777467
7,1824,0.3740198234715187
7,40,0.3293132858209648
8,9168,0.5311447182962503
8,77,0.4452105855916167
8,6845,0.4315702131075088
9,56,0.8123845209789591
10,986,0.5273384031716608
11,5241,0.2918552324714928
12,36,0.4033681365765742
13,7131,0.4911689333400314
14,69,0.3957114304274064
15,2791,0.3245069323008756
16,9392,0.38914701413057107
17,2485,0.36810170156178973
18,32,0.3496076246406443
18,6783,0.27460440132693964
19,2424,0.4141178919380132
20,6521,0.3535700571913744
20,747,0.33130024193438484
20,2680,0.29783076038922296
21,1065,0.2583496089022157
22,55,0.3892163585943196
22,64,0.32785409109464925
22,1799,0.2776550630580712
23,99,0.4017598505271623
23,2217,0.36726096109670037
24,5612,0.2254385308897971
25,80,0.3468486647921714
26,7030,0.44586564836104403
27,1124,0.46471269469519094
28,7145,0.4988071881699625
28,3985,0.34972602806148034
29,7368,0.32599484092702224
30,627,0.25359206508326915
31,7897,0.30062843017014823
32,9261,0.4442770009301198
33,7944,0.3427615162023995
34,1254,0.6452074500224807
34,4657,0.33279961096083804
35,2240,0.358539489792865
35,154,0.35820484601818015
36,688,0.4183492187798556
36,3670,0.3733459924501533
37,1347,0.2989256968753984
38,1188,0.3982688441947331
39,6658,0.2543039225401097
41,151,0.40900640968389473
41,287,0.37484343599641784
42,95,0.4608151424713455
43,1530,0.36067500635063904
44,5731,0.2963561598198997
45,7896,0.4357075774396017
46,709,0.3267807326015913
47,1696,0.4942811103900866
48,2033,0.4883768949466204
48,2094,0.298141217538596
48,2735,0.304006852627229
48,9240,0.2741815256176926
49,4414,0.45259935208205043
49,1256,0.39882425965604457
50,7147,0.474278167194103
50,5853,0.3871066868288569
50,6867,0.39876892619967336
51,2350,0.42681408495703954
52,8565,0.30569601118640893
53,437,0.3629563622196426
