source,target,weight
0,1,0.42303449889445377
0,5,0.327534440951045
0,106,0.42157214057054465
1,16,0.3083573909581564
2,6,0.45504715568950815
2,104,0.20943414603156435
3,89,0.2380717267642452
4,38,0.19190067545437461
5,93,0.31298381825499255
5,96,0.2163660077939212
6,80,0.22385360756533662
7,11,0.48283455256805946
8,14,0.4896394387761168
9,102,0.3318852835079289
10,72,0.35235814051195946
11,32,0.29562237270393854
12,72,0.2287549964893404
13,31,0.18255841732025146
13,29,0.16261520981788635
14,42,0.452026357997706
14,98,0.3241958767555491
14,112,0.40614704809627744
15,17,0.2512809932231903
16,21,0.2243110756107718
16,101,0.29589999917086374
18,55,0.3104129670023772
19,20,0.346562348953079
19,25,0.26964039302530163
20,23,0.3687260815817742
20,24,0.3214520773029281
22,23,0.3384419872420717
26,41,0.38878618290679057
27,28,0.812080774891938
30,102,0.517395847187267
30,72,0.4233848182846499
33,84,0.3715788276273424
34,102,0.4398068926005041
35,108,0.4095021371492424
36,87,0.19475455255901705
37,46,0.37081460579769254
38,60,0.21334613041986816
39,106,0.20787182397799978
40,43,0.4808893586722621
41,42,0.4437297281245099
41,109,0.43843056594487634
43,44,0.42818578501952265
44,103,0.32070374528234297
45,49,0.4167387211433838
46,90,0.5262075543469024
46,91,0.15739744935477418
47,48,0.4619768717738295
48,71,0.4743314205916052
50,71,0.3986354883928954
51,52,0.4832957929993703
53,89,0.24439451404781365
54,71,0.4143503296910361
55,111,0.4085516600827986
56,73,0.14283376932144165
57,63,0.3471845947195418
57,58,0.2864668726636189
57,59,0.32688744120345997
60,65,0.38883247399478826
61,66,0.42323801217298895
61,62,0.3629916257816728
63,64,0.5255901055174634
66,67,0.3738716784282135
68,113,0.29789860713805905
69,70,0.4098808281322629
72,74,0.32154342191416313
73,102,0.38498936824563745
73,118,0.22561956428581137
75,78,0.5494887952035571
76,78,0.5353913078503391
76,81,0.5072406471655367
76,82,0.3384360313894754
76,84,0.4264378622041571
77,78,0.4687751638795625
78,83,0.5006758158914107
78,85,0.5289195849348576
79,110,0.28852185581630946
85,86,0.4474409051220759
88,92,0.14292776446402256
90,94,0.3318463777182813
90,97,0.37485596316188463
90,115,0.31816071182362643
92,114,0.1586216390132904
93,100,0.27185413505386563
95,98,0.3001583651741578
97,99,0.2955010242805395
105,108,0.47261074472594444
107,118,0.15787106878638543
110,111,0.5170879072095605
111,113,0.3534085185666621
114,119,0.25912312301454465
114,117,0.1478126347064972
116,118,0.11635880172252655
