source,target,weight
0,95,0.18176665902137756
1,27,0.46694532753330564
1,4,0.38991848272532525
1,8,0.4110156854486386
2,64,0.1940742358138632
3,14,0.3291599600762321
3,56,0.1995657278563407
3,100,0.30426948272568605
4,36,0.22838801051076596
5,27,0.42350128014018806
6,17,0.5182227108597115
6,7,0.3540730566501579
8,103,0.16526181445944754
9,47,0.36306290092063565
9,81,0.30078339222262507
10,73,0.4234609166936325
11,12,0.5381794493506629
13,23,0.13054430965123157
14,21,0.3944233566240004
15,21,0.5475732783351872
15,28,0.4497747697933362
16,85,0.2203710031471565
16,59,0.15966277774196344
17,33,0.4456108016312331
18,69,0.31904232205243443
19,23,0.2041119540771774
20,21,0.37723165032798095
21,42,0.45018291441608194
22,31,0.2941187235508115
23,24,0.26748314557326663
24,34,0.3860110962774169
25,34,0.3373964805562587
25,35,0.33273405740505546
25,62,0.21907429211661858
26,60,0.1890552068888793
29,40,0.4264599948151428
30,65,0.19904135761221345
31,32,0.3131834212518643
32,69,0.347825601083774
34,47,0.4005802137032374
34,77,0.285314229662339
36,50,0.14494162718875503
37,73,0.4333724826629466
37,71,0.30397021202035024
38,80,0.3727061665509088
39,47,0.4119392190218673
40,41,0.4818704429157817
42,46,0.3067824185782591
43,65,0.23776449774650754
44,82,0.37940914440231827
45,82,0.32809971542654737
47,52,0.4131125235708235
48,60,0.39525742791743784
48,54,0.34621460644184127
49,54,0.31667539482897694
51,53,0.33377964874999855
52,55,0.27156809992440806
53,58,0.34954273395322477
57,58,0.3007864787808774
57,83,0.1617506903906979
60,79,0.22126385244550242
61,105,0.22053566575050354
63,100,0.18526947498321533
66,85,0.22350149302373412
67,68,0.2652121638010927
69,73,0.36808876077818425
70,72,0.5554718372438114
73,80,0.3936981757116351
74,98,0.148762509226799
75,76,0.3337999539324054
77,78,0.15272079408168793
83,88,0.15497487783432007
84,85,0.5436461823818763
85,86,0.32035528932662194
87,96,0.15573740005493164
89,93,0.5432263384078453
89,90,0.356779647071447
89,92,0.4048731172538831
89,94,0.36851876781884346
89,98,0.4607849203275266
89,104,0.18542277259643175
91,99,0.166172073844975
95,97,0.20888600975477303
96,98,0.4173509498571509
97,98,0.43066447883188397
101,105,0.2684541940689087
102,105,0.4777008915118527
