source,target,weight
0,47,0.2340037890956363
1,48,0.2940977457277181
2,22,0.25689308729725513
2,4,0.23865892826597862
3,10,0.21483668684959412
5,39,0.13834163546562195
6,62,0.2848353628745957
6,39,0.27906094054341385
7,36,0.26686099467658675
7,60,0.24631262599497758
8,53,0.24759737175015767
9,10,0.32923001396912055
9,15,0.30093831820224193
10,46,0.3885655655429294
11,58,0.2891390973906273
12,27,0.21281211061075184
13,51,0.28816508565916016
14,90,0.33548657089843004
14,47,0.32372162894971873
14,86,0.2999139778031169
16,23,0.27521621072409275
17,21,0.14876632392406464
18,37,0.17425349354743958
19,66,0.2145691337237827
20,53,0.33853996470721665
20,25,0.303098716339665
20,38,0.14415501078231038
20,78,0.21822958880106846
21,86,0.2099800705909729
22,53,0.2999388172941083
23,52,0.3572442623170429
24,32,0.3283319078838232
24,75,0.22128064477607076
26,46,0.25724787500834695
28,53,0.2687220530920286
28,73,0.1762264648138492
28,81,0.25083369209123585
29,30,0.28691704350894
30,58,0.3471113354974026
31,32,0.4679783666761034
31,33,0.45213640449237336
33,34,0.40652504389415645
35,53,0.29308199853934347
36,57,0.44897661929363736
40,61,0.37548913484716084
40,43,0.3158883083425198
40,68,0.25308078736576983
41,85,0.10148599743843079
42,44,0.26115177555134694
45,72,0.3089023185976499
49,62,0.3046225529185804
50,64,0.3058909238572842
51,64,0.2922098362384162
52,87,0.2727842215925792
53,69,0.38615537045699166
53,66,0.29530441708726657
53,77,0.20670288919001395
54,89,0.19102463126182556
55,56,0.3466414100486662
56,79,0.3767168731990508
56,84,0.33462754629336744
58,62,0.419748997286957
58,90,0.40492113002289515
59,61,0.37470179382475494
61,89,0.278870378562788
63,80,0.2331709120536988
65,67,0.26707739562979577
66,71,0.2883462297461453
67,86,0.29357196581217665
67,88,0.19262161149362955
70,80,0.3343079681389117
74,84,0.3257043176909283
76,86,0.17903261517318594
80,85,0.2246939818586068
82,83,0.30254642256305886
