source,target,weight
0,22,0.3873605246960923
1,21,0.5330755362036145
1,7,0.4816312656908274
2,10,0.45422131329601184
2,9,0.42884736675990576
2,442,0.382416820537275
3,75,0.6707130873828844
3,5,0.2710819234221481
3,575,0.2947753678601619
3,724,0.3583487782953734
3,784,0.281871151868736
3,853,0.6251350407259576
3,919,0.2160766340657745
4,228,0.3282863407739533
5,173,0.23122978352647225
6,14,0.39440319647611877
6,13,0.32289502391119357
8,76,0.20370607862626505
9,17,0.2556863531666574
11,79,0.38771593909823016
12,353,0.30101346803356466
15,81,0.47333294684328264
15,404,0.4231751157400368
16,877,0.25562298938906486
18,19,0.37203209875876553
20,825,0.3193132401924459
20,698,0.2097348958012598
23,155,0.2521497662040404
23,436,0.213438059203912
24,345,0.308005422448193
25,656,0.3177992959862892
25,730,0.14120711386203766
26,37,0.372368424344791
27,492,0.2903148785550315
28,877,0.4332412249512494
29,470,0.2277314629013773
30,154,0.4087530139178594
31,920,0.9543314874172211
31,39,0.46412032378756146
31,84,0.3849841871051161
31,413,0.2720431761997606
31,909,0.4702159959026617
32,621,0.28644242882728577
33,230,0.2375410795211792
33,111,0.23296166045203026
34,354,0.30279406153048405
35,63,0.26496720168056126
36,228,0.3732982620788874
37,255,0.3462176363557925
38,365,0.24021307785996013
40,523,0.5162877509301056
40,43,0.27768732570274773
40,175,0.243858569603644
40,623,0.43839962207576644
41,355,0.227735506510926
42,726,0.27784852879754107
44,543,0.2629466777005434
45,278,0.5286919635349913
45,48,0.33937259527357466
46,278,0.37231949622340665
47,201,0.22980722784996033
49,52,0.2549754075955747
50,53,0.4797937783381455
51,77,0.30858077555566293
52,53,0.37698853985849645
53,61,0.46796501224110726
54,278,0.47152946289271075
55,882,0.361542060637544
56,59,0.27754083139948016
56,772,0.2639947266706219
57,749,0.2870459361816573
58,73,0.5051987753913025
60,66,0.6141908175054624
61,63,0.4141620547318248
61,541,0.2444046792037747
62,76,0.30849706095981244
64,752,0.42109725819591287
64,917,0.3564224594926356
65,73,0.47451416130461965
66,860,0.37104039061761573
67,73,0.5771767917489974
68,421,0.22219614208119887
69,73,0.4684175116579615
69,161,0.33285544672189354
70,211,0.32121783579999086
71,881,0.44612442825312876
72,810,0.23027779660275927
73,879,0.42515406242027776
74,524,0.37048296604063946
74,183,0.27336854938574295
74,491,0.19822818040847778
75,688,0.42678394621590793
75,903,0.6465979177729282
76,602,0.3716812713751928
76,269,0.32318154735609894
76,318,0.27051206241917986
78,115,0.2329581082972638
78,836,0.15953978896141052
79,82,0.35791755800975933
79,83,0.3110778650357844
80,831,0.23244338006185766
81,791,0.3920329545868184
85,404,0.38255499670847504
86,836,0.1517513394355774
87,125,0.33099332329985187
87,325,0.20792393386363983
88,152,0.3925207479900238
89,195,0.5103260678572865
90,152,0.3775938759586899
91,375,0.37117551742290406
91,721,0.2377462044358317
92,692,0.44799930911172425
92,711,0.42707201103705855
93,388,0.5326030797270505
93,158,0.38659848621650605
93,335,0.4944438249310929
94,240,0.4313977011600548
94,135,0.382418139897049
95,140,0.33619578746737183
95,525,0.31692190260813646
96,215,0.4354276192298081
97,189,0.4337476122485444
97,150,0.42230814087517654
97,209,0.30180300572552976
98,151,0.25847156980909064
99,254,0.21705784758679555
100,115,0.34111503284003486
101,258,0.3866577023869971
102,236,0.3235968780883899
102,392,0.2536550199978534
103,152,0.4254400386860553
103,148,0.4139720686517092
103,399,0.32835353754329183
104,300,0.4667189031632813
104,129,0.37962171455114607
104,130,0.3829677649628379
105,189,0.45650234100806175
105,190,0.43516670950348363
106,120,0.3743955624206266
106,146,0.34184727076717214
106,608,0.28547843828748504
107,212,0.4410314223286018
107,910,0.32534400004329894
108,913,0.2639479637145996
109,189,0.3801710152033535
110,118,0.38242853371591434
112,335,0.4166366155090082
113,169,0.26730359097232936
114,360,0.32696701017174407
115,121,0.28567734929421695
116,138,0.5184043105570426
116,133,0.47882296862331253
116,499,0.4715406673451521
117,222,0.3656440583481214
118,329,0.40362456303481176
119,251,0.22156829781636267
120,395,0.4587624193465698
120,312,0.37289210681921603
122,263,0.2236059807100806
122,600,0.20370861592914108
123,324,0.39008087766680066
124,314,0.4762241031487793
124,127,0.3129230970308404
124,862,0.17808231852092654
125,257,0.4647870421315711
126,136,0.30183103524342086
127,326,0.20875655424037137
128,282,0.4250436038335017
128,275,0.3658341726769869
131,889,0.29077177742470894
132,314,0.4682203747851916
132,267,0.3017870250520211
133,155,0.4106204511315875
133,205,0.38855096724825844
134,314,0.2675060103390933
136,301,0.5396086228920403
136,204,0.2329157740228669
137,203,0.32392880460333
138,144,0.5250865882748085
139,300,0.4959487224604317
139,298,0.36339346998771677
141,711,0.2031607964319946
142,233,0.4536806649293906
142,174,0.4310039842780171
143,239,0.3322407409133328
144,162,0.4498608052035273
144,683,0.250154328948635
145,720,0.3491934456929394
145,519,0.3145437665684571
147,178,0.35083848175453325
148,297,0.3652699941045621
149,358,0.27001815070726376
149,590,0.25113592317872446
151,692,0.33007889455159123
152,251,0.4292903184615592
152,263,0.35280700317551306
152,390,0.36101792690917706
153,232,0.4791955127487342
153,198,0.4235684350581795
153,763,0.2671279395667385
156,184,0.41244018873043875
157,757,0.336096693851031
158,262,0.32738293828951726
159,692,0.3631893538455517
160,245,0.4770367621014678
163,688,0.22738518002426295
164,428,0.2737965954431826
165,635,0.27190121532765216
166,167,0.4321898937380555
166,178,0.42225705378666123
166,186,0.3287836733000898
167,235,0.3941722130957847
168,499,0.38202530142583446
169,213,0.2872821555590518
170,428,0.2847524657639988
171,177,0.4289339955270347
172,885,0.2829785749328321
176,180,0.30409861434002206
177,888,0.2693546014378527
179,451,0.2748402409870687
181,300,0.42623561200565874
182,635,0.3227581722318469
185,310,0.40557585414116515
186,531,0.2906784615085515
187,626,0.27390131953434527
188,190,0.4344155772837666
191,215,0.42707569959546804
192,779,0.4405293711501451
192,372,0.3956015160932267
193,561,0.1986189685881618
194,234,0.4252489850183217
194,918,0.29396438271652436
195,758,0.2742771159490529
196,488,0.3470097544010417
197,685,0.36629448057719094
199,222,0.2797268931708596
200,207,0.49457875193555456
202,243,0.8659088956038619
203,207,0.6381438727006372
203,210,0.4560479689172924
206,241,0.41473877021016603
207,211,0.4045008703192781
208,439,0.18141228199295606
210,216,0.36004348321434
211,242,0.20548321596346053
213,692,0.3360555917419399
214,635,0.3747164876835893
214,863,0.28974242501606406
215,232,0.5043446333863232
217,231,0.3252446835311873
217,540,0.21386290237185968
218,342,0.20960453152656555
219,507,0.2212703824043274
220,303,0.31915438611469904
221,247,0.2264586921289562
222,635,0.4301972126571886
223,913,0.5875636735447254
224,748,0.3058095076825029
225,534,0.2987998085726736
226,232,0.43866236033689743
227,664,0.24397818744182587
228,314,0.4191888480642274
228,270,0.36606786608916964
229,735,0.3205876398925504
230,749,0.26214029492071494
230,715,0.22717897816251525
233,654,0.5115724055654397
237,577,0.2393745176225095
238,411,0.264564618172553
240,388,0.45803604425309036
241,250,0.42843979597091675
243,593,0.32297182839474703
244,249,0.43823957548693737
244,253,0.35254381847907307
246,248,0.39074108261032614
247,375,0.35285272978126997
248,296,0.3659953961633866
250,547,0.44724003224572073
251,692,0.5291775496569978
252,254,0.38029348310739136
254,260,0.3671826596217266
255,670,0.2331908891803003
256,501,0.2844067457997398
258,324,0.48115961354608927
258,328,0.33792209017663327
259,654,0.3343262556513801
261,323,0.19972057330431797
264,293,0.31653868023110643
265,266,0.32098639390175887
267,271,0.19586930697348098
267,514,0.22857320749529522
268,282,0.4140948217571013
272,731,0.18537124720391263
273,492,0.22248040856076562
274,335,0.4941919682348638
276,608,0.2174851674503972
277,385,0.38733298276747485
277,749,0.3686472344080659
277,887,0.23536016175064875
279,781,0.29592465605169205
280,594,0.29717534271116386
280,691,0.22748251241745066
281,667,0.35812662573090026
283,288,0.4493318109535893
284,317,0.3608421165578694
284,321,0.27669737262302174
285,286,0.46416989008491916
285,752,0.439621172057026
286,290,0.5688333536202899
286,289,0.5011060866427401
287,288,0.4837571582705906
288,292,0.558672556942765
288,291,0.3230188578434964
290,805,0.2843963538739879
291,838,0.23941160780723228
293,765,0.35439812022483064
294,851,0.3884505423937935
294,309,0.3613880871309918
295,733,0.3229881082285153
299,340,0.2646058940323061
300,334,0.5080240901202775
300,323,0.46155097707076487
302,343,0.3209346044751898
304,358,0.3821363278161947
305,333,0.44611729442049486
305,869,0.4089105021924843
306,720,0.18897192313184472
307,804,0.40944889360280623
308,605,0.2956128182861388
309,926,0.18999886512756348
310,350,0.36757438446306917
310,578,0.40101681809304646
311,335,0.38600682979040146
312,394,0.20287896287453633
313,395,0.2722186161871992
313,526,0.2100122542663482
314,806,1.0000001788139343
314,417,0.3345810994104566
314,479,0.5165378634703637
314,750,0.24870146811008453
315,365,0.279838865830234
316,533,0.43335700751265716
316,456,0.3052334316497374
316,510,0.3784001875869435
316,790,0.17372442953284573
319,320,0.48197748042361754
322,742,0.26286939042346225
327,692,0.400811995418968
329,345,0.4199379509310805
330,344,0.44471192143636695
330,349,0.40309584837132384
331,830,0.2267822661178199
332,345,0.45585997035201753
332,339,0.41606723386502775
332,412,0.40732629696931544
333,792,0.37946880390587495
335,892,0.4459448743936164
336,898,0.29342406373038304
337,410,0.26554305492281327
338,340,0.31002056353424307
341,554,0.3154440718248512
342,392,0.23797480666729282
344,345,0.44522950918809345
345,352,0.3690635934077793
345,364,0.35783221733427545
346,804,0.4548208848158276
346,362,0.3946407242900241
347,566,0.28560050960141825
347,673,0.2523232250765325
348,349,0.27892196185573914
349,386,0.4020213184785426
351,353,0.41171313301532914
353,355,0.3124726088042691
356,757,0.30145642603503797
357,499,0.3150856069782289
358,827,0.2587157450341
359,774,0.43894005668969616
359,430,0.3168024312510232
361,438,0.340383386878198
363,389,0.4158536064303392
365,524,0.3329997195988157
366,409,0.41022569004507253
367,387,0.4836735219627525
367,622,0.3462231277785732
368,606,0.2689842175006235
369,609,1.0000000596046448
369,382,0.3758422906340885
