source,target,weight
0,51,0.41802444840081077
1,98,0.16953334116806346
1,27,0.16308585658691768
2,51,0.32320607628488673
3,13,0.14689326286315918
4,6,0.4218656141470577
5,51,0.40251136117018776
5,55,0.38905442933554213
6,114,0.2981195495083739
7,39,0.38387282800498557
7,95,0.23548814367681664
8,115,0.2880724215720576
9,59,0.20248869550714735
10,44,0.28970317355087793
11,135,0.3175363681915666
11,53,0.3060011237341399
12,66,0.30555787951031116
13,29,0.1743565797805786
14,50,0.3504813739621238
15,16,0.5331426425123663
16,84,0.22472638521747246
17,113,0.3841845319451363
18,113,0.3093056509511133
19,62,0.23848373793102728
20,109,0.4560987713701366
20,45,0.4021609883932324
20,46,0.3738860565301119
21,22,0.2814501377459093
22,32,0.41949356959700956
22,77,0.3311124790024236
23,38,0.3060467103246812
24,138,0.2567400098625611
24,30,0.24086344465710596
25,34,0.4315497632912051
25,64,0.35880137473074225
26,72,0.35285547109217885
28,93,0.31192044364340443
29,121,0.20331066846847534
31,33,0.5115228704095114
31,96,0.2785130074674248
33,35,0.3359903242240797
36,117,0.24400492649778813
37,57,0.3335195229775242
39,139,0.41872315421633416
40,59,0.15732964578635134
41,131,0.44158009417801597
41,116,0.27682452024050513
41,138,0.29613691450800084
42,48,0.3423685659834369
43,98,0.4308219563752345
43,44,0.32830929723933205
45,142,0.3154864228018286
47,52,1.0
47,75,1.0
48,98,0.38441504659867837
48,74,0.2913188796384732
49,121,0.4485812725239376
49,122,0.3824163081016472
50,104,0.3744100513432615
51,93,0.5247552510937858
54,109,0.4481184982851564
54,66,0.39886762929050823
54,137,0.3785786777395882
54,141,0.39112736103610024
56,89,0.16809855350526076
57,132,0.3483261936576907
58,80,0.4106862056886118
59,118,0.27470884139211077
60,83,0.2222740961243545
61,66,0.29655420015513245
62,106,0.35677964741899343
63,109,0.33915592203519324
65,72,0.23470980182933177
66,78,0.3079484963317615
67,111,0.26744473654707657
68,73,0.32888888094863467
69,70,0.5071672023349365
71,72,0.3868900545894074
73,88,0.36730517137616936
76,93,0.26564178012411244
79,114,0.18912193052936688
80,86,0.43702915513766893
80,83,0.31279173953075123
80,124,0.27073172933273776
81,136,0.48750596188628004
82,101,0.3475294243050544
82,85,0.255029319779483
87,88,0.4486833037837946
87,135,0.3300673279285112
89,97,0.255312950994006
90,107,0.37281767997356124
91,115,0.46587109005443017
91,94,0.3486719344234854
91,128,0.4375122945605116
92,99,0.241494417698355
99,115,0.32606952812047396
100,132,0.3859974977096057
101,136,0.3698413767242923
102,112,0.39656087051602656
103,121,0.15312033891677856
105,106,0.4608320141337048
107,108,0.5437304686100359
109,111,0.4934382640846183
109,125,0.4463849654194302
109,131,0.4537838261535816
110,113,0.2549210829170992
117,121,0.3140096169402188
118,123,0.4398767010563475
119,130,0.4545128235780682
119,120,0.43758612685919485
121,133,0.35277020387184405
126,131,0.417330418111914
127,143,0.2868153125203625
129,140,0.27599733230626555
129,134,0.13608238101005554
130,143,0.3980435821720887
132,141,0.38769782421724264
139,140,0.4263858951875005
143,144,0.36092613603910356
