source,target,weight
0,1,0.3569711853827944
0,3,0.33008907617726424
0,267,0.3355518317383223
1,202,0.4309137657036977
1,150,0.3574482263163792
1,259,0.38554169388143716
1,299,0.3493659324213222
2,29,0.38697755821044755
3,21,0.29012864005949
4,160,0.22257092960042646
5,75,0.7711466939969287
5,17,0.40467907086151544
5,67,0.7099623966000856
5,118,0.43747054261790097
5,240,0.3537173941068634
6,157,0.42751678484641853
6,42,0.20803669017341922
6,206,0.36175538741448876
7,15,0.22319986786804652
8,11,0.3320912968302119
9,11,0.2901298578406035
10,15,0.6071097425102994
12,13,0.23278053171928986
13,14,0.387495992598453
13,114,0.3497653135963065
16,272,0.3928413406795461
18,88,0.33317384130340666
18,112,0.3066855557294843
18,301,0.2593517266549807
19,179,0.24113482236862183
20,115,0.28188467194666866
22,267,0.31843359995922793
22,140,0.26308546329252097
23,131,0.4823160185642764
24,131,0.1472921371459961
25,46,0.21985147827064824
26,130,0.24411913794604775
26,96,0.19992353120187953
27,106,0.2022325583654304
28,86,0.2345957577663195
29,36,0.5915874551401431
29,32,0.3640674280902078
30,238,0.3631421973006223
31,300,0.29362998439092236
32,136,0.2672367211700231
33,34,0.3796998685741835
33,41,0.272693229383084
35,272,0.3607405256070033
36,64,0.3384505781640008
36,254,0.43562529658805366
37,41,0.27196822911476226
38,292,0.2455095247564403
39,75,0.8109276290921424
39,128,0.33817416563185543
40,279,0.2505680091606317
43,44,0.31875957612083694
45,61,0.5971081023558574
45,257,0.48741027320031416
46,65,0.4334914089680736
46,177,0.43058664684002923
47,103,0.36538579676646604
48,180,0.33619996680015346
48,60,0.31994494173876464
49,50,0.48011055031563715
49,55,0.4369446735796654
49,65,0.44975500456738793
49,188,0.3444577956823884
50,52,0.37444341364401434
51,266,0.2954781721071782
51,262,0.2535113058571431
53,61,0.5406293537753075
53,57,0.4219662364608674
53,239,0.48583782800364383
53,255,0.2350502296995792
54,107,0.39395659178975445
55,58,0.42982321212479146
55,266,0.31125073884641424
56,242,0.36254388061827714
58,59,0.34062529472852704
59,176,0.27119020904741337
59,269,0.30021951714046763
62,224,0.44657948311412193
62,244,0.39232854066462397
62,278,0.36967256727970493
63,256,0.4786181411597892
63,182,0.3112179113406175
66,205,0.5723386227897845
66,192,0.33643824427451485
68,214,0.34924827174397843
69,241,0.6213041529561915
70,116,0.20563988422485963
71,202,0.30852986779067854
72,245,0.255064486259598
73,83,0.944650108749934
74,102,0.32454005892693694
75,92,0.36449537180042296
76,121,1.0000001788139343
76,283,0.3245468921348799
77,185,0.3328299197359058
78,149,0.28953621439072286
78,79,0.27435464247284014
80,81,0.420135459962667
80,82,0.28097595870734304
80,84,0.27028731211276047
85,121,0.3963464530306011
85,146,0.3155555725097656
85,302,0.22438624942934154
86,210,0.5379519296949218
87,224,0.25770189829630513
89,123,0.36484327474062966
89,171,0.2777550694175873
90,193,0.6944253661668662
90,203,0.3335764433496974
91,219,0.31850705168816396
93,224,0.35349227950183043
94,226,0.23554525389588393
95,215,0.37929307554447206
97,270,0.2634711979292658
97,198,0.24319468119050167
98,243,0.3601588852247347
99,241,0.5031266887842409
100,140,0.24428751427234746
101,103,0.5049741158554478
103,184,0.3007217745481853
104,245,0.1813402245292926
105,110,0.43367498533443893
106,159,0.5185089370787348
107,110,0.4749871894350404
107,111,0.39524279747029145
107,113,0.42743593640874605
108,206,0.3467203166092753
108,189,0.3443689502017415
109,131,0.28469568490982056
115,186,0.6423341181813003
115,232,0.5368588813632117
116,186,0.393146709064132
117,278,0.166206493973732
119,213,0.3589639022209293
120,204,0.35708101730988256
121,268,1.0000001788139343
122,226,0.6357381072202333
122,190,0.2804303765296936
124,268,0.1795549988746643
124,253,0.10570421069860458
125,127,0.2965953161629044
126,279,0.27681250329584656
127,129,0.3744155971103373
130,199,0.30358105314383355
132,209,0.35245921392593016
133,134,0.3746762674518347
135,217,0.27710227538150217
136,231,0.17298367466217332
137,248,0.2569592332632611
138,139,0.3331637675878338
138,211,0.30652638168238044
139,144,0.5088517853643265
141,256,0.18871176899576345
