source,target,weight
0,335,0.24801315919857192
1,340,0.19821361829954692
2,318,0.43404838404885615
2,151,0.3684651770238808
3,135,0.4632440127421553
3,137,0.32603012690402977
3,747,0.3726872744525474
4,663,0.3842616938660043
5,256,0.3522530150942094
5,166,0.3389737280750678
5,264,0.331742043695054
5,576,0.20011667775838282
6,701,0.28369429288924675
6,790,0.21111615784419596
7,41,0.19905551304929384
8,11,0.6239860877300174
8,579,0.5090158899096867
8,680,0.31324763872943107
9,14,0.4988711350610216
10,347,0.3949200197134499
10,266,0.32751679227926767
11,714,0.47684706863390214
12,13,0.4982930395889076
12,122,0.4948372418807105
12,171,0.3555198970260546
13,15,0.4810419071367045
13,21,0.4444123504691146
14,49,0.50027557303484
14,17,0.3819005163446534
14,346,0.4062771354257289
14,446,0.36734579966495096
14,497,0.38065453726836107
15,18,0.4012839595641764
15,404,0.446840813495974
16,18,0.3494699682248724
19,396,0.4877312833882904
20,42,0.4369645945924366
22,28,0.34656851656353416
23,430,0.31106588892954323
24,674,0.1646149456501007
25,28,0.3571226073468225
26,27,0.3664098178363054
29,783,0.9999999999999999
29,690,0.9999999701976775
30,335,0.47466943602047296
30,729,0.44849244880881617
31,110,0.5185434361069373
31,39,0.3999256211175777
31,486,0.44389297308596815
31,578,0.3652463388566123
32,193,0.3411734732313779
33,474,0.4460869501499326
33,534,0.34976358047679124
34,41,0.4617354504302995
34,803,0.32300494247511946
35,318,0.4674129168156437
35,813,0.43604498289199023
36,582,0.2955937851046815
37,783,0.9999999999999999
38,51,0.31727945041716565
40,519,0.5181597720120361
41,134,0.2254119052754097
42,239,0.5119713154912197
42,44,0.4861734189142054
42,127,0.38449572554595346
42,628,0.4727887945478104
42,655,0.4822745680158043
43,44,0.3369945666746151
44,133,0.2977080889659881
45,121,0.2808861695887147
46,61,0.39295586005720595
46,771,0.3541209212313491
47,728,0.23152493700014726
48,49,0.32419823172760115
49,339,0.291059955086434
49,689,0.42413052318476063
49,795,0.23471184021225436
50,59,1.0000001192092896
50,270,1.0000001192092896
50,441,1.0000001192092896
50,449,1.0000001192092896
51,362,0.3874221977380465
51,308,0.3523143022691534
52,64,0.3873309668259215
53,58,0.4119011280815199
54,597,0.4056410596634667
55,723,0.2455332275221453
56,520,0.3992252198069359
57,662,0.27838984217399015
58,65,0.21709734242703818
59,422,1.0000001192092896
60,69,1.0000001192092896
60,70,1.0000001192092896
60,82,1.0000001192092896
60,119,1.0000001192092896
60,218,1.0000001192092896
60,272,1.0000001192092896
60,296,1.0000001192092896
60,297,1.0000001192092896
60,309,1.0000001192092896
60,310,1.0000001192092896
60,320,1.0000001192092896
60,395,1.0000001192092896
60,471,0.33279284743720233
60,561,1.0000001192092896
60,629,1.0000001192092896
60,631,1.0000001192092896
60,673,1.0000001192092896
60,684,1.0000001192092896
60,796,1.0000001192092896
60,797,1.0000001192092896
60,798,1.0000001192092896
61,62,0.28725612639345327
61,194,0.1519450843334198
63,527,0.14213332533836365
64,559,0.3883738721913218
66,254,0.1689700746786052
67,121,0.3415291699975943
68,466,0.28713669860877444
68,521,0.27390216446397847
69,646,1.0000001192092896
69,738,1.0000001192092896
69,777,1.0000001192092896
71,276,0.48713795235483925
71,76,0.2974148961130153
72,525,0.381035307660707
73,692,0.35551782904874235
74,80,0.3710922205920331
75,427,0.4801136400399074
77,458,0.31944519639128377
78,345,0.36745381156632406
79,778,0.38296286268067947
80,83,0.490650907558369
81,358,0.31579004479179285
81,376,0.3000667114927421
84,590,0.4617758813917091
84,88,0.36102624591423094
84,208,0.42836005888830353
85,108,0.320541493483516
85,190,0.1447332203388214
86,402,0.5253425634373069
86,89,0.5014393262868181
86,237,0.41166438079536405
87,761,0.3727840483188629
90,130,0.9999999403953552
90,505,0.32995738837274374
90,570,0.9999999403953552
90,582,0.41461053659540814
90,695,0.9999999403953552
90,791,0.9999999403953552
90,827,0.38172887258679145
91,460,0.26219112282161194
92,242,0.3506973548298664
93,778,0.5115215354163607
93,450,0.3901596711289202
93,757,0.38265609839053755
94,343,0.9999999701976775
95,117,0.532096364675314
95,403,0.4085094787980522
96,783,0.9999999999999999
97,442,0.4212976357114981
97,112,0.402818658343387
98,417,0.43855128129360893
98,656,0.35211023685985265
99,299,0.3456312868800008
99,170,0.2583158263048907
99,528,0.2812624576754463
100,433,0.4876599514999289
101,344,0.33189232811034497
102,275,0.4701254284470211
103,522,0.4238793762476406
104,343,0.9999999701976775
105,111,0.5196354250838746
106,595,0.47442062627973397
107,756,0.23170346850603812
108,454,0.49056501037107003
108,728,0.424810653926672
108,802,0.4173150289775145
109,419,0.3100980711072356
109,768,0.230277507117068
112,132,0.3421999189829624
112,566,0.33700573093374253
113,783,0.9999999999999999
114,318,0.3172846468625841
115,221,0.37790235365277364
116,256,0.44696537832055355
117,118,0.5499203332830321
120,583,0.36009931600198697
121,128,0.42872898497799755
122,123,0.4780899368851298
122,126,0.3724738376644985
123,274,0.4485595161209023
124,125,0.4460902700258219
125,506,0.4402122495853265
129,157,0.3092267005931218
131,132,0.2411176434827318
132,456,0.30874634400969586
135,146,0.508751969113026
136,354,0.31129286967655656
138,139,0.6151086937631687
140,155,0.30473330265348403
140,657,0.22299656756086578
141,250,0.38356229128140595
141,143,0.37932892803864904
141,145,0.24895071316637082
142,144,0.4968273150052718
147,758,0.31518496099829485
148,168,0.33656452049313257
148,776,0.31144842509835025
149,150,0.3330081381176297
150,674,0.17257636785507202
151,428,0.35261084955300726
152,313,0.170973743766134
153,154,1.0000001788139343
153,314,0.9089413291964876
153,512,0.4371623901659911
156,200,0.4669328808825503
156,223,0.34796986672580543
157,695,0.9543314874172211
157,204,0.5407804578583193
157,212,0.3376223241827406
157,249,0.416926483293645
157,514,0.6875345367519182
157,516,0.6814854929025376
157,543,0.44336051555544986
157,633,0.38278868381761777
157,734,0.4933749210964634
158,590,0.3923910914912758
158,165,0.17811565592623066
159,234,0.26228434275878054
160,764,0.33362262425258354
160,172,0.31571262808591827
161,214,1.0000001192092896
161,351,0.3668889527293357
161,440,1.0000001192092896
161,479,1.0000001192092896
161,498,1.0000001192092896
161,567,1.0000001192092896
161,585,1.0000001192092896
161,586,1.0000001192092896
161,665,1.0000001192092896
162,172,0.298233209597947
163,285,1.0000000596046448
163,397,1.0000000596046448
164,343,0.9999999701976775
167,250,0.3076082633045397
169,241,0.22465586830988332
173,217,0.3730002837814111
173,198,0.31871819456878153
174,557,0.4946786561438389
175,416,0.35532346711125773
176,815,0.339643263971883
177,435,0.3670685361505282
177,383,0.25230472666105375
178,439,0.22259104251861572
179,321,0.3874719837384865
179,462,0.2952014197379135
179,741,0.24893960775077567
180,201,0.4562375257552956
180,815,0.37909657347957637
181,480,0.3980721099472141
182,584,0.3381529322054855
182,448,0.33569916833428615
183,185,0.4398744685123829
183,189,0.3396875084767216
184,553,0.8518760204315186
184,484,0.39450171960709324
184,615,0.3159441404339368
185,215,0.4400983766755537
186,193,0.3875310780054822
187,317,0.3949733048257169
188,687,0.4065561421701084
191,227,0.40795321112871064
192,215,0.47000346678879307
192,205,0.42733590315300796
193,207,0.39941985910402233
195,215,0.45116817272133325
196,594,0.3205155762452956
196,199,0.293710385602224
197,411,0.33753924518007306
197,743,0.26079458395790445
201,210,0.22444611450057994
201,789,0.35926743308554154
202,404,0.32067207171316253
203,527,0.310450631057292
203,439,0.2866401406031952
206,778,0.41480760164999664
207,211,0.23704460573617536
209,816,0.2974438167638158
213,654,0.2565175932291026
214,423,0.27876205138398663
215,494,0.3343479316912431
215,511,0.36935879925425835
216,687,0.2631453764944345
219,514,0.3329058987646406
219,676,0.23377970042341978
220,373,0.49539553047449847
220,222,0.4918359271068989
223,224,0.29369497330368144
223,225,0.32204902267638225
226,248,0.34009490271536047
227,252,0.21261497129329332
228,361,0.415110419052251
229,292,0.43421915318461124
230,783,0.9999999999999999
231,453,0.3979629596997681
231,246,0.34316284885081894
232,630,0.4647420882181705
232,238,0.3728478677539483
233,417,0.36710596849775534
234,254,0.702355672078745
234,537,0.5906183705963084
235,752,0.4319757902408774
235,651,0.3926001533970384
236,267,0.612989570108513
239,519,0.5299881692105777
239,243,0.31677466878214317
239,753,0.49341814766626696
240,600,0.34976628928809406
241,392,0.35843725538945503
241,385,0.29165482555572136
242,254,0.5010079498356416
244,766,0.3137608660114727
245,294,1.0000001192092896
246,775,0.30792764882744367
247,311,0.34017945859357984
247,608,0.3126703100705902
248,373,0.453030076028991
249,807,0.3559379737459393
250,409,0.49552445673710077
250,307,0.3756679910029903
250,445,0.45469447983038214
251,293,0.21330761241714677
253,827,0.2820509590470409
254,464,1.0
254,311,0.5453505458593702
254,401,0.3743770688295804
254,477,1.0
254,530,0.482091589686541
254,600,1.0
254,725,0.3858959064087073
255,262,0.4821143782004604
255,256,0.47227970420645304
256,261,0.3055978009787662
257,308,0.29364885441275707
258,263,0.41959884830422095
259,260,0.3839370497794705
259,681,0.18620148301124573
261,806,0.2731356825374348
262,263,0.4870107119676098
263,485,0.18719064991719392
265,305,0.2291182279586792
268,634,0.34849821051819646
269,305,0.21084749698638916
271,540,0.9999999701976775
273,540,0.9999999701976775
275,287,0.5218095579339447
275,284,0.46838108593503264
275,433,0.5043539083999953
276,277,0.4999032206450116
276,278,0.4778191798909005
278,279,0.3242567032962046
278,280,0.3075371884386545
280,283,0.2863746012580731
281,442,0.4115024293103815
282,287,0.49380038898326684
286,532,0.4310815421878561
286,710,0.3476436460778798
288,419,0.3962698671497772
289,298,0.7338851659315124
290,316,0.9999999701976775
291,714,0.3090760096794532
291,481,0.27067623594128776
293,473,0.3715156197931448
295,301,0.8898905550366503
300,671,0.24842431887713062
301,303,0.41202281413031006
301,683,0.28581909383402426
302,304,0.9314635057125222
305,700,0.38021987676620483
306,655,0.43106364688631804
306,341,0.4064374262925956
312,319,0.5311752731582438
312,517,0.46931226653475816
313,406,0.2984154433937696
314,406,0.6925572891024953
315,540,0.9999999701976775
316,540,0.9999999999999999
318,532,0.4766649937253268
321,324,0.3355217069596655
322,328,0.8685224685822949
322,377,0.5106230071557898
323,733,0.5170371044669528
325,336,0.5360401319615391
325,405,0.38395168116156164
326,342,0.5355971504791672
326,330,0.40738247575499836
327,530,0.2689073499544071
329,331,0.6508765219202405
332,510,0.3566840653788195
333,338,0.6549140866435306
333,356,0.4422999621795799
333,607,0.46732635482663315
334,366,0.7191377014967018
334,386,0.2443994523813946
335,379,0.44174751861293626
335,393,0.4662274424415239
336,371,0.4747656201029058
337,393,0.4430843124638091
338,533,0.5482605620116043
339,632,0.2291892982807317
340,759,0.23641827702522278
344,392,0.7413420636653067
344,627,0.20630467347332337
345,531,0.3857438016157785
345,461,0.17174959182739258
346,357,0.30605058302268084
348,366,0.26672470975804613
349,372,0.38845313456780095
349,350,0.33028217597099147
349,352,0.3278888797459739
349,664,0.3348397920477266
351,369,0.23148824868889387
353,612,0.23410655926217755
354,500,0.25572592232144187
355,706,0.2118095038366602
358,372,0.4352454447588797
358,426,0.29813554224597744
359,476,0.32052710171518556
360,759,0.5328039341332671
361,384,0.25985861187868653
363,411,0.6901440235435046
363,418,0.6788020540266417
363,759,0.611795855239985
364,412,0.9727827257805619
365,799,0.15298491657704832
366,755,0.34077203792068583
367,608,0.2870586705842869
368,484,0.2732708022936957
370,379,0.40618463700058915
373,519,0.49540622805977275
373,671,0.31448668862526785
374,532,0.4350960505339454
374,483,0.38569002333137453
375,540,0.9999999999999999
377,407,0.3386832273352647
378,410,0.9648797650608266
380,390,0.5204359523150485
381,415,0.3547673009813497
382,470,0.991748522029233
387,403,0.40480973626336714
388,438,0.40288719016104546
389,476,0.3312242172807736
391,540,0.9999999701976775
392,399,0.5966491784928192
394,713,0.15212750463437175
396,533,0.48780043342458906
398,403,0.23185034744864924
400,783,0.9999999999999999
402,466,0.46488077475444745
405,547,0.290275777447471
408,783,0.9999999999999999
413,417,0.5259401571600101
414,572,0.2416103284830037
415,507,0.4336401402114146
415,424,0.31089297999906296
416,820,0.3565670098500386
417,663,0.384504007329812
417,678,0.30728721393207303
417,820,0.44520051130745636
419,522,0.45093202652438463
420,425,0.9086494631173628
420,429,0.5804515921253862
421,783,0.9999999999999999
421,447,0.9999999701976775
421,451,0.9999999701976775
421,518,0.9999999701976775
421,526,0.9999999701976775
421,563,0.9999999701976775
421,587,0.9999999701976775
421,666,0.9999999701976775
421,784,0.9999999999999999
421,794,0.9999999701976775
422,712,0.34952383186557195
425,769,0.20890310352459296
427,431,0.4485740389642245
427,432,0.4479368634436536
427,442,0.43746489912462194
427,444,0.4020672037799104
430,726,0.33435324778862646
432,739,0.31815564099604987
433,529,0.416546832570714
434,443,0.4071287443272203
435,436,0.3854229582433988
437,732,0.5014312180087314
437,662,0.30232742699409343
445,502,0.24480730928206318
445,598,0.3047413202529994
445,822,0.35799195049899024
445,825,0.3967407744777305
452,458,0.4162262520280125
452,459,0.3140326320745738
452,465,0.3760886264313123
455,457,0.4400787757647864
455,648,0.3112896994436933
463,590,0.23563140631833215
467,827,0.36077689630677745
467,580,0.24903081357479095
468,584,0.40544335841463264
469,662,0.29524314589417344
470,495,0.2754491517417127
473,519,0.5132015709191114
474,522,0.44776266453598307
475,480,0.39478300036939407
476,478,0.3551130497865378
480,491,0.4022737134080598
482,637,0.33834688945416735
482,487,0.3347294461384435
486,488,0.4315251052236292
486,715,0.4175227659667528
487,490,0.2404869760569876
488,634,0.42056275844044855
488,816,0.3222398601011194
489,494,0.27695577079136197
491,492,0.4148016221340978
493,530,0.322931150214928
493,685,0.18369671237406154
496,635,0.26220301608555097
499,609,0.9228496583756232
501,753,0.464396801194989
503,638,0.22007247611887726
504,514,0.46331612561975244
508,534,0.2367732528394691
509,667,0.9929929580727426
509,735,0.2035805388986028
510,532,0.4432277795312941
513,605,0.346565049009563
514,696,0.3647022123939445
515,537,0.4590587055229266
516,661,0.22302128212583616
519,557,0.5592093001696233
519,749,0.5160701919200269
519,752,0.5079255346525797
519,785,0.5276260803547529
522,525,0.515424681946631
522,571,0.4754876802286211
523,810,0.3427976097264132
523,581,0.15163201093673706
523,809,0.3337067729554223
524,539,1.0000001192092896
524,568,1.0000001192092896
525,565,0.39633877086227576
525,703,0.2513689124513508
530,611,0.2731620040948505
532,590,0.507472712602776
532,542,0.38092748083362366
532,756,0.3632962877162672
532,814,0.3752435844791061
533,564,0.44485514677289084
535,727,0.47512965440265287
536,675,0.17482850068027594
538,590,0.2791552569872323
538,658,0.25646273597227426
541,778,0.3299037420684765
543,682,0.29626962526758127
544,549,0.47560648231865194
545,637,0.3580727419096525
545,548,0.3062041651120726
546,549,0.21958998736544974
550,555,0.363414998279206
551,552,0.44481896575634483
554,555,0.5080523032810064
555,556,0.4830075169056154
557,754,0.3683290570070585
557,766,0.3735059072791109
558,573,0.39851932371999543
559,560,0.7184261173314542
562,609,0.25225044835350746
569,589,0.42450765082607356
569,575,0.3114235598511954
573,787,0.4159389669271924
574,760,0.2665613926694722
577,765,0.35929326340750645
583,595,1.0000001788139343
583,812,1.0000001192092896
584,590,0.4251373273992868
584,698,0.3012224914575222
588,783,0.9999999999999999
591,594,0.4764082947560536
592,674,0.13257187604904175
593,813,0.39924131434211185
594,596,0.27437565051310525
597,694,0.4399064170464917
599,728,0.3293421321010535
601,604,0.4209104555169013
601,602,0.348849327429685
601,605,0.3745062201496594
601,606,0.3387849507314078
603,695,0.38433812676959134
610,616,0.44317092273484315
613,617,0.5035093531801947
613,670,0.1900820508019857
614,628,0.41114806753622785
616,619,0.45991854427829537
618,622,0.5854708892772771
618,620,0.39529703005209477
619,621,0.471033178610776
620,624,0.32662838023842844
621,623,0.5155604036302854
623,625,0.317833201647605
623,626,0.4020600168117767
628,638,0.42093734596991617
630,687,0.43538363737846425
636,637,0.4858050604303621
639,729,0.1984603099950942
640,783,0.9999999999999999
641,642,0.4940495580485068
641,650,0.46064596493331905
642,644,0.5925941108111663
643,645,0.6260566959910233
644,647,0.5207202048421171
645,669,0.28859395202782745
648,649,0.29355524200936245
651,653,0.29305559210021453
652,677,0.30354131004507484
654,655,0.4310746166827498
656,660,0.1885436130107972
659,780,0.3454659843409475
667,699,1.0
668,672,0.3216380617146472
672,675,0.42383963118636037
679,730,1.0000001192092896
679,724,1.0
686,687,0.39113175909389375
688,715,0.2689893555169989
688,748,0.15266941487789154
691,719,0.19178419384158504
693,700,0.2703772187232971
697,756,0.3504992912582664
699,781,0.3503837108216124
701,705,0.3650355645124938
701,702,0.3584711976619436
704,718,0.27805115442024836
705,792,0.24942384053389657
706,707,0.44618834491803644
708,709,0.5773461775766242
711,715,0.3557354567162117
713,719,0.2078667019578958
716,719,0.2318094216457684
717,723,0.6079700357772473
717,722,0.407163310915221
718,719,0.30116912994030026
720,721,0.4870258786186643
720,793,0.41101065037997314
726,729,0.3595451755463307
727,767,0.5238200491022789
727,745,0.3909236497002053
731,740,0.408206695674779
733,762,0.4726139244781317
733,808,0.36894433336968846
736,742,0.4846957141347117
737,783,0.9999999999999999
744,750,0.6018903577475406
744,786,0.3940111439261058
744,787,0.47261572469290347
746,774,0.42759171227841614
751,764,0.37277936959250096
760,829,1.0000001192092898
763,764,0.420422615327134
770,788,0.43690797984901
770,773,0.43055603766843037
772,789,0.29947762441069803
778,782,0.44470477028448663
779,780,0.40184861718503273
783,472,0.9999999999999999
786,801,0.20761696333725876
799,800,0.9999999403953553
804,805,0.2894934182155525
805,828,0.3530118122015564
809,811,0.3335656645682621
817,818,0.3823435107902249
819,823,0.3979111418378462
821,823,0.44618248080972217
821,824,0.3537760565729754
823,826,0.3971887153256975
