source,target,weight
0,27,0.37573217193945785
0,31,0.32938460931642327
1,69,0.2024774342447667
1,14,0.1806304259279366
2,38,0.24275680700944186
3,54,0.2861448283252078
4,20,0.32868329883480596
5,24,0.4698102530811046
6,36,0.21194465866694656
7,27,0.4123008443188412
7,99,0.2690395107207123
8,11,0.13554228763823217
9,79,0.3253026162051157
10,54,0.3958532772615103
10,17,0.2193621314420031
12,88,0.3668413142075233
12,107,0.36209780305658607
13,38,0.3022321320598149
15,73,0.22209580314929467
16,21,0.4060188194699775
18,23,0.22569040099959284
19,96,0.2964333256674627
21,33,0.3631350314253623
21,75,0.4047788458074047
21,82,0.34110524397544006
21,96,0.391502242433056
21,104,0.35984598577518573
22,83,0.29966239806855066
22,35,0.16900323331356049
23,76,0.38146070428908085
23,97,0.323101642125048
25,29,0.46778715341923227
25,26,0.28301913832872727
25,109,0.253773256744266
25,110,0.3422049368262259
27,91,0.3494597600146694
28,76,0.20321807126732344
28,98,0.1834832119617696
29,34,0.37627238998775003
29,76,0.43425593740480134
29,113,0.4332706409224732
30,97,0.2583269926962033
30,74,0.21669173299612193
32,83,0.32485587874669714
36,104,0.23410622100328113
37,38,0.3241008834347473
38,40,0.4530881580593613
38,39,0.3925843780593615
38,45,0.35706791766647145
38,67,0.2992363552540384
41,44,0.2585562076280825
41,48,0.1785453182527249
42,44,0.5394867664181904
43,59,0.5306109178891295
44,47,0.2452194136471521
44,55,0.454698481948814
44,62,0.3643247776509618
46,78,0.11927294731140137
49,61,0.26742929220199585
50,65,0.22972306609153748
51,70,0.35878414829287086
52,70,0.43433503407614715
53,107,0.21701113879680634
54,64,0.5481995042706199
54,63,0.22476906650089087
56,65,0.16316547850537239
57,114,0.14644996719473433
58,87,0.6096478067638864
58,73,0.4782195442229424
58,108,0.45147904018840845
59,68,0.48964229449242147
60,68,0.23823198662572811
61,70,0.30479688393816634
66,90,0.419259913743973
66,94,0.3517467833596415
69,79,0.2902101233626805
71,89,0.42801681000283787
72,81,0.43128007680132163
73,84,0.28206333436651165
76,112,0.2622823497910932
77,79,0.3904430742231073
77,78,0.2307175052631356
78,95,0.21285409046527493
80,90,0.3223621350264259
81,111,0.25392586019967345
83,92,0.4911544979747831
85,93,0.3089397152468107
86,106,0.6128759530299202
90,105,0.2504477433787229
100,101,0.3307065060143204
101,103,0.34526758223422915
101,102,0.28047608714776684
