source,target,weight
0,52,0.23130357542247734
1,52,0.30119900127318583
2,18,0.24783833748015713
3,29,0.4714604472453284
3,7,0.42753372281449437
4,41,0.1902738409108479
5,7,0.3566181542358138
6,40,0.2402490747815658
7,37,0.3882568353817848
8,11,0.2053044655047951
9,73,0.16921988129615784
9,33,0.14418716536572973
10,83,0.3348727778873598
10,12,0.1877074240565415
10,69,0.2819678374279376
11,78,0.33653986997858415
13,61,0.36636571820381036
13,22,0.26967477672753043
13,24,0.32075052002347215
14,75,0.29612361517846575
15,17,0.26563175310625775
16,37,0.2985894028025238
18,28,0.3877842140970627
19,32,0.07766766067329645
20,21,0.24108144860378652
21,67,0.28493656694929265
23,93,0.11522144079208374
25,61,0.44476664477790745
26,89,0.2635383736240529
27,40,0.5410466185980358
30,38,0.40191071399498013
31,44,0.37092665296738925
31,75,0.3707417526917603
32,35,0.2461805650960834
34,40,0.3255629005325936
35,39,0.3571153158602187
36,95,0.37417537510741566
39,48,0.18847058713436127
40,43,0.2915625624879641
40,78,0.35272371706918787
40,87,0.38047076670986946
40,96,0.4735554068111145
41,49,0.333905028244179
41,62,0.24379193973318383
42,86,0.47253887882263934
42,59,0.4074287875779532
42,77,0.33314955728871865
43,70,0.2851303393413313
44,71,0.38027483945044704
44,45,0.3285432789018886
45,46,0.2897600427714786
47,95,0.46410467206898315
49,50,0.467056394943163
50,52,0.5036727684007151
51,52,0.4042809228580867
51,73,0.1897498360045181
53,57,0.4632376266045879
53,56,0.36948314384721337
54,84,0.37366707971431223
55,58,0.19790688157081604
55,93,0.17035160958766937
56,63,0.319666353575674
57,76,0.39468622936373704
59,60,0.2576278382349161
64,84,0.43254494035497804
65,67,0.456715614573311
65,98,0.19812293350696564
66,67,0.5008916785281432
67,68,0.22138449063550036
72,94,0.19898129303779793
74,83,0.37290505462406254
79,95,0.23392188641998674
80,81,0.5522331815355075
82,83,0.48100393492444427
84,85,0.4153445453068603
86,88,0.5592619382740294
88,90,0.5811983507006834
89,90,0.3307477079446794
91,92,1.0
91,97,0.44117641883971515
