source,target,weight
0,141,0.3811885482297346
0,9,0.1276235342937806
0,155,0.35739792491701805
1,55,0.3374512196522364
2,141,0.36327529553103705
2,17,0.3195644950587696
2,78,0.2847789364650889
2,152,0.2414648601469365
3,4,0.32608647287865467
3,12,0.27442668325992314
3,26,0.20124688487533293
4,7,0.31842276769613603
5,101,0.9859203621394171
6,97,0.381984610749398
6,8,0.36825635786641486
6,39,0.3426088116793228
6,90,0.3035697419543626
6,132,0.26671938528270606
7,145,0.23452608184293386
10,126,0.32989842488067644
11,77,0.35351852445467924
12,174,0.17449995875358582
13,71,0.24058261121335248
14,55,0.2501466033296588
15,141,0.15406616182360017
16,37,0.34507874617941675
18,21,0.42588820180809533
18,87,0.31671746843670656
19,131,0.28927971103978745
19,44,0.17936395789409398
20,55,0.24885009703290112
20,183,0.18524287806433262
21,31,0.2858161972621527
22,70,0.29652828055866526
23,160,0.19695167243480682
24,101,0.9855711981303229
25,48,1.0
27,73,0.4117772125818656
27,104,0.31094166379134514
28,178,0.1518860161304474
29,52,0.22864365663442893
30,147,0.16994292873161612
32,102,0.27535045654307705
32,62,0.1668979948348529
32,159,0.19127290453871093
33,108,0.17196771725072676
34,98,0.11666281521320343
35,86,0.3135644793510437
35,43,0.14638665318489075
35,128,0.20922499895095825
35,178,0.19326171278953552
36,117,0.34240898175651213
38,181,0.3465305090568196
40,92,0.23382644722114507
41,86,0.32636110100137844
42,96,0.5937084625153624
42,177,0.1512429565191269
44,189,0.14943916053354148
45,86,0.4386784390663716
45,74,0.2911490201950073
45,85,0.1790655255317688
46,47,0.5604886657161955
47,50,0.5916925611983562
47,49,0.4732741663223343
47,108,0.1975575969126937
50,51,0.4410381441164894
52,71,0.5191596476355718
53,99,0.3641309389574319
53,75,0.27791313653877886
53,94,0.33663069710860394
53,140,0.3478208793487785
54,102,0.2168725229295449
55,111,0.37799181174281793
55,144,0.17780861834437128
56,91,0.31294058867213126
57,157,0.19729027634747548
58,181,0.31350064394554356
59,71,0.4249015771101448
60,153,0.31948241058891097
61,77,0.5182297236696258
61,181,0.36321084545376464
63,186,0.26147284579453245
64,187,0.3396453901441867
64,188,0.23406170725197464
65,86,0.313944659422893
66,103,0.18048863112926483
67,86,0.31918227672576904
68,176,0.2596613588873703
69,91,0.3552145738669404
72,187,0.3199457780471471
73,83,0.3741842931667438
73,169,0.3088095913294795
76,137,0.3692004484896392
77,113,0.2646070168328646
77,187,0.4915814702682323
79,161,0.2906025994325738
79,175,0.25198421141344063
80,90,0.20180718586256227
81,86,0.40830842318085653
82,176,0.2005740186587727
84,101,0.9873324557787909
86,110,0.42816783790697566
88,17,0.23196808993816376
89,170,0.29342371225357056
93,150,0.34082302305069895
95,101,0.9854975267893805
97,147,0.1854384661161336
97,190,0.2709401694240652
98,129,0.2307468075107263
99,111,0.4816912686821418
99,106,0.29346563957880634
100,124,0.9999999403953556
100,162,0.9999999403953556
101,123,1.0
101,125,1.0
101,151,0.9827270134932532
101,164,1.0
101,184,0.9840700849539771
105,159,0.18729213657220098
106,107,0.20302080313583573
109,111,0.5980186783395267
111,122,0.3121306561887243
111,137,0.4452947113271959
112,137,0.30120407488727663
114,176,0.23318144226119825
115,118,0.2658828095885871
116,169,0.17287711754886276
118,161,0.3419059039402337
119,126,0.44691695152424393
119,121,0.19864368770157553
120,165,0.35331582305006937
126,127,0.444795793582749
129,141,0.23309824142066216
130,181,0.28488443737378283
131,182,1.0000000596046448
133,134,1.0000001192092896
135,165,0.253027897282201
136,151,0.41926070063980797
136,138,0.28419008101274656
139,190,0.2045491282678249
142,150,0.3565498074175323
143,163,0.3432322244599998
145,172,0.15848624015805585
146,179,0.25891395933972255
148,161,0.26249756735066043
149,167,0.28347162735362613
149,168,0.2733712494871222
150,154,0.3822275509844014
150,180,0.3230256200509576
156,179,0.2514790818162352
157,167,0.34961708894816534
163,167,0.47857994573711105
166,167,0.4434287096259446
170,186,0.2951960484886376
171,176,0.18894749879837036
173,186,0.347399758956093
185,158,0.9999999403953553
