source,target,weight
0,139,0.21698124648055736
0,92,0.19510245379876362
1,3,0.3224085126884245
2,105,0.2012932371951856
3,8,0.26614011653776803
4,146,0.3693837122221546
4,111,0.3387885934612761
5,128,0.25475617344081125
6,148,0.3739039572760866
6,16,0.26424694748467786
7,9,0.29040950265831883
7,15,0.2533044111965565
10,147,0.3115011215979688
11,118,0.15973909199237823
12,13,0.5102192214685086
12,146,0.47754896005539016
14,55,0.31150501065014535
14,86,0.1464508005550215
14,97,0.19134593939782046
16,113,0.15395590662956238
17,108,0.8366177706250023
18,107,0.3251105964371508
18,77,0.18742341323659734
19,103,0.3247119763948009
20,29,0.2524900993983411
20,58,0.2427628186517962
21,70,0.19740795951740042
22,123,0.1907223920579836
23,104,0.16600037370265452
24,44,0.37089822074718426
24,136,0.2087997035775268
25,37,0.4317162815955289
26,40,0.3671315650144844
27,37,0.4238330472442399
28,76,0.449702879780769
28,128,0.26512817573626757
29,37,0.44762669753559137
29,73,0.19281882310596854
29,91,0.21364201968996704
30,44,0.42611295848557634
30,75,0.37458260896600415
30,144,0.33356071124051584
31,148,0.3137077113322069
32,48,0.2673555799357052
33,131,0.20197218656539917
33,42,0.19294694461779877
34,124,0.15013525871497296
35,146,0.3359092618465244
35,74,0.26858503727464406
36,82,0.3717994596190012
36,71,0.25328990663911305
38,81,0.2614230588138983
39,49,0.3958379614166728
39,43,0.2444463074207306
40,41,0.3167078733342337
41,61,0.27965865360880027
45,52,0.24801938063774714
46,145,0.29283517909662166
47,104,0.15359284663786227
48,93,0.3891489723529295
50,103,0.32659785344876807
50,64,0.2846236052563569
51,75,0.34992300577611135
52,56,0.30046296945718554
52,62,0.25903563673628116
53,144,0.22019270418253156
53,80,0.21281045554656675
54,57,0.40401911695388604
55,66,0.35529569813547535
55,68,0.3253791332072862
57,69,0.32533411472563445
57,81,0.2731142081971373
57,116,0.17942026257514954
59,70,0.21216204822615814
60,148,0.2789580498105349
60,132,0.22926904185107017
61,79,0.18153879046440125
63,111,0.2571609571476596
64,127,0.1593547392285149
65,124,0.3612958543863529
67,82,0.17456836205137632
68,96,0.23353326708795724
70,140,0.3427723662356298
70,84,0.27312574757701635
70,138,0.2099070999745096
72,99,0.31413030694775745
74,104,0.2214799275604476
75,87,0.23170886041292602
76,94,0.32328535965408645
78,81,0.1883771701315359
82,114,0.3733393413718811
83,118,0.19581140229931074
85,105,0.3211791318444518
88,122,0.3736430023055151
89,102,0.35943695976950596
89,149,0.3487310639355839
90,93,0.2983441441492237
93,145,0.40132913818083976
93,100,0.35161245052479184
93,103,0.34380992957727374
95,142,0.2626380639747512
98,107,0.2896108534130401
98,101,0.17417484701346986
105,143,0.36299424702015054
105,126,0.18880213797092438
106,108,0.17039049352319205
108,118,0.2406932547941475
109,110,0.4226718292959364
110,115,0.45798527937446776
112,113,0.12188278883695602
114,129,0.2596233357830331
117,131,0.45892643973711894
119,121,0.4054638207208143
120,123,0.29539815995006125
120,125,0.16302186250686646
130,135,0.31259699448939626
130,141,0.24614011172034223
131,133,0.26082236200076997
134,141,0.19735440588319234
137,145,0.23632667217493028
142,146,0.32807958772795887
