source,target,weight
0,16,0.3547190960786016
1,74,0.39696040242835184
2,3,0.42977465581583213
3,49,0.45861627391351134
4,49,0.35105698868802615
5,63,0.7223262992742925
6,57,0.2705701853773203
6,34,0.19650900257805878
7,40,0.2657488824252155
8,10,0.7448356954477696
8,88,0.4560870082370504
8,102,0.44363817655690946
9,70,0.24705908031386264
9,58,0.1695707518521818
9,83,0.21333187640486329
10,16,0.48891585601725923
10,76,0.29661498932298963
11,27,0.31959023604905645
12,89,0.29823318664023235
13,19,0.2574320080505115
14,19,0.3705277266076264
15,89,0.31958681659657656
15,59,0.2462931463336132
16,27,0.37568973623755664
17,89,0.616018640056295
18,19,0.3777657391205145
19,21,0.4676067079783742
20,25,0.3039592571782705
22,78,0.20148481385156086
23,26,0.2986284934997404
24,77,0.26249635253308656
26,65,0.2759482107219908
27,69,0.3044464385012075
28,47,0.4480628300843459
29,88,0.25011225081160027
29,99,0.2187559428323924
30,32,0.37285725458342966
31,78,0.5422003654133862
31,91,0.23572779012376524
33,90,0.21940656688443033
35,89,0.2413013899907317
36,37,0.4495443647473498
36,40,0.3179998876082289
36,53,0.32004363834232474
37,45,0.5097987998730189
37,38,0.37070794245792105
39,45,0.4587996870981613
40,93,0.28955075077172704
41,49,0.3268613391895142
41,71,0.152597631310157
42,79,0.22127546151254662
43,64,0.2505330410348281
44,45,0.397479873783605
46,48,0.3952397502780588
47,48,0.5749743804934033
49,100,0.2887621844673085
50,89,0.37163740936705425
51,80,0.5995244335604026
52,54,0.13896008886240485
52,66,0.12748990952968597
54,82,0.22982836472878596
55,86,0.13845609203986262
56,62,0.2476733776990767
56,86,0.19233473032181822
57,78,0.36571094480627075
59,61,0.13085314631462097
60,78,0.3652838617546994
60,85,0.34388118365367
60,92,0.34471430949409904
63,97,0.5893548957200249
64,75,0.13732561971530766
67,68,0.4126151681723249
70,78,0.3543782278863413
72,73,0.318380565189678
74,94,0.7030761006133988
77,98,0.27071635176156483
79,84,0.2841325677900406
81,89,0.435672551486787
82,89,0.3528683804815056
87,94,0.6386810412064927
89,95,0.670164875104617
89,101,0.3164387697357829
90,95,0.3032287984306216
96,98,0.3692814908751324
