source,target,weight
0,102,0.21262184293814987
1,39,1.0
1,45,1.0
1,52,1.0
1,59,1.0
1,106,1.0
1,116,0.17477721764756948
1,123,1.0
1,161,0.28239976973010983
1,168,1.0
2,155,0.3416296740721928
2,137,0.19110322757028447
3,102,0.22252573646600465
4,127,0.21512039479421485
5,156,0.13965758360633526
6,113,0.45599651393476087
7,118,0.2570521381075195
8,176,0.12248401406046167
9,130,0.27011922631932844
10,157,0.4237017727915966
11,160,0.31903818219853797
12,17,0.6454924575324984
13,103,0.47307288147637827
14,60,0.5327868900351695
14,55,0.2577508408538667
15,118,0.2824173493612148
16,47,0.27441972649737867
18,80,0.4653108516233052
19,22,0.3518130993658034
20,141,0.21574302517065394
21,179,0.28147420287132263
22,63,0.35846390267606343
23,66,0.6956008892012996
23,49,0.4640341785364128
24,92,0.34830619975253363
25,148,0.2627578718160585
26,121,0.19460971169547991
27,61,0.2639603534421449
28,165,0.17491774319432715
29,65,0.14312058009147047
30,63,0.38112551908558856
31,74,0.30136953135061195
32,35,0.41927550043176426
32,65,0.34955551350989034
32,178,0.3872887779382936
33,90,0.17605856052281427
34,114,0.4615239408559829
36,63,0.37260544789970695
37,87,0.25763731220765473
37,95,0.18424569909022143
38,99,0.3209235925703209
40,44,0.19792093458522858
41,69,0.4330283869879477
41,86,0.3414925774389275
42,76,0.22036492905166027
43,138,0.18094364017533057
44,155,0.34827198782217883
44,107,0.12434490025043488
46,98,0.22247895926941164
47,61,0.35378701943757707
47,62,0.3365011165676525
48,64,0.20861747860908508
49,102,0.2707259257067663
50,104,0.5118451458690456
50,105,0.38394583862217097
51,58,0.6082431267860229
51,56,0.4100175950037621
51,90,0.5744540371477423
51,135,0.25738467581465185
53,69,0.3056477945582453
54,57,0.4226709343662034
57,101,0.417715813018195
60,75,0.3137428084992887
60,78,0.1443977952003479
62,97,0.30148019223023836
63,74,0.4239754361280892
67,98,0.22619196824934362
68,74,0.3361147616805159
70,164,0.3412045991850847
70,73,0.20643925551151535
71,98,0.13528592884540558
72,88,0.28668692014745917
72,93,0.24222044198947756
76,157,0.25532414901805756
77,81,0.28555425426466524
77,82,0.265386892009627
77,156,0.26910053396286804
79,164,0.297963341157234
82,111,0.21947333580737088
83,139,0.17278283589287946
84,164,0.25857895612716675
85,163,0.28434470269581036
85,100,0.18428805781930385
86,112,0.3206539478333665
86,165,0.306674098414801
88,89,0.39124456789352036
90,91,0.4082774428064679
92,115,0.43444557592124633
92,122,0.3890230675983818
94,96,0.5139431295548808
94,108,0.1877075866628209
98,134,0.24199652671813965
102,143,0.2059741331193139
109,172,0.31745007210611437
110,163,0.42408908980606425
117,133,0.20431826258188845
118,133,0.41138279048966475
118,136,0.3539497916332331
119,120,0.3478494240025697
119,121,0.26842537170501035
124,131,0.3434420367385525
125,140,0.3308947379760499
126,142,0.3525150492918914
126,149,0.33426460775552336
128,162,0.3010653844175284
129,133,0.48611963477645054
129,130,0.43051558874552676
131,133,0.5939718532403536
132,135,0.24877513536543344
136,139,0.2493863910418815
138,141,0.356784264216989
140,141,0.4714584470213421
142,162,0.35370992223661935
142,146,0.3283427368634261
142,159,0.3104742745977844
144,165,0.27269203105183126
145,150,0.5816709926828388
145,148,0.314285744782723
147,162,0.2763901841819963
151,152,0.46357860049046284
152,153,0.5420829564442762
154,155,0.6540007001247001
158,176,0.2819531889409508
160,175,0.5178696341641593
162,176,0.43244320054382457
162,170,0.42499707748120197
162,171,0.346352391768643
166,171,0.3103968404862015
167,172,0.31966777373160105
169,172,0.36844330998778463
170,173,0.33534448517801935
174,175,0.43019751905865644
174,180,0.28692264021228786
176,177,0.5238535936546842
