source,target,weight
0,4090,0.2869382647831273
1,67,0.5423664074594735
1,47,0.273711847405254
1,2764,0.3232105536267499
1,3436,0.324626023543379
2,120,0.39162785042112824
2,46,0.3628094312665919
2,3476,0.3265103208486223
3,1682,0.491534206297704
3,125,0.2153710424900055
3,4505,0.3134062097464599
4,1511,0.4313865211001784
4,2352,0.35228067782861094
4,3764,0.3039434204378912
5,4624,0.3184954452123665
6,3322,0.37459875904635564
7,5163,0.2691898480324649
8,120,0.4160812305687892
9,27,0.32162904587146757
10,3589,0.7388169824734205
10,1222,0.21633899054579805
10,1594,0.38307955979753405
10,2705,0.27197269572919625
10,2951,0.629052557425591
11,306,0.3786920315665312
12,146,0.3530870658794285
13,120,0.445216068303549
13,5454,0.36817086605109617
14,3473,0.2931330301420327
14,1911,0.261767057254562
15,4125,0.2553599977463186
16,26,0.5479366026935055
16,161,0.44965682588498046
17,2558,0.21959567070007324
18,19,0.3416352013421203
20,146,0.43070274337189635
20,63,0.3957356545276495
21,5141,0.35675604065484934
22,3436,0.21279360076069642
23,4251,0.4191890431895937
24,3881,0.2924931014100619
25,3915,0.40434624143921755
26,66,0.3359188540156881
26,179,0.36767230737810547
28,3834,0.337791795140359
29,60,0.3316886416298856
29,219,0.2717528545002287
29,2330,0.2809818127905815
30,4405,0.3961132963759325
30,5178,0.357373003378916
31,80,0.5935528972688833
32,5324,0.39582727898828385
33,1981,0.3600659936329831
34,3400,0.49505201045747016
34,3120,0.4170781914401041
35,819,0.33077002750946727
36,503,0.2639003584997289
37,1998,0.331451145823074
37,1207,0.31664856396241414
38,602,0.3224031060572562
39,397,0.23594963550567627
40,1058,0.4506329808854125
40,3441,0.20318275180240025
41,589,0.36208571200568734
42,1987,0.29731720386343874
43,5188,0.3455461493133976
44,56,0.37623256844156694
44,147,0.371965542205152
45,1726,0.18973856625175556
46,5437,0.32063283972854795
48,1317,0.38960386206479936
49,746,0.29365159850305284
50,79,0.5195413271502438
50,54,0.4845321371248068
51,5178,0.3000108500093945
52,5074,0.2701694976524238
53,81,0.5300009054940262
54,85,0.3713265024050348
54,305,0.41544937617044386
54,307,0.42000130918796863
55,143,0.43591887131602425
56,81,0.5113594703044821
57,589,0.4620635995913575
58,2316,0.31424348102636956
59,146,0.3448746421252992
60,2618,0.3755632456615108
61,77,0.47753964202377674
61,64,0.36766050245219695
62,4352,0.3431476294866816
64,2664,0.27038102070608827
65,88,0.4289974816980878
68,3434,0.28579223563631706
69,4345,0.3804493444617987
70,103,0.3315098296541353
71,2198,0.20390866696834564
72,120,0.4302953668246266
73,189,0.4396521537943061
73,1662,0.3742118593120807
73,2055,0.41640363422120313
74,3378,0.25501884429695243
75,1507,0.3167873579852951
76,1329,0.5506312622278607
76,843,0.26286666181140317
77,1559,0.2639639576380242
78,559,0.3188782978279767
80,4401,0.3406655464352186
82,4585,0.2732499303810425
83,1150,0.30524525027025873
84,103,0.3466470712136963
86,5403,0.3588950854427315
87,306,0.4545014937752596
87,1674,0.33869165270001106
88,2884,0.44753265143006893
88,3433,0.21804823482517427
88,3693,0.37736008546943345
88,3958,0.3301734679032956
89,214,0.4340416088744986
89,874,0.39511551659251154
89,1246,0.3890138364752612
90,146,0.3480423426420382
90,598,0.25927512607304715
91,97,0.5506099249838146
92,1367,0.30785455350005964
92,552,0.2357594141365532
93,117,0.36731377482418376
94,2188,0.5513237010366862
94,3968,0.4230879452534716
95,5301,0.6187879591526202
95,108,0.47267590646594493
95,1310,0.5614290992468726
95,1739,0.3736515760628374
95,3862,0.420154985883285
96,4321,0.5138255277079403
97,105,0.4127178620016268
98,3192,0.4577934740417407
99,3854,0.4676158263420729
100,314,0.3797800739544711
100,109,0.36805231782166986
101,154,0.5318547485301385
102,1655,0.22914147872839605
104,187,0.4961655167079805
106,817,0.44755925678201136
107,129,0.37102735508162576
110,589,0.4022970319395839
111,3283,0.4671288145736143
112,150,0.4043250274180654
112,173,0.2342365163952668
113,164,0.5774439785881167
114,4296,0.4551420190604494
114,314,0.4093626942526075
115,153,0.44650181741308104
116,4225,0.5129811651707962
118,4241,0.39161652618240306
119,200,0.4132988336383093
120,225,1.0
120,229,0.43987244895283006
120,351,0.5302249160652361
120,391,0.39585366564840774
120,488,0.45786813357372846
120,509,0.21386700868606567
120,513,0.16700471937656403
120,517,0.4443530313817764
120,532,0.6272755886124217
120,551,0.4552435177890217
120,560,0.47908035136697347
120,580,0.6062579869607387
120,593,0.36849469850518296
120,606,0.32111453392166506
120,773,0.3788767295092375
120,1503,0.5933494962192428
120,1518,0.394238922789953
120,2647,0.3217394177476935
120,2838,0.34094685950417575
120,2888,0.275851606469864
120,3431,0.4404102257155328
120,3738,0.5151185352163756
120,5259,0.4368179052016378
120,5306,0.4950656719987639
120,5466,0.5236931110606216
121,129,0.3513445245544058
122,3406,0.39766229118947327
122,3276,0.3114475554511712
123,4118,0.33944734704343676
124,555,0.38382912461080754
124,231,0.34007983619774307
126,129,0.4639840442603889
127,3882,0.2235786351909709
128,2965,0.9999999105930328
128,304,0.3709417554524483
128,1994,0.3284115035269228
128,2248,0.6208602315034315
128,4248,0.25340017676353455
128,5037,0.3946264088153839
130,163,0.4985227165623855
130,200,0.48319365029132766
