source,target,weight
0,6962,0.276483016408067
1,990,0.3696812996050429
1,194,0.336362952087729
1,4447,0.3016625485806118
2,9733,0.5337750296382364
3,4750,0.3470097051779295
4,9248,0.38401036213269935
4,210,0.3815966851066456
4,2529,0.3459192750935032
5,3309,0.25240129232406616
6,7988,0.44539846007521045
6,1427,0.3458849576788471
7,7630,0.27304452681400393
8,2306,0.41264479425440215
9,7623,0.2971389673241297
10,109,0.41177857101508114
11,64,0.44324024732893397
12,1334,0.34103520303562046
13,129,0.36782520457999807
13,184,0.3641552062709629
14,43,0.5226902889470972
14,1078,0.4369314096299855
15,9315,0.36703961120039796
16,1170,0.36944868495542305
17,5884,0.4118651968844711
18,112,0.45982575907894196
18,3299,0.37435802946294594
19,783,0.6173848481669538
19,193,0.6034493785426298
20,8234,0.29889792713064267
21,6111,0.35351385615958786
21,9327,0.26791959183094516
22,2606,0.34796733401967517
23,1857,0.5513505830733723
24,35,0.4535734826638549
24,129,0.39286633995678666
24,587,0.41027379722364177
25,109,0.4669227804458356
25,2812,0.35088632770774136
26,143,0.2553907306527091
27,4778,0.3229341208852974
27,2531,0.31611733829429
28,213,0.48959034969525206
28,157,0.3809662968594797
28,223,0.34250907223471994
29,614,0.37096892655483893
30,50,0.4623940414523319
31,6042,0.5095343907024026
31,2334,0.34524442139842015
32,1155,0.49327056149823334
33,110,0.2983030143119311
34,1260,0.3357665735544356
35,193,0.5450941866640491
36,3540,0.42354422099236877
36,9702,0.42194253893779776
37,186,0.3853874698358277
38,50,0.4494632387964411
39,175,0.364429269307563
40,9819,0.48809331638028397
41,462,0.4726904274944173
42,212,0.25929125909724704
43,94,0.8070251820161256
43,678,0.4655278017590994
44,485,0.2866938705057075
45,164,0.30247141050356696
46,71,0.30681082890017136
47,2611,0.34422073934671127
48,6103,0.4178115320061206
49,2146,0.2776987087557816
50,996,0.5963292136726365
50,600,0.41045036207363755
50,718,0.3263711074493689
50,1278,0.4241586615865048
50,1433,0.5509372675324438
50,2146,0.5047119668006153
50,2242,0.5225768953615262
50,3282,0.45406103281627785
51,4061,0.5459673448666247
51,4583,0.3673506284717363
52,2242,0.4274547926676384
52,1958,0.31430104442957196
53,9702,0.32006175430613176
54,3818,0.2712551173767002
55,347,0.4090830368960715
56,1438,0.4779042323961592
56,69,0.4320126576407248
57,1067,0.43359809427463847
57,3099,0.29061533367220166
57,9360,0.32895247853345333
58,2616,0.3855340357449995
59,212,0.3339718589521077
59,2774,0.3057187982720961
59,5139,0.33104772848602926
60,7338,0.30346047195534814
61,2542,0.42766159813009075
62,350,0.2984934249952827
63,8838,0.3847088311018148
64,1199,0.57472318844627
64,2205,0.5076665864083708
64,7274,0.31560123752611646
65,1299,0.4307585615390776
65,997,0.37003348021017496
66,1656,0.29312737542220735
67,2045,0.576741922862103
67,968,0.5360177071231789
68,9682,0.37252486732709644
70,1129,0.3970599413648476
71,638,0.36662173335453374
71,187,0.2350675296076114
72,7846,0.28490912939120344
73,1096,0.39573277438925736
73,83,0.3461959374223876
74,3558,0.2740303491261654
75,621,0.323312732801594
76,9180,0.35695675915590097
77,5871,0.34128176108146024
78,1620,0.49597882545806815
79,81,0.3205581078363245
80,1334,0.458382231467645
81,7918,0.3233477664652355
82,4347,0.33070777148416763
84,189,0.5145564915604143
84,808,0.38906490920137116
85,8746,0.29713922079673377
86,97,0.31725090819787716
87,120,0.39543684986756683
88,3572,0.40321903616418886
88,8775,0.2849598793710128
89,7447,0.31629309869598693
90,7127,0.4106473380764911
91,362,0.5375671425567164
91,9429,0.2798680677773478
92,129,0.3815625446203483
93,1484,0.361795863659778
94,2245,0.5134566918453046
95,7474,0.3079466098836803
95,3340,0.2825906191594761
95,3609,0.20513070915198278
96,7882,0.3365809716718199
97,5889,0.3647944511976752
98,6632,0.3389252411739384
99,6600,0.3175243124051442
100,1543,0.3311618491801275
101,3533,0.2501869138476855
102,3096,0.463573605467825
102,4753,0.24424757281435458
103,7258,0.355417422418826
104,1577,0.20073654409633895
105,262,0.4211515813201891
105,8570,0.35211381499497724
105,9259,0.40590612311564084
106,1924,0.2723052729347828
107,2756,0.44732606914325257
108,472,0.3768410368886294
109,1139,0.49443019192889753
111,3836,0.5236703915449316
111,6230,0.3770742022575895
113,6631,0.26176736312802373
114,5496,0.4126628863208599
115,301,0.34577794797124844
116,3652,0.38109129882363646
117,186,0.3491815401595212
118,223,0.3285073107226152
118,350,0.3230857851076528
119,655,0.3101088016897507
119,625,0.25131619283016343
120,212,0.4054083831810493
120,142,0.3270389712442926
120,4974,0.24986411291193306
121,968,0.45791794586588563
121,9827,0.41323003868517527
122,6377,0.39735163483249547
123,2128,0.43029368700936754
124,231,0.372292776837167
124,2366,0.2956643232102001
125,6510,0.532581111926565
125,9959,0.47985230658730826
126,244,0.34307526467388616
