source,target,weight
0,663,0.4693380022061702
1,6122,0.3437680411808773
1,624,0.27330945068589874
2,6616,0.24143847823143005
3,2190,0.36433602294676026
3,2155,0.32246421008923654
4,8664,0.3468113288591359
5,5131,0.3460584088961764
5,5986,0.31105776943812624
6,5669,0.4629825326572607
6,1727,0.2329142689704895
7,2028,0.9905807251117351
8,1926,0.37486981540994685
8,1836,0.3081469879765224
8,5657,0.32315807698414756
9,9897,0.33133964801106097
10,892,0.6169117802853615
10,1162,0.40767108426364806
10,9785,0.33395721344891005
11,1040,0.394808280762549
11,3694,0.3459210678054763
12,5679,0.3495942268822354
12,1889,0.31489175772142397
13,2607,0.4538468546967068
14,6635,0.3290645521710164
15,260,0.3522011062352758
16,737,0.4490958310180321
17,6288,0.3914527559142731
17,2539,0.2594101367042052
17,3176,0.24182772596591276
17,5937,0.22386020166288048
18,386,0.4213087573009753
19,7894,0.4133944891760208
19,3120,0.3540960195739812
20,6586,0.3955777319408897
21,7515,0.27254853738209145
22,696,0.393661663327728
23,8536,0.4245642935286902
23,7620,0.35697819868312225
24,5199,0.3901148718638663
25,3355,0.24203645388169273
26,901,0.4039165818632523
26,496,0.3981271535567612
27,7695,0.28152150151836997
28,4875,0.35487886800444396
29,3546,0.31706430938230246
30,362,0.5403884381536239
31,957,0.40825188692289144
31,2841,0.19736472738561894
31,7187,0.31793668693023014
31,9921,0.26186110693749404
32,3573,0.45572822593237566
33,929,0.34171033814044466
34,7614,0.30343542526543715
35,1877,0.31059274059290887
36,417,0.45770118735056964
37,5932,0.35440883616135205
38,9330,0.40509194246746855
39,392,0.42973678705140334
40,2618,0.48115796102768793
40,8562,0.2940948060444767
40,9868,0.4086768253758083
41,1827,0.4628077801818138
41,6679,0.4005137076038523
42,64,0.32669370186808894
43,2378,0.35266464124483654
44,153,0.38464841095657376
45,9941,0.4405838819847617
45,1953,0.27002562518316303
46,3926,0.4493654384302179
46,1921,0.31864610312609054
46,3801,0.33215338001464534
46,5987,0.29508034142168776
47,604,0.40647314765026804
47,7449,0.3406414073638104
48,4093,0.3693870262856168
48,5804,0.3200432475201527
49,8992,0.3661773840126873
50,188,0.4148269955513024
51,8442,0.30718944677624455
52,9709,0.41500887271151615
53,1661,0.6320421886471153
54,1040,0.5284341130566259
54,674,0.35961320939365415
54,2137,0.4573252135625316
55,7544,0.413934158646763
55,423,0.4051194676155232
56,5347,0.36686440930654607
56,3461,0.307757512960387
57,129,0.5289463478642944
57,3505,0.5214892444206691
57,4708,0.48512022450182324
57,9235,0.39381326125438554
58,2603,0.4230853539705439
58,1296,0.4062972493354241
59,9494,0.5533009683005794
60,3733,0.27189683462702136
61,4362,0.4307422510956216
61,5435,0.36594949824335105
62,2109,0.4694645785651451
62,7917,0.4526471181210497
63,9359,0.28935137391090393
64,4317,0.3882233709627495
64,513,0.3532443350320821
64,854,0.3138090422096591
64,5845,0.32898694616728036
65,8204,0.3489561197790507
66,67,1.0000000596046448
66,71,1.0000000596046448
68,7184,0.3951765091663338
68,2177,0.37988097189393666
69,7934,0.2768207667978162
70,3773,0.3624406820110937
72,9786,0.3405963423441517
73,2742,0.3520217977398495
74,2102,0.29316150472704383
75,3312,0.37810405091016686
75,4895,0.32901795382854704
76,2054,0.38184878555867496
76,523,0.3199886500223758
76,5926,0.35395729678395516
77,9689,0.4229197985102447
78,6286,0.3515707893265826
78,3787,0.24057867498539426
79,1130,0.46546690432243965
79,3894,0.36419683989660057
80,8492,0.7998478347903559
80,6831,0.278404709544863
80,9134,0.40739390174937173
81,5760,0.6060431496593368
81,125,0.2924907046366388
81,8920,0.44143663756674334
82,1311,0.23062563559398672
83,9491,0.29344848310275956
84,5243,0.28950616821888586
85,4572,0.4197834403402775
86,3604,0.292173911251944
87,713,0.46140026420764285
88,7832,0.28548900236598057
89,2062,0.4104681048789546
89,1554,0.32302306659676866
