source,target,weight
0,28,0.1378848210041315
1,3,0.47260236884980045
2,23,0.2881063950569759
4,83,0.17113075616887657
5,34,0.22860071063041687
6,37,0.3192187990306963
7,23,0.31439115935568873
8,23,0.3599167837132023
9,12,0.45033494104048133
9,24,0.2553038824107633
9,77,0.2843880286747445
10,13,0.4531157721170992
11,72,0.21944481256500845
13,17,0.7687151083304693
14,23,0.3192175550192467
15,17,0.3489403648339409
15,16,0.3414994871987725
18,69,0.24163937022786847
19,51,0.21957451808209638
20,27,0.15130608661504463
21,26,0.39897290018593984
22,82,0.16263323067092963
23,86,0.3594357088277181
24,91,0.1903441055555103
25,60,0.3936792881623817
25,28,0.36562926106611016
25,34,0.2894578801047329
27,28,0.21930924010674357
29,37,0.15950618447183953
30,31,0.10059356528056554
31,61,0.2833670198475783
31,33,0.16284891435765173
31,43,0.1810957911433444
32,40,0.1785014016397723
35,78,0.14357799482525813
36,38,0.40387262253772066
37,60,0.40584703170050623
37,41,0.15693989396095276
37,46,0.25214967494258866
38,63,0.46691621067315126
38,45,0.39228684481025683
38,58,0.2620616652165102
38,68,0.19475334641313913
39,82,0.27942049027850785
40,44,0.17938309520580442
40,53,0.1525190676810196
42,89,0.18336567011727173
47,87,0.12990973889827728
48,50,0.36906826592744413
49,79,0.23005920100183871
52,57,0.16704124212265015
54,70,0.19192661344408965
55,68,0.18811226085146554
56,75,0.48218118460173426
56,61,0.46668802870744197
57,79,0.18973344564437866
59,61,0.2967862119405798
62,75,0.5799431311305572
62,66,0.25054790433113977
64,75,0.6951526600529778
64,65,0.21120925990126638
64,72,0.6547246423043962
64,74,0.6246947948049405
65,71,0.15664024969775253
67,73,0.30221021256580965
69,73,0.32146557304503354
70,73,0.3616948836646694
76,99,0.3259725602130611
78,85,0.40061023395618395
80,82,0.2540769569670689
81,83,0.5289990625702301
82,98,0.49364505543267767
83,85,0.4497637811615583
84,95,0.16749650457136084
86,87,0.25003138349613885
87,96,0.1460467278957367
88,92,0.15333253145217896
90,93,0.3919075824548397
90,92,0.30468933205074406
90,97,0.33010150131594945
93,94,0.18047336755364762
