source,target,weight
0,815,0.33037423697425594
1,980,0.25401318073272705
2,268,0.4104853804588181
3,90,0.36291064031698195
4,1151,0.4523411697842099
4,617,0.3376722886381293
5,145,0.37142142875356277
6,478,0.2624425048985998
7,1216,0.3118118988869537
8,321,0.3473657829137823
9,1194,0.24906821993858677
10,430,0.2795552149581369
11,655,0.15506678707792024
12,936,0.38055843379852117
12,441,0.3783609425097859
13,1057,0.3104978716749874
14,107,0.39380891151030933
14,628,0.38442185963340536
14,1091,0.33856624753898484
15,1261,0.42056419111851684
15,1042,0.28494079854349535
16,258,0.3587430498430824
17,77,0.2612437413031099
18,210,0.29662289821085264
18,649,0.20489914707370732
19,986,0.2514394642556248
20,1092,0.41589376782476906
21,26,1.0000000000000004
21,102,1.0000000000000004
21,1242,1.0000000000000004
21,1278,1.0000000000000004
22,916,0.2188527386343847
23,378,0.4101998836084322
23,270,0.3517525436351287
24,505,0.2991928952358609
25,1280,1.0
25,639,0.6796889206361474
25,1241,0.44390122312190317
27,45,0.3154630855784312
28,996,0.34128581578647366
29,1216,0.4533452796419275
29,546,0.28141171254240954
30,1065,0.3304886000528957
30,50,0.2973277188210797
30,1286,0.20105513584622012
31,74,0.2993212586669676
32,694,0.22214191979310335
33,815,0.35597934696421357
33,1229,0.30422363037340644
34,63,0.3768488456924949
35,217,0.26464154275552426
36,1187,0.2734741252979163
37,1023,0.37008674049218127
38,791,0.33860725116777546
38,188,0.33566916121834106
39,1261,0.5285225902050976
40,185,0.3198156423558818
40,82,0.21861239230667764
41,176,0.71913606771178
41,1063,0.3680754057491845
42,1064,0.29613327248077614
42,1099,0.2698742844785958
43,444,0.30778344446051087
43,457,0.27877112120680025
44,1162,0.3543153565687882
46,980,0.3725264167364627
47,160,0.20485257306081645
47,992,0.17780843377113342
48,128,0.4002795279525846
48,387,0.3615292604030496
48,719,0.382153542267586
48,1243,0.3901570315023608
49,1168,0.38479971850003664
49,350,0.2966637016028129
49,493,0.34813917541952466
49,794,0.21244402549572355
51,1074,0.4329083485398532
51,298,0.41876349876857943
51,394,0.280125032247321
51,403,0.3305255930236273
52,1152,0.9319222803525402
53,606,0.35774862532157437
53,370,0.31424924963208395
53,820,0.32645557486585924
54,884,0.34300952348661307
55,442,0.28458091102735494
56,984,0.4022647287972555
57,62,0.39736940709656254
58,568,0.2541246137922457
59,231,0.4464134853225923
59,93,0.4295542808902275
59,447,0.3690782602761479
60,633,0.35237203571067455
61,1023,0.3798930369949018
63,77,0.30506599545723084
63,175,0.34620948910114857
64,949,0.29740287401726545
65,303,0.2534954249858856
66,232,0.36455084836276985
67,738,0.5617737151229303
67,366,0.2949047590615365
68,1027,0.27842335684371605
69,431,0.31518895356062215
70,253,0.3249068256450469
71,93,0.3380309371368944
72,238,0.9671519930772259
72,1173,0.963924520771928
73,301,0.38812527533916824
75,526,0.368822526865617
75,334,0.3572191245403383
76,144,0.43510920641703266
76,1150,0.325871530473469
76,1163,0.39062705734655656
77,1080,0.23874740143973344
78,819,0.2838293870695915
79,624,0.40558991652004117
80,253,0.4026689082627783
81,259,0.28323967428950647
83,285,0.17666462063789368
84,787,0.28883460298624797
84,168,0.2683668217676345
85,1226,0.27394655860043954
86,483,1.0000001192092896
86,552,1.0000001192092896
86,1271,1.0000001192092896
87,388,0.42803620031950695
88,1164,0.3994845370086238
