source,target,weight
0,171,0.24830473808477352
1,21,0.28942506655984723
2,206,0.3279719115001085
2,378,0.3138723820223296
3,282,0.16810812164269756
4,249,0.3002339186450353
4,364,0.18129719512966255
5,255,0.2522973559757513
6,66,0.6089168149253195
6,130,0.23413822054862976
6,375,0.4537501552680059
7,254,0.26776647192494607
8,175,0.1816461419226845
9,17,0.3897980332575256
9,49,0.38288367279191016
10,137,0.29579066605641663
11,308,0.23060870869016112
12,286,0.40699729694307957
12,193,0.3533073452776621
12,237,0.35161937272261096
13,359,0.33637880838831624
13,57,0.24683836797002728
14,332,0.25470910466025715
15,369,0.2876299023628235
16,229,0.24821656942367554
18,343,0.2795716953487584
19,87,0.16121452219391227
20,39,0.28265872497681643
22,196,0.3291067771799879
22,263,0.2820071679368239
23,288,0.24350279257933366
24,28,0.3408565799386469
24,31,0.2855212136895184
24,138,0.31738239821579517
25,286,0.34657950773691143
26,126,0.2531049096085718
26,188,0.18296615779399872
27,29,0.3851500818973351
27,140,0.32088156789515376
28,356,0.23880862973569
30,387,0.209701269865036
31,190,0.25283550909599334
32,377,0.3843800440284843
33,273,0.46879034110112394
33,97,0.23404314436654822
33,206,0.3839537635388075
33,362,0.28324931928827873
34,38,0.329450968593338
34,52,0.31665672123173394
34,121,0.19154663383960724
34,135,0.27262587174340247
35,232,0.28037844313674987
36,131,0.40174117645293994
36,213,0.2814788568855302
37,100,0.4535323835496047
38,232,0.4053809435291793
38,117,0.3598536745301827
39,232,0.3822086882705612
39,48,0.33593768525155504
39,91,0.3342304477159365
40,247,0.22621674720527138
41,192,0.30802697863457285
41,45,0.2543044659548369
41,123,0.3022252679362305
42,206,0.36286590176616274
43,134,0.33451316864186054
44,282,0.395482221983247
44,139,0.2063133842700956
44,291,0.30941514018127053
44,344,0.3865193672193448
44,361,0.27357284080941807
46,296,0.40289223862069273
47,125,0.5261779483554024
50,206,0.3511215465845298
51,242,0.21370795453628905
52,82,0.3103387642210144
53,137,0.30671557573082386
53,319,0.25165532044308125
54,142,0.4394022717218501
55,325,0.3687031713404621
55,211,0.3565955846045642
55,252,0.29541668349343864
56,80,0.658830599522977
58,374,0.34073104749045935
59,355,0.29690401447645864
59,388,0.21756277067496174
60,83,0.2839931710343795
60,156,0.19181416934324047
61,98,0.2489669254888919
62,279,0.26018974393841565
63,234,0.15382414732973457
64,379,0.32173940143862195
64,294,0.2687584353932593
65,76,0.29800770077493005
65,120,0.28400698033418903
66,324,0.6091039710634815
66,177,0.40412986646426796
66,257,0.4341837536276295
67,118,0.40101040657749654
67,74,0.2541430248927243
68,98,0.2273203645742117
69,350,0.18915189206021657
70,80,0.3504229997425954
71,288,0.31115272013531764
72,277,0.3827058635079521
73,194,0.4118345684972081
73,109,0.30530379710597266
75,129,0.28166082482577154
76,312,0.22591371490474957
77,310,0.3645343861881636
77,357,0.3590499929510206
78,80,0.3729188383900129
79,379,0.2561037006710292
81,218,0.20033437304904997
81,128,0.14114325462867744
82,370,0.24083905004159253
83,105,0.2258731871843338
84,145,0.35255162753714914
85,296,0.7045615219180721
86,325,0.3320346434784476
86,373,0.2659810776167431
87,351,0.5885523606780363
88,123,0.2935400971648647
89,203,0.3330825813342682
90,142,0.47371538230429633
92,100,0.16098743677139282
93,373,0.21258486849388747
94,359,0.4067803923073652
94,196,0.35677225420912084
94,203,0.34633509154950193
94,249,0.3976360346434466
95,261,0.23722165522590305
96,184,0.21424614301420675
98,242,0.32003146133004934
99,105,0.21546366438967465
99,270,0.1410945422642087
101,340,0.24888945551901315
102,131,0.4013664245188103
102,104,0.3602421228437663
102,181,0.3156022172828762
102,314,0.2515952722852988
102,325,0.37780369189114815
103,226,0.15629535632342428
104,180,0.20650211484784003
106,221,0.41785972712239483
107,149,0.4013028000178376
107,132,0.28244335937417797
107,143,0.3565695223307017
107,339,0.38857945974687313
108,111,0.3893829417170253
108,275,0.31982874822116647
108,302,0.23762750609584582
108,307,0.32967895781629
110,111,0.3931871893405526
112,353,0.2850729268648637
112,205,0.18868874483106432
112,225,0.24244273792752763
113,387,0.2334473431110382
113,313,0.22931990027427673
114,145,0.361555081517836
115,316,0.1745244264602661
116,351,0.2628007504727234
119,291,0.19925650614826013
122,170,0.4682064363014376
124,178,0.2738417614406507
125,127,0.1891147792339325
129,247,0.38992227169277716
129,230,0.2565329200944557
131,136,0.4097077711853063
131,251,0.3678366725907897
132,367,0.19311333787337592
133,265,0.34550747590542724
133,163,0.21472900910144382
134,148,0.4847258143237083
135,146,0.26447172178353073
137,298,0.24170833826065063
141,282,0.5037261712240169
144,378,0.20183758455913142
145,232,0.43917307720342547
147,336,0.3285255113690132
147,272,0.2528721811809169
148,355,0.4039016963638404
150,227,0.21726251727505486
151,230,0.17894186819709587
152,229,0.5049313411856782
152,207,0.22111473668813042
152,353,0.36037224589942507
153,360,0.3816305036713739
154,360,0.38230635488608555
155,221,0.3800719993360647
157,318,0.14428365230560303
158,212,0.4625904727029525
158,232,0.44742038181260013
159,347,0.23118979787067678
160,289,0.17906388518918812
161,311,0.24266661077166132
162,217,0.2592882900444757
162,198,0.24723179810615328
164,170,0.5102925897588089
164,186,0.1774626076221466
165,368,0.347968412770698
166,167,0.28649316887814247
166,297,0.1911143660545349
167,279,0.3214783163728624
168,184,0.29518551337988996
168,200,0.2870621068274289
169,223,0.30763454729265893
169,176,0.2512437397248584
171,378,0.2644857544787489
172,227,0.3770487666635089
173,217,0.2670694068431953
174,373,0.18664388978421304
175,195,0.2482338762151517
177,293,0.33034300734816097
178,351,0.3274517736242455
179,228,0.1526811420917511
182,284,0.266914352043706
183,195,0.39633079379282266
185,354,0.34789243904966977
187,201,0.2847278702998281
187,226,0.21238158479187125
189,204,0.39495656141253466
189,347,0.2985094160499604
191,208,0.4016066571439186
191,331,0.32444068517748653
197,325,0.3181724140088805
199,325,0.3263868498133728
201,235,0.21688826612853962
202,343,0.34515223613597795
209,212,0.2624743082561671
210,329,0.2553144673377884
212,328,0.3686132217904756
214,327,0.22757758533686254
215,279,0.39348814524355247
216,350,0.16017757374275965
217,218,0.33270708428717843
219,232,0.4274783533900638
220,236,0.3161633091707337
221,337,0.27535986184102385
222,351,0.18045279333961572
224,232,0.3999787696312165
228,229,0.22145711987930122
229,321,0.47124693956369107
231,305,0.29620283974301853
232,233,0.3375487204055679
234,264,0.2748204422909293
234,350,0.26412160244952315
238,246,0.37053741464099355
238,241,0.31729662629838107
239,241,0.25870529695371447
240,358,0.36428880731224395
243,271,0.3325897890246287
243,248,0.3196454684604688
244,245,0.554301773470975
245,258,0.4287545498491323
246,289,0.22773806298055846
249,340,0.2525173564122835
249,380,0.279140503271763
250,264,0.25590530911246434
253,271,0.29811227535971335
256,284,0.22259275615215302
257,281,0.38569601077087395
257,283,0.39825823791965415
259,268,0.48953566636048335
259,260,0.33812219847064107
261,280,0.2565150696801767
262,363,0.31276698777998213
265,267,0.45318486437957156
266,357,0.3396899221957701
267,276,0.3057552499933148
269,333,0.2027722736560359
271,310,0.41008044922492104
271,327,0.39430038530782746
271,348,0.3168181311296583
274,369,0.1711827516555786
277,278,1.0
282,304,0.47912657370565326
285,290,0.2848616341463269
285,381,0.26383779470799107
287,300,0.24162882673345507
290,305,0.3502569064974398
292,366,0.32044094116331706
295,300,0.20618486668040398
299,369,0.5617070579559669
300,366,0.3842887350824935
300,383,0.27473356655128506
301,365,0.41765337012750986
303,308,0.26796104044243474
303,318,0.20236883456531196
304,382,0.19502882406842556
306,311,0.46076181380719994
308,348,0.30496289053415426
309,386,0.3339560338594245
310,323,0.34022902458855314
310,341,0.389974741177334
310,352,0.3443319202650714
