source,target,weight
0,325,1.0000001192092896
0,2238,1.0000001192092896
0,4486,1.0
0,4595,1.0
0,4628,1.0
0,4639,1.0
0,4651,1.0
0,4663,1.0
0,4664,1.0
0,4671,0.7005710858726293
0,4674,1.0
0,4708,1.0000001192092896
0,4748,1.0
0,4749,1.0
0,4773,1.0
0,4818,1.0
0,4845,1.0
0,4854,1.0
0,4881,1.0
0,4929,1.0
0,4943,1.0
0,4992,1.0000001192092896
0,5039,1.0
0,5059,1.0
0,5060,1.0
0,5094,1.0
0,5264,1.0
0,5266,1.0
0,5306,1.0000001192092896
0,5310,1.0000001192092896
0,5322,1.0
0,5336,1.0
0,5339,1.0
0,5347,1.0
0,5377,1.0
0,5452,1.0
0,5488,1.0
0,5752,1.0
0,5919,1.0
0,5935,1.0
0,5982,1.0
0,6055,1.0
0,6119,1.0
0,6154,0.9999998211860658
0,6156,1.0
0,6214,1.0
0,6215,1.0
0,6216,1.0
0,6217,1.0
0,6218,1.0
0,6266,1.0
0,6336,1.0
0,6420,1.0
0,6471,1.0
0,6502,1.0
0,6504,1.0
0,6515,1.0
0,6552,1.0
0,6563,1.0
0,6770,1.0000001192092896
0,6778,1.0
0,6792,1.0
0,6855,1.0
0,6874,1.0
0,7109,1.0
0,7147,1.0
0,7154,1.0
0,7275,1.0
0,7409,1.0
0,7575,1.0
0,7686,1.0
0,7702,1.0
0,7725,1.0
0,7748,1.0
0,7797,1.0
0,7858,1.0
0,8110,1.0
0,8155,1.0000001192092896
0,8166,1.0000001192092896
0,8363,1.0
0,8419,1.0
0,8503,1.0
0,8535,1.0
0,8538,1.0
0,8573,1.0
0,8574,1.0
0,8595,1.0
0,8606,1.0
0,8701,1.0
0,8736,1.0
0,8737,1.0
0,8746,1.0
0,8750,1.0
0,8787,1.0
0,8930,1.0
0,8953,1.0
0,8982,1.0000001192092896
0,8988,1.0
0,9000,1.0
0,9160,1.0
0,9194,1.0
0,9257,1.0
0,9342,1.0
0,9441,1.0000001192092896
0,9468,1.0
0,9507,0.9999998211860658
0,9517,1.0
0,9529,1.0
0,9541,1.0
0,9590,1.0
0,9592,1.0
0,9648,1.0
0,9711,1.0
0,9746,1.0
0,9774,0.5077674527222226
0,9775,1.0
0,9794,1.0
0,9892,1.0000001192092896
0,9897,1.0000001192092896
0,9899,1.0000001192092896
0,9906,1.0
0,9909,1.0
0,9933,1.0
0,9934,1.0
0,9945,1.0
0,9948,1.0
0,9966,1.0
1,16,0.5348876050758262
