source,target,weight
0,189,0.286429959963591
1,432,0.3449445808085592
2,95,0.39087818730844737
3,5,0.39705613674308926
3,54,0.276060356349908
4,12,0.3837084811082533
5,136,0.42533039810902484
6,324,0.24244562537664044
6,56,0.19249334484525482
7,170,0.4556984109943044
8,64,0.4113355271527922
8,116,0.35316140959688513
9,403,0.30617297056733217
10,136,0.46834980255606584
11,107,0.4334615393327779
13,318,0.33994342742885597
14,69,0.34736122234035033
15,39,0.5262530310100997
16,65,0.3084094159773638
17,131,0.253705702897196
18,96,0.4804355870016528
19,381,0.3739239848725999
20,374,0.2709232080871524
21,102,0.3508175004785645
22,265,0.2809656271396196
22,53,0.22782874231238084
23,133,0.3884977661963628
23,45,0.19555194212025506
23,370,0.2857362219357666
24,170,0.2526354163529822
25,66,0.3446940977614991
26,41,0.2513152189375011
27,50,0.2733563576366934
28,410,0.24443826831733367
29,40,0.6588457447362505
30,114,0.4164264714988102
31,63,0.2638328345019935
32,46,0.34821424362813486
33,374,0.2774187533163808
33,430,0.24160546198115737
34,119,0.20103709013045012
35,139,0.360981458144763
36,40,0.8147656909321463
37,42,0.5168911998434161
37,43,0.42993439446163945
38,79,0.3016742731382205
39,152,0.5111131658417678
44,47,0.26194899960089657
47,191,0.26228017485239274
48,52,0.7375568691705716
49,134,0.35448187991777863
50,235,0.41502201879607864
50,83,0.32327033053473575
51,153,0.4580516801277292
55,140,0.6803373507754129
55,137,0.5585772262726296
55,413,0.31764558426229517
56,68,0.18803781460428243
57,59,0.8152442918958956
58,81,0.4218285341518245
58,75,0.3212396847390373
60,371,0.4356018412606986
60,69,0.40269967729230316
61,109,0.27509518887139556
62,325,0.309088767295823
63,65,0.7348686067888501
66,91,0.18939858628283163
66,142,0.24564718173286965
66,421,0.17545529466203286
67,239,0.18556723761862154
70,107,0.27196321941628726
71,93,0.41905870676069534
72,350,0.26587407349978676
72,206,0.2401546459016537
73,132,0.4555496262557018
73,259,0.28787806081173173
74,141,0.29463439953681664
76,94,0.9342813718125892
77,78,0.33798927068710327
78,102,0.5707777947016173
78,108,0.3558269833524468
79,86,0.40396382683233373
80,389,0.5174026022800842
81,101,0.2682945430278778
