source,target,weight
0,52,0.24312138557434082
0,4,0.2226029932498932
1,10,0.20085268929068711
2,5,0.31995092261806146
3,89,0.4978647422583866
5,6,0.7660666278610341
5,57,0.2589780222439853
6,78,0.2228910291763148
6,99,0.17784305241914358
7,66,0.2643541286120301
7,85,0.22673865258233783
8,52,0.15443155169487
9,57,0.20147074692630673
10,59,0.2071480769493271
11,21,0.3367507604054929
12,93,0.216586754752673
13,75,0.14682735673493819
14,95,0.357156158642391
15,21,0.2359353655070718
15,16,0.16268442361392477
15,17,0.21508222818374634
18,21,0.32530732834365256
18,24,0.3225591104208346
18,91,0.19299555445930147
19,89,0.1490275752179319
20,23,0.17173340916633606
22,55,0.18621818310218524
23,73,0.25893856687268335
25,35,0.4307443060746134
26,46,0.3365204081099319
26,38,0.25906746796351016
27,50,0.23254239901922968
28,42,0.18826789966669125
29,37,0.3600528615941022
29,83,0.17349466289049487
30,31,0.4310461650628533
32,37,0.4571182921096989
33,42,0.517675958285547
33,40,0.4243020168860123
33,60,0.3324815036770924
34,36,0.7153688500131863
35,43,0.5246818930732198
36,37,0.7945597025659259
37,44,0.3311875964353763
39,80,0.22985670173661601
41,96,0.9543314278125763
42,80,0.25045861438967515
45,46,0.41107582045630375
47,59,0.19509867392888083
48,59,0.4937186908126612
48,67,0.284676234542859
48,82,0.35977627619063257
49,63,0.3154240984590591
51,79,0.17386184216910247
52,64,0.244478111595833
53,75,0.23926788661351855
54,62,0.3719610214040902
55,69,0.2553213456441253
56,72,0.35848611355349
57,68,0.2142409548255832
58,88,0.13755640387535095
60,97,0.23071442852911783
60,100,0.32388862494666615
61,74,0.14632745102883904
62,79,0.439762929082342
63,70,0.20661184770553664
64,65,0.3504571237559848
66,90,0.1331007033586502
69,79,0.41642063636581156
71,75,0.1628031509356614
73,101,0.2848808788457648
74,79,0.3370208741469719
75,94,0.15451955861537553
76,81,0.33348027468212366
77,97,0.14603488548446525
79,84,0.17936241626739502
79,95,0.3716723777090983
80,98,0.23774451823433868
86,87,0.27030087645769796
88,92,0.18287487894850135
