source,target,weight
6,20,0.40143072734903407
6,97,0.4530625680232425
7,645,0.4981792851424143
7,7766,0.44929934075708844
8,3589,0.4006035855650545
11,62,0.6195116758351715
12,1432,0.4073886687148304
14,1574,0.8751918424535724
14,1596,0.5076959317980503
18,56,0.549301501435318
18,66,0.6506158616724675
18,91,0.40238007334954734
18,162,0.6506158616724675
18,206,0.5685989196440244
18,849,0.48867176785429883
18,1270,0.6840976681891149
18,1309,0.6506158616724675
18,1344,0.6506158616724675
18,1351,0.6506158616724675
18,1394,0.6506158616724675
18,1395,0.6506158616724675
18,1432,0.5987228409860774
18,1512,0.6506158616724675
18,1573,0.5040328128490836
18,1706,0.4268300534309034
18,1954,0.5048494242000052
18,2020,0.6506158616724675
18,2025,0.6506158616724675
18,2329,0.6506158616724675
18,2377,0.42040628032484373
18,2653,0.6840976681891149
18,2672,0.42627731753384746
18,2679,0.6506158616724675
18,2799,0.47306971525749264
18,3083,0.6506158616724675
18,3193,0.6506158616724675
18,3520,0.43682815083883986
18,3676,0.6840976681891149
18,4213,0.43581465742739733
18,4251,0.6506158616724675
18,4569,0.6506158616724675
18,4685,0.6362649567790576
18,4966,0.6506158616724675
18,5179,0.4087216451446402
18,5277,0.4180736572409468
18,5305,0.6506158616724675
18,5350,0.41536552425226375
18,5372,0.6506158616724675
18,5470,0.4065250180673214
18,5651,0.6506158616724675
18,5732,0.41470110630507495
18,6191,0.6840976681891149
18,6200,0.4078427831545207
18,6297,0.4432624182582731
18,6390,0.6840976681891149
18,6402,0.6506158616724675
18,6707,0.6506158616724675
18,7011,0.507077847493645
18,7020,0.42114384170952757
18,7043,0.4962611721074305
18,7107,0.6506158616724675
18,7142,0.42676539448204
18,7202,0.6506158616724675
18,7232,0.6506158616724675
18,7381,0.6506158616724675
18,7446,0.4118606650211555
18,7485,0.6506158616724675
18,7569,0.6506158616724675
18,7577,0.6506158616724675
18,7709,0.6038554300187359
18,7776,0.6506158616724675
18,7813,0.6652180161657995
18,7890,0.6506158616724675
18,7920,0.530599324858645
21,450,0.5545384542634187
21,1946,0.4075651323373538
21,2760,0.42275113617029536
21,2963,0.4031419050137603
24,6241,0.4707299361560749
26,2085,0.40339899156340336
26,2130,0.4260511687016567
26,2246,0.40994402961996795
26,6493,0.44871768245826665
27,160,0.40110121557106093
27,2394,0.4004261916549663
28,39,0.4764605193615991
28,7818,0.46475220124758304
29,2491,0.4568154297185483
34,7813,0.414146994814762
34,7920,0.4078106258521808
36,42,0.40534386349762663
39,1732,0.40399798523406577
39,7487,0.5158961235486315
39,7818,0.4320099361877063
40,155,0.4098052043961333
40,313,0.4425964357093018
40,7034,0.5266332414102743
42,1081,0.42746251998590035
42,5799,0.40111387540645493
43,2687,0.48314381816205937
45,2318,0.4758818953085876
45,2389,0.4262007864931398
45,2565,0.4758818953085876
45,7033,0.40353774833197914
49,693,0.40849278710796255
49,6196,0.40962351547074155
51,91,0.5877551031513638
51,199,0.6893747324999124
53,840,0.49843507849336044
53,2195,0.6806040565954784
53,3244,0.680604026793156
53,7543,0.5584152913098913
54,55,0.4863764288259951
55,98,0.44584222807620455
56,66,0.5839029434188707
56,91,0.429305668655265
56,162,0.5839029434188707
56,206,0.5020702923302425
56,849,0.5143712484277082
56,1270,0.6434302511676653
56,1309,0.5839029434188707
56,1344,0.5839029434188707
56,1351,0.5839029434188707
56,1394,0.5839029434188707
56,1395,0.5839029434188707
56,1432,0.4656971434568648
56,1512,0.5839029434188707
56,1573,0.45917748669268876
56,1636,0.41500532410322283
56,1706,0.41505993357113563
56,1954,0.43930659726875754
56,2020,0.5839029434188707
56,2025,0.5839029434188707
56,2329,0.5839029434188707
56,2373,0.41089271654891674
56,2653,0.6434302511676653
56,2679,0.5839029434188707
56,2799,0.442383525946442
56,2894,0.421087343830457
56,3083,0.5839029434188707
56,3193,0.5839029434188707
56,3676,0.6434302511676653
56,4213,0.5165710769536745
56,4251,0.5839029434188707
56,4569,0.5839029434188707
56,4685,0.64732898692597
56,4966,0.5839029434188707
56,5179,0.4312829221735537
56,5305,0.5839029434188707
56,5372,0.5839029434188707
56,5470,0.4203940655587314
56,5651,0.5839029434188707
56,6191,0.6434302511676653
56,6297,0.4083085348499933
56,6390,0.6434302511676653
56,6402,0.5839029434188707
56,6707,0.5839029434188707
56,7011,0.4448214576574556
56,7020,0.418054993564759
56,7039,0.40147434070700094
56,7043,0.4710149567745167
56,7085,0.4022262763882943
56,7107,0.5839029434188707
56,7202,0.5839029434188707
56,7232,0.5839029434188707
56,7381,0.5839029434188707
56,7485,0.5839029434188707
56,7569,0.5839029434188707
56,7577,0.5839029434188707
56,7709,0.6285503092343617
56,7776,0.5839029434188707
56,7813,0.6245593610271318
56,7890,0.5839029434188707
56,7920,0.42087039444882546
56,8025,0.4082175925385735
58,2401,0.40214702374465433
58,4302,0.4126196798322358
59,542,0.4165973744256055
59,3387,0.4061759867127801
59,3456,0.4126005599160986
59,3587,0.40197939508268704
59,4330,0.4067603626767606
59,7181,0.41773133818097136
61,6531,0.4803010859492851
61,7098,0.5459303174456954
61,7330,0.525179546116694
61,7345,0.45811343663496895
61,7836,0.4102544009825517
63,7036,0.5897810147721883
64,103,0.7155027682228454
66,88,0.4015850153986541
66,91,0.4491960025513291
66,113,0.4345493032805046
66,162,1.0
66,195,0.4572961340165759
66,206,0.7787772311862271
66,284,0.40105471859994246
66,321,0.5389088072821004
66,392,0.4176420775903325
66,815,0.4448181641934095
66,849,0.5406464800514386
66,981,0.41705165422752566
66,1270,0.9543314576148987
66,1309,1.0
66,1316,0.4644987031125437
66,1344,1.0
66,1351,1.0
66,1388,0.4027497499248754
66,1394,1.0
66,1395,1.0
66,1432,0.6512497847826288
66,1512,1.0
66,1573,0.6391658130083588
66,1602,0.4172762833267887
66,1636,0.4017364754613799
66,1642,0.5189120983411821
66,1706,0.5929690335077684
66,1771,0.4969205562232769
66,1790,0.41705165422752566
66,1954,0.5924835467472975
66,2020,1.0
66,2025,1.0
66,2329,1.0
66,2344,0.47297392086585377
66,2377,0.5436481283437844
66,2386,0.5309493564620572
66,2494,0.41705165422752566
66,2532,0.450446384319808
66,2653,0.9543314576148987
66,2679,1.0
66,2799,0.6351713188383759
66,2894,0.5544270149575216
66,3002,0.4172762833267887
66,3083,1.0
66,3193,1.0
66,3271,0.45933996857452075
66,3416,0.4176420775903325
66,3429,0.4223470199525153
66,3520,0.6225864884895733
66,3676,0.9543314576148987
66,3963,0.4036871236133146
66,4055,0.434183382681377
66,4084,0.4067015724214835
66,4085,0.4353706938238568
66,4192,0.44583885992785954
66,4213,0.5636473219338474
66,4251,1.0
66,4339,0.49468150512006426
66,4440,0.4355959042214762
66,4569,1.0
66,4685,0.8614920548413048
66,4927,0.47587415662503846
66,4966,1.0
66,5179,0.5203358543299581
66,5183,0.4630405074704456
66,5277,0.5246610641105691
66,5287,0.4176420775903325
66,5305,1.0
66,5350,0.4363293110113966
66,5372,1.0
66,5457,0.4437390800751959
66,5470,0.5149332432222158
66,5651,1.0
66,5723,0.4347017285586503
