source,target,weight
2,10,0.4705496437464791
2,18,0.4026032175255778
2,30,0.43831782489892385
4,40,0.481710029243967
4,43,0.44132732142241526
4,58,0.4616005912543073
10,18,0.5253946972415264
10,30,0.6243236600515076
10,34,0.49573634274157863
10,406,0.41826066112137955
10,473,0.40530498227442313
10,546,0.4198652447499226
15,26,0.437260442993422
15,37,0.4219061888946636
15,225,0.4865213160918807
15,226,0.4999617056715523
15,397,0.4700955300563264
18,22,0.5317570146173668
18,30,0.5526333735560662
18,34,0.568131648161531
18,35,0.4302292424150377
18,249,0.42367553202503616
18,292,0.51149019347419
18,406,0.4430288644926207
18,538,0.4061112184166847
18,546,0.49477859353519077
22,30,0.5279041827649762
22,34,0.43916633845005965
22,35,0.5165212211636793
22,406,0.4204190131244973
26,37,0.43898375363279446
26,225,0.42513171888314444
26,226,0.4979612397748485
27,404,0.41717864025867085
30,34,0.5310236469092395
30,35,0.4127337398070893
30,406,0.417863545690503
30,546,0.427850437796261
30,660,0.41830545938318087
34,292,0.4062046362776107
34,546,0.5192188544821522
35,117,0.4407143359563934
35,406,0.4044813640375917
35,660,0.42404960259929314
37,225,0.4190979361153083
37,226,0.43758250387228004
38,40,0.41937703755912514
38,43,0.4281583230965105
40,43,0.5304774970381434
40,58,0.4276234137227921
43,58,0.4054787227960165
58,66,0.5613320520702291
62,416,0.4163542005502634
67,91,0.4497076922158679
67,295,0.4382148352636539
73,318,0.4762794570621255
81,83,0.48374492935090513
81,102,0.4359222062605702
83,90,0.41733999305454916
83,102,0.46633684272960657
83,108,0.42354916717895763
83,163,0.47871028753632644
83,295,0.4056698319238604
86,164,0.49117486376124997
90,117,0.40986807036675854
91,117,0.4111142857466242
91,191,0.43228186338063007
91,198,0.411849216896676
91,295,0.4131277321894002
97,210,0.45863774576718774
101,107,0.4174685022035154
105,117,0.4043111772659488
105,191,0.4579202094069156
105,215,0.40691092691567343
105,283,0.40307610009976325
107,182,0.42776539477917647
108,140,0.4082049006848295
108,163,0.4262492770064188
108,513,0.4057906154543231
109,311,0.41041519570917084
114,181,0.419168161582963
115,148,0.4198718732632433
117,140,0.41766919574233086
117,158,0.41715818918302294
117,191,0.43381239339305355
117,198,0.4055239604643014
117,215,0.4080874712762663
117,543,0.4173114209017009
117,660,0.40208137660168475
122,241,0.4145843744305089
125,664,0.41578236600212537
130,299,0.49194363754995973
135,180,0.5240722631291033
144,145,1.0
146,157,0.5360215269204478
146,210,0.4262533029144452
154,171,0.45159076103775064
154,192,0.43024548405252805
157,210,0.4015565944591706
160,295,0.41357010295944613
162,237,0.42358617413243715
162,259,0.42358617413243715
169,479,0.4369060224266501
184,554,0.6614682518470607
184,735,0.4814279450330955
192,309,0.5230733994162695
194,199,0.4130737831044222
202,206,0.4039582850074603
218,249,0.40474457316688534
222,249,0.4062584877742976
225,226,0.4374983130406028
225,397,0.4636858044477674
227,417,0.6029445031474148
231,238,0.49264276292070613
234,363,0.6315385216872995
234,644,0.4147141832450936
235,357,0.4649111185885121
237,259,1.0
239,274,0.41211191184402735
245,290,0.45067350026223607
249,437,0.4284513644218392
250,285,0.4038229233958044
251,424,0.562216598328642
272,323,0.5410628575544362
272,454,0.6050198781549477
272,532,0.4319597464209909
272,557,0.4319597762233133
275,624,0.51698785527563
287,432,0.41468265427570383
289,305,0.41707578998058376
296,340,0.4009549383006331
298,361,0.40851788057254196
298,370,0.4522648094735722
298,391,0.42450025205649383
298,460,0.530585681545841
303,310,0.4152373808309002
303,314,0.45598507632117136
303,329,0.4050223739550203
305,378,0.42972003063879405
310,316,0.4196305268491558
310,361,0.4018378956177253
310,450,0.4671035697889476
310,521,0.41119722397942077
311,391,0.40254047565092466
311,737,0.4366345987469844
313,460,0.41869872551415827
314,391,0.4064249162392306
314,460,0.439667588180726
314,504,0.4144280436300356
316,370,0.4880614707830023
316,460,0.46576842376765015
317,476,0.633801915749242
320,521,0.4064258747058226
322,524,0.4275196536914722
322,660,0.4317291250788149
323,454,0.8329912948968288
325,332,0.4591987441342896
325,361,0.4011898221591882
332,378,0.41528746884763634
333,460,0.4028457883826313
335,491,0.4003714441329975
335,671,0.4354063442764412
335,728,0.4055097738363874
338,343,0.46437030024991444
338,728,0.40672328105244393
340,461,0.40541080589567857
345,347,0.4864452701635401
345,449,0.414256297983995
352,460,0.4741082502877657
361,391,0.40588129741350376
361,460,0.47814028100790784
365,366,0.9999999403953554
365,367,0.9999999403953554
366,367,0.9999999403953554
368,369,0.9999999403953553
370,460,0.5123368549947569
378,460,0.4051418938867265
383,543,0.40156991507471784
385,651,0.4335344610309728
386,504,0.42477288990728823
386,521,0.4490533995363316
387,532,0.43717246665789733
387,557,0.4371724964602197
390,410,0.4286586993287715
391,460,0.5488699943431403
392,643,0.4049511989717738
402,472,0.5351436071686066
402,483,0.429932514312828
402,498,0.41529902593474866
402,500,0.40338667163309716
403,587,0.4413234517146556
403,614,0.43316348358468154
403,638,0.4293569156051755
403,660,0.462582045782579
406,487,0.5113713632659749
406,660,0.45785831196549376
406,740,0.4480008793838437
423,564,0.46825693726349904
429,727,0.511441219723959
430,446,0.5353151496779376
436,441,0.505154195378972
436,499,0.46473186293502633
443,458,0.49869248087661794
452,614,0.4133461817708688
467,612,0.4208213438922929
472,483,0.4435056892140038
472,498,0.4518125966246311
473,660,0.40458582932046555
477,614,0.4024496082101602
483,498,0.4850042757911359
490,574,0.6967459789875318
491,671,0.42891712088933476
491,728,0.42252659621412647
495,575,0.42019924533882047
498,525,0.469035248316962
515,668,0.4054383451829643
522,523,0.7049407569512729
529,596,0.44251978946666537
532,557,1.0000000596046448
534,579,0.43453988919249154
535,538,0.45346995182163485
537,571,0.4522548268326747
546,568,0.40582165699789285
546,569,0.4385335766273268
547,563,0.45580495659248976
547,566,0.5584858031960425
552,608,0.5275193988165955
553,579,0.44397054515801715
554,735,0.5852620632339057
556,569,0.4160694250509384
560,568,0.45902344547072643
563,566,0.4257480828968653
565,576,0.5453979064312332
568,569,0.42751293670646834
568,608,0.4081815617441711
571,581,0.41651000333382676
576,598,0.4398804278370798
577,603,0.4751198237105081
577,613,0.48184410597940863
577,619,0.4197284423491986
579,596,0.4862176848021386
587,614,0.4305640466002554
587,615,0.45399853889256825
599,671,0.4402297084505251
603,613,0.5016299200859575
603,619,0.5390578573748357
605,615,0.43492226025330744
613,619,0.4806329977125176
614,638,0.42995624943732214
614,660,0.4064478916812717
614,671,0.4319795087635716
619,648,0.4934877991522584
636,738,0.4197911114219928
638,660,0.40084447195537964
640,641,0.428406589720455
645,679,0.43057711231373375
646,677,0.4558567769604159
647,658,0.41235022935893606
647,677,0.4343847201190636
647,739,0.4415905433865134
652,670,0.41193513343212484
652,741,0.4125224157123405
658,677,0.4182055133536008
661,666,0.46325911315419976
662,677,0.4201151008846655
677,679,0.4632488042004669
677,732,0.40420649628399596
680,708,0.47792431334779983
680,722,0.45276766983492994
694,732,0.40778831726612746
696,722,0.46738603148715546
704,750,0.4423396804687354
713,729,0.4945433288395317
751,752,0.436197006633132
