source,target,weight
0,5,0.4641881173239338
0,33,0.4444782817613808
5,33,0.49447737992428087
13,42,0.4576489368260397
13,43,0.4576489368260397
17,21,0.4722833136857949
29,31,0.5298713910726505
36,66,0.5946259370513621
42,43,1.0000000596046448
46,64,0.4222074175188121
58,59,0.4149513479188443
58,101,0.42216623885919247
68,110,0.41361812467244674
68,111,0.5427028560503597
68,112,0.5863428477353761
86,105,0.4286960152513124
96,97,0.43562956469609365
101,102,0.5096351820573359
110,111,0.4626874817177974
110,112,0.45939403688906333
111,112,0.8067597032525781
