source,target,weight
4,6,0.9999999403953551
7,73,1.000000119209289
7,76,1.000000119209289
7,84,1.000000119209289
7,101,1.000000119209289
11,82,0.4578565374528869
14,31,0.4521055760276668
14,38,0.44765821986806165
14,47,0.46989332924242727
14,48,0.4035290246606124
14,54,0.40848648752884864
14,55,0.4277410624967424
14,56,0.4945412371853769
14,59,0.45312076222569453
14,60,0.4323814380726263
14,79,0.5170068505709715
14,82,0.46151299655210143
14,85,0.4157261231482968
15,20,0.9178846786231505
15,39,0.48236031815912667
20,39,0.466801162347921
21,52,0.46927000594464785
22,79,0.4059654717275509
24,61,0.45303065923072594
25,31,0.43778240564379856
25,46,0.4765475649568678
25,47,0.4019676918461055
25,82,0.4180688401065218
31,38,0.4750118163066058
31,46,0.5027717370639073
31,48,0.42526940802147484
31,54,0.42784130716604263
31,59,0.4429828849907106
31,60,0.4358687078596939
31,64,0.4928909854863375
31,79,0.4511970336068393
31,82,0.4993474612119809
38,40,0.42198495248374573
38,46,0.4190946003657557
38,47,0.4082145797248577
38,48,0.40510089224191326
38,56,0.42138664235952017
38,59,0.4093552142851616
38,60,0.42085130739946996
38,64,0.42929615794504283
38,79,0.49465571931642666
38,82,0.5072218076795847
40,79,0.43809805428659054
46,54,0.40411603270259056
46,59,0.4245982551316637
46,60,0.418078522182388
46,64,0.4832953967031293
46,82,0.4294665134864988
47,56,0.4115186470830084
47,88,0.5889546857132614
47,92,0.4072141951928868
48,51,0.43710715909516135
48,54,0.5173868446733088
48,55,0.5146568860913895
48,56,0.4295003182479281
48,59,0.453800152903181
48,60,0.40182127918700916
48,79,0.44118768051881846
48,82,0.43047160644262444
48,89,0.45885736866412097
49,58,0.46685556596494704
49,100,0.4847899167707672
51,55,0.41224063347013695
51,56,0.414270909211371
51,89,0.6576822869598006
51,91,0.6005462727840905
51,92,0.5610910838406284
52,53,0.47551888219002997
52,79,0.43377480273885827
52,82,0.4046952369218783
54,55,0.5123580439036183
54,56,0.4588504288136739
54,59,0.44875441745071043
54,60,0.45216622832717
54,64,0.43720078534974816
54,78,0.43016509148458165
54,79,0.4584360167439503
54,82,0.5046877884087051
54,92,0.4217008688220347
55,56,0.4834021354485747
55,59,0.5332427087205364
55,60,0.5482503211697627
55,64,0.4605340356832055
55,78,0.4123805725103461
55,79,0.4512762139171482
55,82,0.41879131285646887
55,88,0.40088985690153134
55,92,0.4147758557116886
56,59,0.5081093706955357
56,60,0.5381467745917232
56,78,0.434161668491017
56,79,0.48307639208365605
56,82,0.46387316884570884
56,85,0.41758255959026996
56,89,0.4051537816689315
56,92,0.4459921378280003
58,100,0.7437968663790522
59,60,0.5757367183211002
59,64,0.4696961483558987
59,79,0.4310264956557216
59,82,0.4523104843769986
59,92,0.4118704987734934
60,64,0.5400067887112932
60,79,0.46469016406937236
60,82,0.4480146123788097
64,82,0.4389866525243813
66,68,0.4169614093078019
73,76,1.000000119209289
73,84,1.000000119209289
73,101,1.000000119209289
75,78,0.40621060934253445
76,84,1.000000119209289
76,101,1.000000119209289
79,82,0.5294189630199327
79,90,0.4054607269463708
82,92,0.40166715676703135
84,101,1.000000119209289
89,92,0.4480998548271803
91,92,0.7209837193569246
102,104,0.40117670869717653
