source,target,weight
1,3172,0.4432126859374682
5,6388,0.4379063766301267
7,2469,0.426463274398014
11,1606,0.41676202055101363
11,6158,0.468051075568046
11,8665,0.4342558683077065
12,8832,0.4355527743844013
17,3780,0.44438787076940334
17,3803,0.429037903859761
17,6448,0.43375107884296193
17,8660,0.4905317433513823
17,9674,0.4360586494885055
18,582,0.5364535380391201
21,1223,0.4420294812665841
21,1252,0.4065926384653651
21,2002,0.5458085319379269
21,2177,0.44672884278972347
21,2179,0.4672302324515001
21,3327,0.5035244472094418
21,3510,0.4303687069954005
21,3592,0.40009103550868913
21,7325,0.45904719063193844
23,93,0.4074146376143135
25,973,0.5717373111762193
25,2357,0.4050304165273239
25,6259,0.4433128157665109
25,6470,0.6910674524064611
25,8323,0.561147046909878
25,9587,0.43551434895060576
28,3014,0.4136514616311767
28,3250,0.40002541585490936
28,8181,0.46091304002600697
29,34,0.45105787933832947
32,166,1.0
32,323,1.0
32,517,0.42448176466634063
32,707,1.0
32,822,0.7369240499785459
32,881,0.5814063777816012
32,954,0.404099181087352
32,1039,0.4846804734065535
32,1052,1.0
32,1054,1.0
32,1056,1.0
32,1058,1.0
32,1065,1.0
32,1066,1.0
32,1068,0.870034784078598
32,1137,1.0
32,1468,0.48846073212696794
32,1484,0.4676645116098901
32,1715,1.0
32,1824,0.43833090837615357
32,1867,0.9543314576148987
32,1967,0.6635423733101686
32,2015,1.0
32,2294,0.6608705520635221
32,2329,0.5168743962352695
32,2330,1.0
32,2704,1.0
32,2707,1.0
32,2717,1.0
32,2838,0.5390917564452613
32,2839,0.5390917564452613
32,2854,1.0
32,2926,0.5064471692201435
32,3139,0.9543314576148987
32,3552,1.0
32,3798,1.0
32,3941,1.0
32,3988,1.0
32,4067,0.8839076161384583
32,4083,0.4821858586255866
32,4218,0.9543314576148987
32,4287,1.0
32,4885,1.0
32,4886,1.0
32,5090,0.5346789154044114
32,5191,0.5554699390916957
32,5199,1.0
32,5400,1.0
32,5401,1.0
32,5406,1.0
32,5546,0.7525815402236702
32,5742,0.44022831705109194
32,5754,0.5053694276232841
32,5779,0.5846700833407474
32,5780,0.4892891503527002
32,5814,0.9543314576148987
32,5860,1.0
32,6289,1.0
32,6695,0.42873163399844727
32,6729,0.5301869388617222
32,6802,1.0
32,6821,1.0
32,6831,0.44287963485022597
32,7032,0.857185417387218
32,7143,0.45510118333269994
32,7164,0.5433520722815899
32,7165,0.48671367916092223
32,7251,0.4548477362328828
32,7458,0.9184393882751465
32,7519,0.4276303213340543
32,7540,1.0
32,7626,0.9543314576148987
32,7728,1.0
32,7741,0.6784868070471066
32,7752,0.9543314576148987
32,8108,1.0
32,8132,1.0
32,8133,1.0
32,8134,1.0
32,8300,0.4693101320658455
32,8337,0.46304420953992687
32,8338,0.5445806040797772
32,8415,1.0
