source,target,weight
0,1899,0.4344009516106695
3,6,0.44566951567267776
3,309,0.5586870612516335
6,7,0.6925236315338148
6,8,0.421126612493002
6,309,0.597860908896388
6,2263,0.40938579775323425
7,8,0.4390529466159413
7,309,0.5058667757853583
7,428,0.4196817000374682
14,18,0.4963510867255079
18,177,0.420277167418047
23,283,0.509933138439817
23,1429,0.6588504258027248
24,934,0.4124980731297649
26,426,0.4239418877338975
26,1889,0.4239418877338975
28,1543,1.0
29,1353,0.4201801227606603
31,1431,1.0000000596046448
32,142,0.4434805896239157
32,184,0.6082861492432512
32,186,0.6082861492432512
32,264,0.4383766285144205
32,468,1.0000001192092896
32,529,0.47469778180324934
32,823,0.4200263950043887
32,1040,1.0000001192092896
32,1119,0.41558906280892993
32,1145,0.5562326754259608
32,1154,0.4685226595629681
32,1341,0.4572588012816948
32,1371,0.6757340094944634
32,1586,0.5149496328850975
32,1744,0.4488497314167781
32,1827,1.0000001192092896
32,1971,0.7005702868130674
32,2313,0.5170579142318485
32,2525,0.47683434564154176
38,47,0.45343433116392334
38,178,0.4433367257884275
39,153,0.429227080254418
39,276,0.41261338820920623
39,280,0.41261338820920623
39,402,0.41261338820920623
39,780,0.41261338820920623
39,842,0.429227080254418
39,868,0.429227080254418
39,2353,0.41261338820920623
41,566,0.40315570604787176
42,48,0.4350976566388659
42,92,0.42731904682590305
46,51,0.4055356425946648
47,178,0.8460319918828393
47,196,0.40905864843032386
47,267,0.4935618886803016
47,401,0.5131945782210761
47,484,0.42652620356627313
47,538,0.4102610569540933
47,626,0.4053208547620788
47,707,0.4302803028686934
47,1348,0.42666798811252227
47,1556,0.42062281646166755
47,1672,0.470490891545778
47,1939,0.48841367983839584
47,1941,0.48841367983839584
47,2038,0.42537727779007833
47,2308,0.4222822166041463
47,2590,0.5652002880114405
51,1544,0.4155898479231294
52,87,0.7160211336348645
52,117,0.6482619175441215
52,1160,0.6087922599794346
52,2547,0.41963210862621714
53,89,0.43325968983698027
57,939,0.6642166033316979
57,953,0.6642166033316979
58,60,0.5222553234713878
58,223,0.4346831337917188
58,691,0.4233367607167007
60,173,0.4289788027989213
62,179,0.4597085191652829
62,180,0.5127732783795398
64,262,0.4043638243549623
64,291,0.4400586394136749
64,447,0.41288917374286377
64,1247,0.40613198647902465
64,1280,0.472465824244446
64,1294,0.4032240294366328
64,1310,0.4068475427001814
64,1312,0.4727386745647049
64,1317,0.4030296614280826
64,1334,0.41314453794308764
64,1541,0.40653836025104284
64,1544,0.4316817057371139
64,2052,0.4518044418623759
64,2074,0.43390382504945374
64,2116,0.4295451598754385
64,2139,0.47288970992653184
64,2189,0.4072074585792703
65,453,0.40257747541151895
65,805,0.40499876891237596
66,691,0.4575104571512069
66,891,0.41835555614046804
66,1156,0.40632007495618794
71,1490,0.46140075597761615
71,1529,0.46140075597761615
73,1118,0.48496212132388217
74,1523,0.40274810483732615
77,600,0.45059010122676574
77,955,0.45059010122676574
77,998,0.45059010122676574
77,1000,0.45059010122676574
77,1244,0.45059010122676574
77,1890,0.45059010122676574
77,2521,0.45059010122676574
77,2533,0.4470303244677321
78,329,0.6476156722562048
80,362,0.5124267091684291
81,188,0.41334476600769293
84,765,0.42644151018739784
87,117,0.5200162726455262
87,1160,0.47420043709099813
90,92,0.4106399480725687
94,600,0.40167171877738095
94,955,0.40167171877738095
94,998,0.40167171877738095
94,1000,0.40167171877738095
94,1244,0.40167171877738095
94,1890,0.40167174857970334
94,2521,0.40167171877738095
95,96,0.5797461893384332
96,788,0.4609963334391598
96,1353,0.4177127117917401
98,401,0.4315066243371068
104,878,0.6588789606824527
104,883,0.44984660446519137
105,108,0.47212982886919586
106,107,0.4668362265979188
106,108,0.4265960031195806
106,118,0.44871144911133926
107,108,0.4349288138272811
107,118,0.4865170345788993
111,181,0.4515153244344372
111,205,0.4170511075276695
111,293,0.5808829931799033
