source,target,weight
0,54,0.42700541377712053
2,3,0.448367331607812
2,10,0.4211239828763188
2,41,0.4434777977556388
2,43,0.4322643782528959
2,154,0.42166327372120516
12,14,0.4131331981992726
13,17,0.41655056749466657
17,138,0.4014152513377448
24,25,0.41891319191556514
26,29,0.4046848561824573
28,30,0.40905186948510386
30,32,0.7042431843356102
33,121,0.5185530175100708
33,122,0.4644174894482606
34,44,0.4889282506036353
34,51,0.49809352409948604
39,40,0.46284408725334736
39,41,0.5790303770900611
39,43,0.4167316552151721
40,41,0.4420713865300994
41,42,0.43351819628444976
41,43,0.6068964871439069
42,44,0.4895619868355253
42,49,0.4485229963734544
44,49,0.5650456505204717
44,50,0.41019558628762853
49,50,0.42588961230765443
56,65,0.4135838755995245
74,75,0.751791757923118
74,78,0.41610819570577195
77,78,0.4144539234702818
77,81,0.45073398766577594
90,121,0.40430541978529655
100,101,1.0000000596046448
116,124,0.48413263293996345
116,136,0.49575175135520017
121,122,0.5518370526835008
124,136,0.5170162738630854
127,136,0.41397062690372066
135,141,0.4396967843048939
152,153,0.4391436266803931
153,154,0.5423732985728076
153,156,0.6656637017750204
153,159,0.44351835295268216
154,156,0.6197940367909907
154,157,0.5017518838050435
154,159,0.4022763688434666
154,160,0.4029338910112428
156,157,0.4084605074377294
156,159,0.5001159645052327
157,159,0.4183504839943751
166,167,0.4112842687772557
