source,target,weight
5,94,1.000000238418579
5,165,0.5221276015441411
6,7,1.0000000596046448
6,14,1.0000000596046448
6,110,0.6850905512564879
6,116,1.0000000596046448
7,14,1.0000000596046448
7,110,0.6850905512564879
7,116,1.0000000596046448
14,110,0.6850905512564879
14,116,1.0000000596046448
16,22,0.42487968161890566
17,64,0.4016991132909814
18,21,0.41092607771805334
19,112,0.4237234192478698
25,68,0.6486681012200745
25,108,0.40074315740725563
38,79,0.451759050054966
42,43,1.0000000596046448
42,82,0.6127419323067267
43,82,0.6127419323067267
59,60,0.49498045976646715
63,64,0.5944332029140601
80,167,0.4933101736839199
80,170,0.5280986300520542
88,101,1.0000000596046448
88,107,1.0000000596046448
89,91,0.7444465792136976
94,165,0.5221276015441411
95,150,0.7077787461549147
95,155,0.4906241047374585
101,107,1.0000000596046448
104,106,0.5539128652182128
110,116,0.6850905512564879
112,141,0.4268756280978448
125,126,0.4743825747624849
130,136,0.5283921754915398
131,137,0.8512338743266588
140,141,0.5448296587436511
143,144,1.000000238418579
146,170,0.4472772825512239
150,155,0.4288691878960045
