source,target,weight
0,44,0.4797701795410261
4,54,0.4195546286893702
21,213,0.4752471644978483
21,465,0.40398938908373483
21,584,0.5334263641934355
22,631,0.40584158245435464
23,145,0.4152466374321235
24,179,0.7624489896476305
25,488,0.4669613647366639
36,414,0.44297693894337065
36,631,0.5053255606444416
38,229,0.5173556159800935
44,327,0.45963963918888573
44,334,0.45028287715715587
44,356,0.41707024309176044
44,567,0.41383522719585664
45,271,0.40184023918794665
57,130,0.5544932620156252
57,514,0.46665616366355045
58,61,0.49409234503529637
78,307,0.42938463224333406
86,129,0.40350822283431875
88,133,0.40831818160238115
90,151,0.4229719061300317
90,418,0.47094232825440546
90,529,0.4677804669856706
90,693,0.4491557950240378
91,389,0.405912132293413
93,180,0.5321440701681309
100,806,0.48079364279928194
100,822,0.452832812508665
102,447,0.4300116021607672
104,924,0.41697870748294585
105,455,0.4120592722261007
108,111,1.0000001192092896
109,154,0.4683854134812773
110,297,0.5374932018619618
110,351,0.976962149143219
110,495,0.4840667539591631
110,496,0.9008549451828003
110,518,0.4992412595315713
110,525,0.4418498006118574
110,560,0.6432752840610505
110,733,0.9921032190322876
110,831,0.9008549451828003
110,855,0.9008549451828003
110,871,0.4418498006118574
112,123,0.48345856553868793
112,553,0.42050628345975427
116,166,0.40354117782394855
123,149,0.4438757111569501
126,173,0.40187714520418943
126,262,0.5236497022418725
126,499,0.41862717564144747
126,502,0.42832592890279203
126,504,0.4454560291949198
126,539,0.4178224073152643
128,195,0.595611003747701
130,514,0.4094995217269083
134,229,0.4297689993345623
143,553,0.41011946896654217
153,330,0.5462083474854377
155,332,0.44370554181918204
161,432,0.4381904567942426
172,828,0.6542457912860636
186,203,0.4048597679562741
193,321,0.7796509059487253
195,796,0.4005564413604932
198,521,0.47826732120920845
204,539,0.5680317017414092
211,578,0.40529659180299027
212,354,0.4231560545059163
212,553,0.4044372004764832
213,309,0.410206549005104
213,465,0.4213915611723579
213,584,0.5424496729474028
228,229,0.44330654215451637
228,462,0.4011794389078821
229,354,0.46462530922744993
249,324,0.4506972545472181
261,294,0.45405969706356947
261,302,0.5013774909792386
270,271,0.45626891328899233
271,501,0.44437594854742457
280,900,0.8213786482810974
292,300,0.4497675153977789
294,302,0.5002321818331171
297,351,0.5333742228847584
297,496,0.4990690378051839
297,733,0.5340823111635289
297,831,0.4990690378051839
297,855,0.4990690378051839
303,521,0.4412450894289385
305,394,0.42642985191104466
309,584,0.4212202952667007
313,314,0.9220548868179321
320,335,0.4209472847624486
334,388,0.43536634169239574
337,338,1.0
337,700,0.45687878147827227
338,700,0.45687878147827227
343,363,0.6398209241895167
351,495,0.4768807881827196
351,496,0.9543314576148987
351,518,0.4985782621665734
351,525,0.43541464474332714
351,560,0.6517540447803498
351,733,0.9534153044223785
351,831,0.9543314576148987
351,855,0.9543314576148987
351,871,0.43541464474332714
356,358,0.4157757985593548
357,378,0.5500827126642912
370,457,0.5104259928835033
375,439,0.4358177975285048
375,456,0.5019770236314982
379,495,0.7800456511238314
380,473,0.41151564560280074
381,510,0.446104919466211
389,394,0.6192292617232545
399,406,0.47156868806787594
408,413,0.5156552813331908
408,425,0.5130144470370706
408,610,0.43394963342822346
410,411,0.9850184704179251
412,516,0.4261809954396637
413,425,0.7454204937895322
414,631,0.5096314472440069
418,693,0.41181317830321085
420,567,0.4051345372112757
422,676,0.40893759653087713
423,470,0.4078206340868553
423,508,0.49855110941475445
432,463,0.42333305044034175
432,635,0.4314200995075722
442,447,0.45080187657116966
447,503,0.4032657713399708
451,463,0.4344500181113433
451,498,0.42885309866933735
451,714,0.4221522351695388
462,487,0.5525008055254677
462,828,0.49195530397730614
465,584,0.4079851056555427
466,494,0.49668093593502116
470,508,0.49205628696330084
476,477,0.4217670767222027
491,533,0.42673747795935635
495,496,0.45548105177830067
495,733,0.48537456927250233
495,831,0.45548105177830067
