source,target,weight
0,26,0.4872976965779058
0,564,0.400501711355713
10,12,0.6087701981199827
10,22,0.42044763700175847
12,22,0.4881490213175207
12,44,0.4851399621502923
16,139,0.44219789117600633
16,205,0.40983913877919975
17,181,0.568292114953246
22,44,0.4817949401291327
25,69,0.4112997651189738
27,88,0.9008549451828003
27,102,0.976962149143219
27,161,0.9008549451828003
27,176,0.44352068320640237
41,125,0.49880074153568965
42,248,0.4090917571756433
49,55,0.48512859481804527
59,391,0.4069487882696308
72,100,0.4363301316829687
77,109,0.40752458591360563
77,154,0.41552279235414236
79,112,0.4556833474165989
88,102,0.9543314576148987
88,161,1.0
88,176,0.45152603403457314
90,155,0.41465740015483366
92,116,0.47062454223632105
102,161,0.9543314576148987
102,176,0.4616557540071836
124,193,0.44270045992193996
125,185,0.6874486601351912
126,530,0.49902527078366443
128,566,0.4337793816538667
129,133,0.6258265335534812
132,207,0.4247380198977146
135,136,0.5903945191777844
135,191,0.517298265172978
136,158,0.42658158560975107
136,191,0.554138002828294
137,180,0.40835934015178144
139,175,0.5131284195267974
139,205,0.46830812048902803
139,298,0.4292832280055959
146,149,0.43201260640031125
146,262,0.6343700492345218
146,282,0.409833804010879
161,176,0.45152603403457314
164,177,0.45439429846593554
167,175,0.4228105016807069
169,170,0.42784511643811735
175,195,0.45792627322274165
179,210,0.40280716404533157
187,200,0.4271127713240642
195,196,0.4075486637451077
195,298,0.42780183085595264
196,298,0.4067540529955849
201,205,0.41075213405771877
201,336,0.4156669522090779
222,227,0.4634779468498595
222,334,0.465748078249337
227,334,0.5864293261028118
229,239,0.4484396032245156
232,408,0.5792677989516765
243,559,0.4057486481526919
248,433,0.4184132312149974
263,297,0.4036949543084378
265,284,0.5623113286676679
274,276,0.4560505107700429
276,278,0.48008160294708163
283,297,0.418160315936272
293,320,0.48180937786203726
293,321,0.47996603214986927
302,303,0.9999998807907104
310,358,0.421043079799975
322,559,0.4289698444323863
340,530,0.4426039456438657
341,391,0.415439612633988
341,554,0.45210130188737196
345,572,0.6359161900392918
349,355,0.5023394503070542
359,392,0.44768882632817053
359,394,0.43146158865287665
359,446,0.4815619766609791
366,418,0.6306889313587198
366,421,0.4592099069661608
368,387,0.4349669439122218
368,388,0.4790282071551314
372,375,0.4983914591444282
374,376,0.4610155141215009
374,377,0.4859636892924303
374,418,0.5671760956970606
376,377,0.41338630800593
376,378,0.42696974933962195
387,388,0.49689134134521523
388,446,0.42753708955774894
391,415,0.4070368869278804
392,446,0.4519219750373031
395,397,0.432286810383605
399,560,0.40027453669551993
415,432,0.5666245561272418
418,421,0.5742351537493489
456,457,0.491372162132594
461,562,0.49854727859655
463,500,0.46157105098645496
479,493,0.4156233595955918
481,482,0.5383350248871894
483,489,0.429259739593274
483,532,0.587057282665056
483,539,0.5067288232108815
493,528,0.40400975661722105
493,529,0.41756122267228346
495,503,0.5682073571049615
498,532,0.42890912692331395
517,528,0.4874333130058735
530,555,0.4398796658114795
532,539,0.5554348203982878
535,564,0.4024043970020606
546,566,0.4185990489785886
554,569,0.42029858756809735
