source,target,weight
0,5,1.0000000596046448
0,16,1.0000000596046448
0,33,0.8200640320593686
0,44,1.0000000596046448
0,49,1.0000000596046448
0,59,1.0000000596046448
0,62,1.0000000596046448
0,76,1.0000000596046448
0,77,1.0000001192092896
0,78,1.0000001192092896
0,81,0.8200640320593686
0,82,1.0
0,84,1.0
0,85,1.0
0,88,0.8200639426524015
0,89,1.0
0,90,0.8200640320593686
0,91,0.8200640320593686
0,92,1.0000001192092896
0,95,1.0000000596046448
0,99,0.8200640320593686
0,107,0.8200639426524015
0,111,1.0
0,113,0.8200639426524015
0,121,1.0
0,128,1.0000001192092896
0,129,1.0000001192092896
0,133,1.0000001192092896
0,134,1.0000001192092896
0,135,1.0000001192092896
0,168,1.0000001192092896
0,178,1.0
0,179,1.0000000596046448
0,180,1.0
0,186,1.0000001192092896
0,193,1.0000001192092896
0,197,1.0000001192092896
0,206,1.0
0,216,1.0
0,217,0.9999999701976776
0,227,1.0
0,231,1.0
0,232,1.0
0,234,1.0
0,236,1.0000000596046448
0,246,1.0000000596046448
0,252,1.0000000596046448
0,259,1.0
0,265,1.0
0,277,1.0000000596046448
0,279,1.0000001192092896
0,281,0.8200640320593686
5,16,1.0000000596046448
5,33,0.8200640320593686
5,44,1.0000000596046448
5,49,1.0000000596046448
5,59,1.0000000596046448
5,62,1.0000000596046448
5,76,1.0000000596046448
5,77,1.0000001192092896
5,78,1.0000001192092896
5,81,0.8200640320593686
5,82,1.0
5,84,1.0
5,85,1.0
5,88,0.8200639426524015
5,89,1.0
5,90,0.8200640320593686
5,91,0.8200640320593686
5,92,1.0000001192092896
5,95,1.0000000596046448
5,99,0.8200640320593686
5,107,0.8200639426524015
5,111,1.0
5,113,0.8200639426524015
5,121,1.0
5,128,1.0000001192092896
5,129,1.0000001192092896
5,133,1.0000001192092896
5,134,1.0000001192092896
5,135,1.0000001192092896
5,168,1.0000001192092896
5,178,1.0
5,179,1.0000000596046448
5,180,1.0
5,186,1.0000001192092896
5,193,1.0000001192092896
5,197,1.0000001192092896
5,206,1.0
5,216,1.0
5,217,0.9999999701976776
5,227,1.0
5,231,1.0
5,232,1.0
5,234,1.0
5,236,1.0000000596046448
5,246,1.0000000596046448
5,252,1.0000000596046448
5,259,1.0
5,265,1.0
5,277,1.0000000596046448
5,279,1.0000001192092896
5,281,0.8200640320593686
10,14,0.6169815948902635
15,274,0.5715983775924041
16,33,0.8200640320593686
16,44,1.0000000596046448
16,49,1.0000000596046448
16,59,1.0000000596046448
16,62,1.0000000596046448
16,76,1.0000000596046448
16,77,1.0000001192092896
16,78,1.0000001192092896
16,81,0.8200640320593686
16,82,1.0
16,84,1.0
16,85,1.0
16,88,0.8200639426524015
16,89,1.0
16,90,0.8200640320593686
16,91,0.8200640320593686
16,92,1.0000001192092896
16,95,1.0000000596046448
16,99,0.8200640320593686
16,107,0.8200639426524015
16,111,1.0
16,113,0.8200639426524015
16,121,1.0
16,128,1.0000001192092896
16,129,1.0000001192092896
16,133,1.0000001192092896
16,134,1.0000001192092896
16,135,1.0000001192092896
16,168,1.0000001192092896
16,178,1.0
16,179,1.0000000596046448
16,180,1.0
16,186,1.0000001192092896
16,193,1.0000001192092896
16,197,1.0000001192092896
16,206,1.0
16,216,1.0
16,217,0.9999999701976776
16,227,1.0
16,231,1.0
16,232,1.0
16,234,1.0
16,236,1.0000000596046448
16,246,1.0000000596046448
16,252,1.0000000596046448
16,259,1.0
16,265,1.0
16,277,1.0000000596046448
16,279,1.0000001192092896
16,281,0.8200640320593686
17,19,0.683562872637022
18,29,0.419107964129201
20,23,0.4046750482533454
20,30,0.4089477887712582
23,30,0.4236262269391392
27,229,0.46749075212262503
28,36,0.49052529143728385
28,278,0.49744518207945
29,109,0.5066153367536653
29,110,0.4190722663699822
29,115,0.4220539911880846
29,120,0.5136440354138377
29,148,0.4544753919878437
31,48,0.4006199571017703
31,138,0.8444939255714417
33,44,0.8200640320593686
33,49,0.8200640320593686
33,59,0.8200639724547238
33,62,0.8200640320593686
33,76,0.8200640320593686
33,77,0.8200640320593686
33,78,0.8200639724547238
33,81,1.0000000596046448
33,82,0.8200640320593686
33,84,0.8200640320593686
33,85,0.8200640320593686
33,88,1.0000000596046448
33,89,0.8200640320593686
33,90,1.0000000596046448
33,91,1.0000000596046448
33,92,0.8200640320593686
33,95,0.8200640320593686
33,99,1.0000000596046448
33,107,1.0000000596046448
33,111,0.8200640320593686
33,113,1.0000000596046448
33,121,0.8200640320593686
33,128,0.8200640320593686
33,129,0.8200640320593686
33,133,0.8200640320593686
33,134,0.8200640320593686
33,135,0.8200640320593686
33,168,0.8200639128500791
33,178,0.8200640320593686
33,179,0.8200640320593686
33,180,0.8200640320593686
33,186,0.8200640320593686
33,193,0.8200639724547238
33,197,0.8200639724547238
33,206,0.8200640320593686
33,216,0.8200640320593686
33,217,0.8200639724547238
33,227,0.8200640320593686
33,231,0.8200640022570462
33,232,0.8200640320593686
33,234,0.8200640320593686
33,236,0.8200640320593686
33,246,0.8200640320593686
33,252,0.8200640320593686
33,259,0.8200640320593686
33,265,0.8200640320593686
33,277,0.8200640022570462
33,279,0.8200640320593686
33,281,1.0000000596046448
36,175,0.5729226301364723
36,278,0.9543314576148987
44,49,1.0000000596046448
44,59,1.0000000596046448
44,62,1.0000000596046448
44,76,1.0000000596046448
44,77,1.0000001192092896
44,78,1.0000001192092896
44,81,0.8200640320593686
44,82,1.0
44,84,1.0
44,85,1.0
44,88,0.8200639426524015
44,89,1.0
44,90,0.8200640320593686
44,91,0.8200640320593686
44,92,1.0000001192092896
44,95,1.0000000596046448
44,99,0.8200640320593686
44,107,0.8200639426524015
44,111,1.0
44,113,0.8200639426524015
44,121,1.0
44,128,1.0000001192092896
44,129,1.0000001192092896
44,133,1.0000001192092896
44,134,1.0000001192092896
44,135,1.0000001192092896
44,168,1.0000001192092896
44,178,1.0
44,179,1.0000000596046448
44,180,1.0
44,186,1.0000001192092896
44,193,1.0000001192092896
44,197,1.0000001192092896
44,206,1.0
44,216,1.0
44,217,0.9999999701976776
44,227,1.0
44,231,1.0
44,232,1.0
44,234,1.0
44,236,1.0000000596046448
44,246,1.0000000596046448
44,252,1.0000000596046448
44,259,1.0
44,265,1.0
44,277,1.0000000596046448
44,279,1.0000001192092896
44,281,0.8200640320593686
45,46,0.5192657071467737
45,47,0.6228860902340131
45,48,0.43842020816900285
45,50,0.404069283989022
45,55,0.5728862593706001
45,68,0.4556586393021831
45,70,0.7210819924328451
45,109,0.46562849149383934
45,110,0.422925220066357
45,114,0.4460560677773495
45,115,0.7900622080753967
45,117,0.401211510346319
45,118,0.5624841479087836
45,120,0.6410734150866664
45,122,0.7022763295758864
45,142,0.5699885152324217
45,148,0.5206733190606863
45,174,0.4199368758356975
45,260,0.5282340120042475
46,47,0.4904503604736933
46,55,0.4425633605005209
46,70,0.4314220481815757
46,115,0.4688038849723436
46,122,0.4016374978840972
47,55,0.4362046101257182
47,70,0.5344119739992427
47,115,0.5876478496052566
