source,target,weight
4,6,0.5637889806360041
4,34,0.49781998961998175
4,38,0.4670301428014416
4,39,0.46131785594973773
4,40,0.49883818000517477
4,41,0.5028803356935079
4,61,0.4115163391081465
4,68,0.40231734539763075
4,69,0.4582398404990751
4,70,0.44777137934675804
4,71,0.43032026127471223
4,79,0.4486424021884174
4,80,0.4114625959468303
4,82,0.4102549925249984
4,86,0.44833639899270084
4,89,0.4034261760473993
4,97,0.42169160704077197
4,98,0.5014257681786898
4,99,0.5094983664462394
4,102,0.4079635098883265
4,104,0.4469158901040637
6,34,0.43502179164009513
6,38,0.4711252743989231
6,39,0.5512621046718484
6,40,0.4485456358934423
6,41,0.48863837318936265
6,53,0.40074290033827153
6,68,0.4236566155124282
6,69,0.4181181684597661
6,75,0.451490355643252
6,76,0.4096994001817509
6,86,0.43505369921724313
6,90,0.4014485557985148
6,98,0.44011849134876313
6,99,0.5355104226510573
7,23,0.4286702073145764
7,25,0.41354971510373645
7,33,0.41504341103330755
7,61,0.4093042824663444
7,62,0.4312547323220435
7,68,0.40628766598394483
7,70,0.4353985627542658
7,71,0.46690465901722156
7,79,0.40430963982002877
7,83,0.4231003065059644
7,84,0.4048148521370594
7,89,0.4089968434029483
7,92,0.4128594042170588
7,93,0.41763392007786193
7,94,0.4496258990025489
7,97,0.41514904572060496
7,98,0.45678844794579615
10,28,0.44208813652127377
10,46,0.42170081939060455
10,59,0.5258176741031275
10,61,0.4213672122893453
10,62,0.4282877640623879
10,78,0.4327134665160871
10,83,0.4433909809692878
10,94,0.42228745092224634
10,96,0.4188705012796826
10,100,0.43706032327879296
10,105,0.439515095157303
10,108,0.41064175313200535
12,83,0.4452749752482299
14,101,0.4011820422142155
14,110,0.4844962140737775
14,111,0.5125543763288657
17,52,0.41980908016637075
17,53,0.4307691228610929
17,88,0.5053155481160599
18,23,0.4564862492711592
18,24,0.4041296732764704
18,55,0.40359367596593204
18,62,0.442462395416729
18,64,0.41731513128884345
18,83,0.43303038113921377
18,84,0.5652347807423601
18,111,0.4087982153116234
20,105,0.40492211317811755
23,24,0.4457117829052312
23,32,0.550987958565738
23,33,0.4895328474036363
23,34,0.4471606472775179
23,46,0.42234969099727215
23,55,0.45514757801614175
23,61,0.4713595194899401
23,62,0.4824630020771376
23,71,0.4108632220888101
23,80,0.41420500970551427
23,83,0.4529803796001159
23,84,0.5445768709974643
23,86,0.4067800128651594
23,90,0.40689656192033263
23,92,0.42276159007189495
23,93,0.40577571209251295
23,94,0.4326941255720852
23,96,0.41340359545240923
23,98,0.4144433045492723
23,100,0.4129691657008451
23,108,0.40939195014099605
24,46,0.47562211303692165
24,55,0.42872994098676265
24,62,0.4015936412258998
24,64,0.42363917507544874
24,83,0.48147733949261406
24,84,0.41008320891897754
24,94,0.40758595634562506
24,108,0.4024552688216486
25,26,0.6295178788152846
25,50,0.4372932897165721
25,53,0.4217485507314594
25,61,0.43585633222302395
25,62,0.4179970425082628
25,70,0.4517408786446211
25,71,0.44761924143516507
25,79,0.4000019274563247
25,89,0.45976538568392034
25,90,0.41390796197295504
25,93,0.416564285578837
25,98,0.42040060175818705
25,106,0.4538075900417459
25,107,0.4873221604713641
26,50,0.4810306351639605
26,51,0.41682179591057844
26,53,0.44909121611328195
26,71,0.43295012663580745
26,89,0.4245365676086328
26,90,0.41504076682345226
26,106,0.4529228787061714
26,107,0.4750535490977583
28,29,0.6871018632029704
28,34,0.5582894504296494
28,46,0.41423706601566024
28,59,0.4211124246446153
28,61,0.4611645712482449
28,62,0.43807623362288495
28,78,0.4127260087162804
28,79,0.42671185353453356
28,82,0.4083531372327782
28,83,0.4294650078647451
28,85,0.43845299390294357
28,90,0.44109247298867965
28,99,0.4737627096241185
28,100,0.42961546952897556
28,102,0.40486302142714675
28,105,0.5096319645092802
28,110,0.40804771882525753
29,34,0.4848348474902118
29,46,0.40372855646498107
29,61,0.4069283440030739
29,83,0.41694363720719585
29,85,0.4266033492980097
29,90,0.4138580589595474
29,99,0.4181401858627309
29,105,0.46396929841681467
32,33,0.5883125174526014
32,61,0.47114665186526394
32,62,0.4366766555211165
32,88,0.41233200462381436
33,41,0.40593526475838876
33,61,0.47064031642261167
33,62,0.4430283007992364
33,71,0.40787723117684455
33,79,0.40849690632541225
33,93,0.40694769314959695
33,94,0.4171693393754575
33,98,0.4103098218703776
33,100,0.4073794822430801
34,38,0.42371384719474364
34,39,0.4719715593453857
34,40,0.4201217897960552
34,41,0.4745322666824573
34,50,0.4326189405909785
34,53,0.47033952505043564
34,55,0.4616163825674957
34,61,0.44948389354484863
34,62,0.48825711067808186
34,69,0.40616425406709056
34,70,0.42465335370973656
34,71,0.47645796336438806
34,78,0.41313402272409205
34,79,0.46092598038065036
34,80,0.4709446048395137
34,82,0.4481229700438368
34,83,0.4076393962375755
34,85,0.4185088540068611
34,86,0.4638374999283359
34,89,0.44773445049450156
34,90,0.4648150201758108
34,92,0.44019580193721985
34,93,0.4372299895801949
34,98,0.48288973865755497
34,99,0.5531502229306284
34,100,0.4033968835295326
34,102,0.4339945692660985
34,103,0.40538719763763265
34,104,0.46992356426977266
34,105,0.43180030798430313
34,107,0.40582605199511546
34,108,0.4008505398368568
34,110,0.4046175490521764
38,39,0.46654187693777965
38,40,0.43403078436491727
38,41,0.4881659876974924
38,62,0.404504111014926
38,68,0.4647184997253343
38,70,0.4826295233567076
38,71,0.44191014131686474
38,79,0.4464139173202689
38,89,0.45119860225828523
38,90,0.43616167202744305
38,97,0.6444302283487369
38,98,0.5996889596591646
38,99,0.4661943097991431
38,101,0.40012773966210924
38,104,0.42544873586999593
39,40,0.4765503157194661
39,41,0.5008156839709698
39,53,0.438670604913303
39,61,0.42666290234742626
39,62,0.416489035462059
39,69,0.4230900251892498
39,70,0.4092073653025028
39,71,0.4303882804827025
39,75,0.41925900594297366
39,76,0.4164767952399951
39,80,0.4445620108950943
39,86,0.516676743863674
39,89,0.4599475169845691
39,90,0.4562363989434591
39,92,0.43313889285672036
39,93,0.41904587616094
39,98,0.5138086098365666
39,99,0.6508658461783517
39,107,0.42949177617840795
40,41,0.6722965351476395
40,53,0.4121425870170172
40,61,0.4159967667439216
40,62,0.4017836483444922
40,70,0.4578071477560245
40,71,0.4374678317577837
40,79,0.4342848063679402
40,80,0.4348329709793868
40,82,0.40127886522388145
40,89,0.42675742388395266
40,90,0.44435774937047184
40,97,0.40006144051119297
40,98,0.4847333098259765
40,99,0.4595075866000107
40,102,0.409154026037687
40,104,0.42262445190896536
41,53,0.4432028798208668
41,61,0.424763557653678
41,62,0.43287040666785703
41,69,0.4023427286987923
41,70,0.4372985814190713
41,71,0.4646731602450609
41,78,0.4050457317987849
41,79,0.49009228806165894
41,80,0.43319203718565524
41,82,0.42394924816147456
41,86,0.43768499588597276
41,89,0.44098338367668366
41,90,0.48609597057612725
41,97,0.43620290190234035
41,98,0.49785818437764645
41,99,0.5059132341135892
41,102,0.40772565897041596
41,104,0.4102914358744464
41,107,0.428648435405168
45,66,0.4148081282697653
46,55,0.41549501079232615
46,59,0.4307719611921983
46,61,0.40391202143762195
46,62,0.4893098450625216
46,64,0.40289384028074005
46,65,0.5127332374140584
46,83,0.655567476245987
46,85,0.45054578278901536
46,94,0.5033501947750129
46,96,0.438573840695017
46,102,0.4023673321072069
46,108,0.5379218738675176
46,110,0.4075086424132145
50,51,0.6037227654837493
