source,target,weight
4,35,1.0000001192092896
4,188,1.0000000596046448
6,37,0.5127049644117677
6,50,0.46071660973600065
6,139,0.43493510153060905
23,50,0.42489058796457113
25,49,0.4495026894511298
26,145,0.46780231075053086
27,31,0.4878107689870549
32,50,0.4098223233840296
32,60,0.4027570575799134
34,39,0.41831398242744855
35,188,1.0000001192092896
36,65,0.40704093443128586
36,142,0.41129014181709667
37,49,0.43028303962912173
37,50,0.40718504273973605
37,65,0.43394665112826525
38,40,0.4765953694388652
40,99,0.4275394607855537
49,50,0.4234394556739523
49,76,0.4635044919169743
50,65,0.5845186956740592
50,72,0.4226193428672401
50,145,0.4027928639910668
52,54,1.0000001192092893
63,77,0.46352538877442806
67,71,0.4112127169110509
67,79,0.44729708120339845
67,118,0.44541022540196074
67,119,0.41375122391100116
68,75,0.533355530465494
79,119,0.44387351032093963
87,95,0.5424431824767763
104,125,0.41835331734372305
104,132,0.4342490016389748
106,109,0.4448357350714638
106,124,0.4510384562158112
108,117,0.44397007491346285
108,132,0.4037185198848948
111,124,0.4138386439212062
121,146,0.46191128003353954
123,124,0.4433328691663495
123,125,0.40186129442496
125,132,0.4135868718805449
135,137,0.4174710290401426
140,219,0.5840452280702042
143,218,0.43797940803889734
144,145,0.43403189029125877
149,225,0.4010839564415608
153,154,0.5404988954401998
157,164,0.4191973772568922
163,208,1.0000001192092896
164,189,0.4113805275833378
169,170,0.41783227124780353
171,176,0.4912335066011545
171,180,0.42804104898916434
171,189,0.46105241360647525
171,193,0.5258830626216264
172,197,0.42928124232369425
175,176,0.46577071303422257
175,180,0.4111226870141643
175,185,0.44813593500607657
175,189,0.44318888693769737
175,193,0.4121613124293615
175,197,0.40403466603312954
176,177,0.43030016404136345
176,178,0.4364235964633602
176,180,0.4004339361467049
176,193,0.46035696051466163
178,180,0.564266223845939
178,181,0.4363641835784902
178,185,0.4365769659389321
178,189,0.4291692429822235
178,193,0.4739010479582534
180,181,0.45579169233660266
180,189,0.5019643306664229
180,193,0.5444644552087554
180,197,0.46280926056362437
181,185,0.4130170616561616
181,193,0.49445035662131553
183,184,0.5634888557231388
185,189,0.429337460122284
189,193,0.5293548634663663
189,207,0.4295189277306546
193,197,0.414327353540545
193,207,0.4090807812252635
193,217,0.40129362733338636
196,224,0.6083827745102078
197,217,0.43119260376505025
203,205,0.43204136484181344
