source,target,weight
2,274,0.40460024308266035
2,4414,0.5264230144479867
2,4459,0.4745828351357524
2,7214,0.4236731819324533
6,3607,0.44697264884663096
7,4414,0.40133756580636515
7,4459,0.4141260404177749
16,2418,0.401013167661024
16,4968,0.4115769678491653
16,7465,0.4478435690776254
16,7503,0.4489130519408041
20,3817,0.44812051155205157
23,260,0.4937548317472077
24,465,0.40262035606823104
24,5184,0.4217206256956866
29,71,0.4320446818308782
35,41,0.45424047984990246
37,8092,0.4078399454648668
39,7274,0.4281251020154289
39,9314,0.42468735279788405
40,4913,0.42658857075516654
40,5223,0.4232680405134606
40,5351,0.41650370435508294
40,8116,0.4024165374531009
42,6819,0.4574009969413053
44,87,0.9277999147851965
44,7649,0.43900978186053574
46,405,0.4094901252296889
48,65,0.43238471836244696
48,481,0.441617866886747
48,504,0.4390109313321789
48,789,0.4219962322584093
48,1133,0.4358081489178609
48,1925,0.43916785365822664
48,8598,0.4152115202514316
54,243,0.48660263706271445
54,7926,0.45276350284568223
55,3671,0.4287507492892818
55,4677,0.4137205346963391
58,170,0.40783021937144104
58,300,0.4652887829916463
58,366,0.4417594013198353
58,516,0.5434571814882743
58,670,0.44412939400759255
58,711,0.40228913468935784
59,68,0.43550482901662224
59,160,0.49046429206883807
59,167,0.451133014968696
59,255,0.405612139422741
59,387,0.4256005364325609
59,411,0.4087241871065746
59,606,0.4219728206304927
59,952,0.4591550730972855
59,967,0.4359053479491213
59,1084,0.4632257279962462
59,2012,0.40285488737350394
59,2509,0.40085355892824776
59,3660,0.4058017511484196
59,8654,0.4278456051656506
60,110,0.400950469931782
65,383,0.4785724661235953
65,817,0.5128900010519957
65,1925,0.5252325354204097
66,254,0.42513178361440435
66,260,0.4056391958413052
66,300,0.4339227372159046
66,358,0.4218675223147752
66,676,0.424127601466527
68,147,0.42252028671059216
68,167,0.43764242838301454
68,343,0.40567143268939254
68,512,0.42932309516795925
68,952,0.47765236340638934
71,3602,0.41815421114409324
71,3705,0.5023339544741571
71,3833,0.4157201128805211
71,7321,0.40436994798514564
71,7377,0.4566290415169839
71,7442,0.4279704992344671
71,7464,0.40386259750015474
71,7512,0.42982315528491377
71,7815,0.41614699036065583
71,7941,0.40769616856953184
71,8149,0.43853263708453744
71,8171,0.4452478016467212
74,7416,0.4012189298907637
74,7948,0.4085536560290084
81,3063,0.42497484048566614
81,3359,0.4152797438361948
82,384,0.4389235343106629
82,1018,0.42875417676109395
82,1742,0.47602419593557493
82,4347,0.5000604870949795
82,9811,0.4006052977044705
84,446,0.49707433857013406
86,2568,0.5248129534961035
86,8598,0.4167585610395884
86,8654,0.442625309166646
87,7649,0.408325937024412
89,7808,0.414649153732428
89,8038,0.43192833618052073
90,97,0.42596633949445417
92,3671,0.4244119758208948
94,5321,0.4101875426807271
97,4049,0.4073365050252588
98,7094,0.43109974286481456
100,102,0.465212148987061
102,9703,0.4465347676810368
103,249,0.40442844537562994
112,3190,0.4027847613002813
112,3987,0.4374463794470607
115,7844,0.4042645456210947
120,1066,0.4264008893466395
121,4214,0.49676817983503296
121,7301,0.4068473803072348
121,8177,0.4161085082715842
121,8909,0.43209169406118286
123,333,0.4217408463420479
123,2012,0.4052271449070949
124,3858,0.45136594941060043
124,4076,0.4296809738420176
126,183,0.45237744038821237
126,269,0.4206493909411664
126,278,0.411390473938563
129,1724,0.9999999105930328
130,8268,0.40227081058184755
130,8445,0.41065201964968406
133,6882,0.40740072200897837
135,1618,0.49146091511189915
135,9253,0.40342146136787305
135,9261,0.43012203939126803
135,9405,0.46457544016211993
140,2221,0.6733085144435881
145,202,0.40006643717991397
147,160,0.4243766160729452
147,167,0.4049069283447337
147,312,0.4424583778604595
147,685,0.4102614526001288
147,1133,0.41188626463290645
149,779,0.4427268432759076
149,3987,0.5643605423117917
149,7996,0.4798912319986931
149,8041,0.40120693061570356
149,9512,0.40120693061570356
149,9950,0.4474665309016177
150,683,0.418118325922894
150,1158,0.40624425543393194
152,189,0.6733354089951386
155,2221,0.41136909597466526
156,1322,0.40041027989121725
157,1012,0.40132975854313685
157,9191,0.4358162318032859
160,167,0.4479414261503821
160,387,0.43568414886340545
160,516,0.40897923857353125
160,685,0.4012858950567187
160,789,0.48404866685237224
160,952,0.4207159018316889
160,1034,0.41617317809578785
160,1084,0.4470958283111426
160,1410,0.4124684810500488
160,2509,0.4023215731739884
160,5457,0.4099603756960946
162,306,0.44624911468521505
162,546,0.4267205261044238
164,525,0.46066406076536925
165,3918,0.4279258058742036
166,6806,0.4155436608014926
166,6807,0.41554372040613735
167,387,0.4745936133124819
167,411,0.4392059454955809
167,512,0.4106338774028354
167,606,0.4354163997347207
167,952,0.4679548146493149
167,967,0.4327814901721899
167,1084,0.46427269136515914
167,2012,0.40146607246689353
167,8654,0.4145179160032796
167,9419,0.44990053961734966
168,7375,0.44694480449364665
