source,target,weight
0,13,0.47500854175362284
7,17,1.0
7,18,1.0
7,22,1.0
7,23,1.0000000596046448
7,24,1.0
7,26,1.0
7,27,1.0
7,28,1.0
7,29,1.0
7,30,1.0
7,34,1.0
7,35,1.0
7,36,1.0
7,38,1.0
7,39,1.0
7,40,1.0
7,41,1.0
7,43,1.0
7,45,1.0
7,46,1.0
7,47,0.9999999403953552
7,55,1.0
7,56,0.9999999105930328
7,57,1.0
7,58,0.9999999403953552
7,60,0.9999999403953552
7,68,0.9999999403953552
7,70,0.9999999403953552
7,71,0.9999999403953552
7,73,0.9999999403953552
7,74,0.9999999403953552
7,75,0.9999999403953552
7,77,0.9999999105930328
7,78,0.9999999403953552
7,79,0.9999999403953552
7,80,0.9999999403953552
7,81,0.9999999403953552
7,82,0.9999999403953552
7,83,0.9999999403953552
7,84,0.9999999403953552
7,85,0.9999999403953552
7,86,0.9999999403953552
7,87,1.0
7,88,0.9999999403953552
7,90,0.9999999403953552
7,93,1.0
7,95,0.9999999403953552
7,96,0.9999999403953552
7,97,0.9999999403953552
7,98,0.9999999403953552
7,99,1.0
7,100,1.0
7,101,1.0
7,172,1.0
7,218,1.0
7,243,0.9999999403953552
7,248,0.9999999403953552
7,251,0.9999999403953552
7,252,0.9999999403953552
7,254,0.9999999403953552
7,256,1.0
7,257,0.9999999403953552
17,18,1.0
17,22,1.0
17,23,1.0000000596046448
17,24,1.0
17,26,1.0
17,27,1.0
17,28,1.0
17,29,1.0
17,30,1.0
17,34,1.0
17,35,1.0
17,36,1.0
17,38,1.0
17,39,1.0
17,40,1.0
17,41,1.0
17,43,1.0
17,45,1.0
17,46,1.0
17,47,0.9999999403953552
17,55,1.0
17,56,0.9999999105930328
17,57,1.0
17,58,0.9999999403953552
17,60,0.9999999403953552
17,68,0.9999999403953552
17,70,0.9999999403953552
17,71,0.9999999403953552
17,73,0.9999999403953552
17,74,0.9999999403953552
17,75,0.9999999403953552
17,77,0.9999999105930328
17,78,0.9999999403953552
17,79,0.9999999403953552
17,80,0.9999999403953552
17,81,0.9999999403953552
17,82,1.0
17,83,1.0
17,84,1.0
17,85,1.0
17,86,1.0
17,87,1.0
17,88,1.0
17,90,0.9999999403953552
17,93,1.0
17,95,0.9999999403953552
17,96,0.9999999403953552
17,97,0.9999999403953552
17,98,0.9999999403953552
17,99,1.0
17,100,1.0
17,101,1.0
17,172,1.0
17,218,1.0
17,243,1.0
17,248,1.0
17,251,1.0
17,252,1.0
17,254,1.0
17,256,1.0
17,257,1.0
18,22,1.0
18,23,1.0000000596046448
18,24,1.0
18,26,1.0
18,27,1.0
18,28,1.0
18,29,1.0
18,30,1.0
18,34,1.0
18,35,1.0
18,36,1.0
18,38,1.0
18,39,1.0
18,40,1.0
18,41,1.0
18,43,1.0
18,45,1.0
18,46,1.0
18,47,0.9999999403953552
18,55,1.0
18,56,0.9999999105930328
18,57,1.0
18,58,0.9999999403953552
18,60,0.9999999403953552
18,68,0.9999999403953552
18,70,0.9999999403953552
18,71,0.9999999403953552
18,73,0.9999999403953552
18,74,0.9999999403953552
18,75,0.9999999403953552
18,77,0.9999999105930328
18,78,0.9999999403953552
18,79,0.9999999403953552
18,80,0.9999999403953552
18,81,0.9999999403953552
18,82,0.9999999403953552
18,83,0.9999999403953552
18,84,0.9999999403953552
18,85,0.9999999403953552
18,86,0.9999999403953552
18,87,1.0
18,88,0.9999999403953552
18,90,0.9999999403953552
18,93,1.0
18,95,0.9999999403953552
18,96,0.9999999403953552
18,97,0.9999999403953552
18,98,0.9999999403953552
18,99,1.0
18,100,1.0
18,101,1.0
18,172,1.0
18,218,1.0
18,243,0.9999999403953552
18,248,0.9999999403953552
18,251,0.9999999403953552
18,252,0.9999999403953552
18,254,0.9999999403953552
18,256,1.0
18,257,0.9999999403953552
22,23,1.0000000596046448
22,24,1.0
22,26,1.0
22,27,1.0
22,28,1.0
22,29,1.0
22,30,1.0
22,34,1.0
22,35,1.0
22,36,1.0
22,38,1.0
22,39,1.0
22,40,1.0
22,41,1.0
22,43,1.0
22,45,1.0
22,46,1.0
