source,target,weight
5,11,0.5365332205872153
5,126,0.4090497678735865
18,20,0.40211447092387337
20,100,0.44842948229953833
25,33,0.4376011394283721
40,84,0.6219390878600519
44,46,0.41264796253449365
50,51,0.7006365147200782
56,109,0.429646367636745
64,76,0.4152571425838262
65,74,0.40284672132482635
69,77,0.4146826176513482
71,73,0.4356590736257958
71,74,0.46580341893631244
73,74,0.40792641334559226
77,102,0.4198173566215493
98,123,0.4350341008240479
105,139,0.4573065651956078
114,142,0.44578757490931564
116,153,0.42491453648685634
120,142,0.4198858120029204
121,142,0.4536115182667392
148,153,0.46653774020629424
150,153,0.4088591330698398
