source,target,weight
1,3,0.9611714297618597
1,7,0.5416929131176107
1,12,0.5416929131176107
1,13,0.612062054639223
1,16,0.9600069040145605
1,35,0.9623469525661199
1,38,0.9422061854686468
1,40,0.961279075750324
1,45,0.930323105463001
1,58,0.5416929131176107
1,83,0.9615684563007085
1,87,0.9625526856408526
1,88,0.9625526856408526
1,92,0.7331256841920503
1,98,0.6028916953713652
1,100,0.5416929131176107
1,115,0.9586681913361956
1,116,0.9571694547023504
1,117,0.963601719745609
1,119,0.9586681913361956
1,124,0.9607161694850652
1,126,0.8866194058553245
1,127,0.5416929131176107
1,159,0.5416929131176107
1,181,0.7179699515603669
1,185,0.9619421774234502
1,188,0.5416928833152883
1,196,0.5416929131176107
1,197,0.5416929131176107
1,205,0.9606439286555974
1,225,0.9613820725764959
1,228,0.5416929131176107
1,233,0.6028916953713652
1,252,0.5416929131176107
1,269,0.9624975437011449
1,271,0.5416929131176107
1,273,0.5416929131176107
1,278,0.9586804920520513
1,286,0.5919552259132479
1,296,0.9638239556636541
1,325,0.9603954964961736
1,329,0.7351367244896518
1,330,0.9633630703912188
1,339,0.944598179468128
1,358,0.9517482036437719
1,398,0.505674568892275
3,7,0.549111784043514
3,12,0.549111784043514
3,13,0.624870437150362
3,16,0.9681306594695775
3,35,0.9760873431052892
3,38,0.9532677942599981
3,40,0.9747736269321172
3,45,0.9398919159259527
3,58,0.549111784043514
3,83,0.9772430473651617
3,87,0.977659840487044
3,88,0.977659840487044
3,92,0.7357838725350984
3,98,0.6155835209996459
3,100,0.549111784043514
3,115,0.9701355885491778
3,116,0.9723493272151678
3,117,0.976483594783756
3,119,0.9701355885491778
3,124,0.9747542554225652
3,126,0.9002434779302146
3,127,0.549111784043514
3,159,0.549111784043514
3,181,0.7203882610105165
3,185,0.9743701034869878
3,188,0.549111784043514
3,196,0.549111784043514
3,197,0.549111784043514
3,205,0.9752009922351568
3,225,0.9762095624294012
3,228,0.549111784043514
3,233,0.6155835209996459
3,252,0.549111784043514
3,269,0.9765211755122869
3,271,0.549111784043514
