source,target,weight
1,17,0.4429292661950597
1,43,0.5155034420829954
6,8,0.5215548479983154
6,34,0.4715760987646015
6,85,0.4174126958873757
7,40,0.47542285135395995
8,34,0.4756387146750122
9,10,0.4527400792886837
13,34,0.658093522583945
30,32,0.903831084572635
34,51,0.4017132182645894
34,85,0.42879168687866726
37,49,0.5299266448215878
38,39,0.5602447265870193
38,40,0.44471924776002086
38,61,0.45842417994631113
40,61,0.4287720551653153
41,45,0.49584185843824913
44,70,0.909171504635731
51,85,0.4492084363123877
54,60,0.4181678336898539
54,71,0.46266401640581445
57,68,0.4063971536502404
62,77,1.0000000596046434
62,87,1.0000000596046434
62,88,1.0000000596046434
62,91,1.0000000596046434
62,92,1.0000000596046434
62,96,1.0000000596046434
62,100,1.0000000596046434
62,104,1.0000000596046434
68,69,0.40944520507404414
77,87,1.0000000596046434
77,88,1.0000000596046434
77,91,1.0000000596046434
77,92,1.0000000596046434
77,96,1.0000000596046434
77,100,1.0000000596046434
77,104,1.0000000596046434
87,88,1.0000000596046434
87,91,1.0000000596046434
87,92,1.0000000596046434
87,96,1.0000000596046434
87,100,1.0000000596046434
87,104,1.0000000596046434
88,91,1.0000000596046434
88,92,1.0000000596046434
88,96,1.0000000596046434
88,100,1.0000000596046434
88,104,1.0000000596046434
91,92,1.0000000596046434
91,96,1.0000000596046434
91,100,1.0000000596046434
91,104,1.0000000596046434
92,96,1.0000000596046434
92,100,1.0000000596046434
92,104,1.0000000596046434
94,95,0.7130007802945852
96,100,1.0000000596046434
96,104,1.0000000596046434
100,104,1.0000000596046434
102,103,0.4086844748775762
105,107,0.45361221747598635
107,108,0.6463800408614367
