source,target,weight
2,81,0.42483684042712955
4,17,0.4386957391556355
9,89,0.4048044135292561
16,85,0.4730773069925327
22,31,0.46091658032882066
22,89,0.41369906124672595
22,113,0.4122456799122338
28,71,0.40134063891880933
29,137,0.44769757816411365
30,90,0.4745190340799529
31,271,0.5109622392320702
32,44,0.5506412190837758
32,278,0.4141900929622717
32,439,0.4151739034932098
32,470,0.4303664869710063
32,524,0.4278612850479798
32,646,0.4505814221431633
32,717,0.4485797955180194
32,771,0.43880865999440954
32,858,0.43088806292184867
33,71,0.4012181879383273
36,43,0.43082959386409664
37,754,0.44312997145754107
39,97,0.5843576966638878
41,50,0.46324368075146716
41,63,0.41934096945528704
42,283,0.4207600805473999
42,402,0.40361324079196703
42,428,0.4132798942922973
42,470,0.47063340192042447
42,523,0.4141536081915892
42,646,0.4224093417157564
42,717,0.45345854816128117
42,771,0.4228564032537614
44,278,0.4008741521216185
44,717,0.4182941965096765
44,771,0.44158592075687253
50,715,0.4136369837579938
54,71,0.4164101434786703
54,139,0.41647079827602834
54,344,0.49153842176108037
55,60,0.5079014265269893
55,66,0.5873061321947435
60,66,0.5497104055982551
71,89,0.4429523669462107
72,93,0.4441692433149283
72,325,0.4414754797665149
78,80,0.48516340317650974
78,109,0.44893458833814065
78,127,0.40941106444057956
78,623,0.4002209635967586
78,670,0.5431913555964317
78,705,0.4608327951073866
78,720,0.42464765840046853
78,944,0.42599017325696953
86,99,0.40295151344660807
89,227,0.4354829665776
89,344,0.4024393128138749
93,110,0.4348888904663053
93,227,0.4329642970903417
98,105,0.48863725258542196
113,271,0.4054115023131778
121,137,0.4463831444412174
122,823,0.4600574116569921
127,705,0.5024714051507396
137,577,0.42235266038194774
144,311,0.4736755975902208
147,225,0.5771117236190068
147,973,0.4045821228667558
148,278,0.40811122579153614
154,428,0.4002118671383076
154,439,0.4184475528350771
154,470,0.4063727534541385
159,272,0.43170416337514095
163,813,0.45462917566624617
170,225,0.4423867128599225
175,290,0.40276954187954583
181,390,0.821378767490387
181,393,0.821378767490387
181,480,0.821378767490387
181,512,0.821378767490387
181,1080,0.821378767490387
182,377,0.5461865533195995
182,526,0.45456405864514327
182,594,0.4295264421538255
182,887,0.43590625510968184
188,190,0.7073493132107407
196,225,0.4329245628987617
204,221,0.43124403122185173
206,442,0.4259174364530401
208,302,0.44671748017086504
208,909,0.7234023580233386
208,1022,0.5908949945501306
221,449,0.4186337770840338
221,451,0.49469513436340157
225,488,0.4057594983937868
226,625,0.41999124317280795
230,768,0.4256033788579515
244,734,0.4527858209374077
250,254,0.428533494260576
252,399,0.4521095267913553
263,819,0.4011064225978639
268,1013,0.4625347386047031
274,283,0.43503674435629297
274,290,0.6010997223825991
274,331,0.5217301493815565
274,382,0.46798438997175656
278,290,0.42663280013044735
278,320,0.4054461619704726
278,338,0.5174392644109965
278,439,0.40593210906365096
282,311,0.45717766191750137
283,290,0.4070287518151359
283,326,0.4182986241042167
283,331,0.46708447485090027
283,428,0.41675527620177744
283,470,0.43305178193289456
283,646,0.4204298142555961
283,717,0.407515246786954
285,334,0.4417648495892127
290,326,0.4000574737280351
290,331,0.41564827319907616
290,338,0.428170532565995
290,382,0.44081336624483713
306,389,0.44453227452773436
307,412,0.6277520260120086
312,766,0.5498887577916574
320,338,0.4873504471346642
326,331,0.4213893479371559
326,382,0.40266863068368053
331,382,0.42320351680983403
343,617,0.4668530465256336
343,634,0.4668530316244724
343,781,0.46685310613027836
353,354,0.4941241253995534
358,369,0.4336118241528127
377,526,0.4559998153284929
377,594,0.4530022679404161
377,887,0.4599384604529283
381,410,0.4761070283663822
389,644,0.48888229658331145
389,894,0.454753811826515
389,981,0.4097632199845448
390,393,1.0000001192092896
390,480,1.0000001192092896
390,512,1.0000001192092896
390,770,0.46858123299343146
390,1080,1.0000001192092896
393,480,1.0000001192092896
393,512,1.0000001192092896
393,770,0.46858123299343146
393,1080,1.0000001192092896
397,399,0.6146790933667394
397,521,0.6963639289057841
397,935,0.6963639289057841
402,646,0.4452160896203555
403,607,0.45681195661123464
405,526,0.5810680694055566
405,594,0.5552590197992333
405,887,0.5729479200315484
411,413,0.4826675921353748
411,422,0.47400217883969825
412,907,0.4601897160176398
413,422,0.8149627946763948
414,433,0.4920662522929008
425,469,0.46193612533209205
428,439,0.4079889527366589
428,442,0.40480753805390146
428,470,0.43406731182773106
428,646,0.477570239444608
428,717,0.4077677673319469
428,771,0.4102971468682174
428,858,0.40237744340591064
431,439,0.4104507682198713
438,441,0.4652201090631205
439,470,0.4406420969692054
439,646,0.45806412615761405
439,771,0.41931641088477967
442,445,0.45047775727963923
442,470,0.4091469135516916
442,646,0.46253216385777507
445,470,0.40985241155756247
445,646,0.42682060952739453
459,497,0.42388379947009663
459,589,1.0000000596046448
470,646,0.49931394318222255
470,717,0.4288467022541589
470,732,0.4056136561924762
470,771,0.4945493349493375
470,858,0.40014039922815714
474,484,0.4369576276284768
480,512,1.0000001192092896
480,770,0.46858123299343146
