source,target,weight
1,97,0.4003942549528895
5,54,0.4430325125418357
7,8,1.0000000596046448
9,10,1.0000000000000002
11,12,1.0
13,34,0.45467846812382895
22,63,0.4001595858022717
27,28,1.0
33,38,0.582787930561973
40,41,0.4008388574509786
51,74,0.4679355736590802
80,81,0.4210158550720374
80,82,0.43578391451389586
80,89,0.40692901689701183
80,93,0.411505844501848
80,98,0.5146923991698042
81,82,0.5481691959233539
81,87,0.46143920509421166
81,88,0.4321217393108506
81,89,0.5334246392559361
81,90,0.5338122298217001
81,93,0.5012586376923722
81,98,0.5126379657430712
82,89,0.5589704205307411
82,90,0.4675594858526456
82,93,0.47016527957668675
82,98,0.5142636995491191
86,87,0.40013134081771173
87,90,0.4130103935042002
87,93,0.44969277221088316
88,89,0.4249899821715368
89,90,0.42601072308892396
89,93,0.44072558248718097
89,98,0.5640344720923617
90,93,0.5001441333303996
90,98,0.44379106794393686
91,92,0.42365267192788636
93,98,0.4366418672687677
97,99,0.5609076565358327
