source,target,weight
4,54,0.4516803073286598
5,13,0.4642124363778446
6,15,0.5230674918686593
12,68,0.4164013167898557
16,17,0.5669313944676193
19,40,0.4328257540102597
24,47,0.4973826802131202
24,62,0.46452707135031757
25,34,0.4372961696497859
33,53,0.430793672828
39,103,0.4919362607266139
42,115,0.4167602526625172
51,52,0.6151368840293338
56,72,0.8000299450401094
56,179,0.5689570518377258
59,83,0.4551601717211744
72,179,0.6045005190887639
77,80,0.4420203981430071
77,85,0.4305999206975979
79,80,0.435275738635578
80,81,0.5045724666265315
80,84,0.40010240266799546
81,84,0.49162507075819206
81,95,0.42108629792689795
84,85,0.48376200218171866
84,95,0.43362933039086854
88,161,0.4949508182243908
89,90,0.6102657847778707
91,132,0.4498386836108026
100,141,1.0000000596046448
102,158,0.4124495566344244
105,147,0.4264366553706471
107,198,0.45377064071018597
108,205,0.5548504466745721
110,111,0.9999999403953556
118,132,0.5339575373835403
118,135,0.49700736006844365
118,144,0.6062254650876009
132,144,0.5823603248354574
135,138,0.4469795712200013
138,152,0.46186847627815575
142,164,0.4656744477653461
151,162,0.49686825544152374
160,162,0.4260214175848904
161,211,0.4054702024797049
176,220,0.4373877356521513
204,206,0.573065877748657
213,219,0.44700664498707926
220,221,0.51762001161005
220,222,0.6567764317499332
