source,target,weight
6,896,0.4051278097042944
8,17,0.554289338046406
10,30,0.40982117191813594
22,24,0.5052196036420032
25,548,0.47315053788830064
25,1177,0.42061483464209654
27,60,1.0
27,544,0.46158768986077436
27,641,0.5874018577582295
27,711,1.0
34,152,0.4196347134333152
37,225,0.4361543057969903
49,76,0.4032470554389884
51,198,0.4220044472571332
51,243,0.44496673930382913
54,478,1.0000000596046448
60,544,0.46158768986077436
60,641,0.5874018577582295
60,711,1.0
62,65,0.5616599367863586
68,161,0.4067114809238144
68,865,0.45199528784840426
73,83,0.530837125726153
86,95,0.4343537062316728
88,1229,0.41638279870951606
99,509,0.4762233319925545
101,219,0.5149946930147754
101,608,0.5850007306061292
102,170,0.5016321409855312
106,451,0.7004719948374668
107,482,0.4125432954093245
107,1064,0.44843199585490523
111,125,0.402498509857599
111,198,0.4530787125672404
111,482,0.5203631707297274
111,1064,0.513257755109258
120,123,0.4360292579662851
125,198,0.4666899527669002
125,243,0.5020449386609116
125,1116,0.4253995362082159
127,142,0.4393986206810585
130,253,0.461707781720753
133,171,0.4202741183020647
139,140,0.4129525085445819
139,741,0.4663347036753931
139,774,0.5112123222266474
139,833,0.4916870624934473
139,1006,0.4888374836360254
140,741,0.4174739082809863
140,774,0.4193519314285693
140,833,0.42107027373279904
144,646,0.5222774340176426
145,317,0.4036094636809533
148,155,0.41243337061759894
159,476,0.41281783641153913
159,744,0.41505586086766055
159,775,0.4368199501482283
170,171,0.4352168657813945
176,243,0.4128526700412002
176,1162,0.4174670923171423
188,1211,0.421583983595886
189,259,0.42494971344398025
189,327,0.5709007600438131
189,482,0.45377168951670604
192,885,0.46997476839318886
192,999,0.4851132655438416
192,1003,0.42723636622056205
198,243,0.5673367189914709
209,214,0.4056734613069533
210,750,0.44080091384553444
211,495,0.42490809930798235
217,289,0.9999999403953552
218,358,0.7357408664522063
223,1004,0.44147486558907933
229,583,0.4300729742342986
230,858,0.5166985201851624
231,659,0.4052963672345143
232,997,0.5884573830769244
240,267,0.43693959880351096
240,308,0.5236210976542969
240,329,0.4364448413456344
240,348,0.46387255964701474
246,256,0.41879038814128466
251,288,0.4591462939904573
252,288,0.5331267997682907
258,866,0.4651255509288407
264,870,0.42493354812317347
265,295,0.41523438377500665
265,296,0.6385549057379125
265,318,0.42351521581963925
272,892,0.4068440056655175
285,287,0.4126411040724146
292,402,0.47703102241740425
292,406,0.5241064296354303
293,329,0.4959435169033031
296,318,0.4196262341174387
304,408,0.418757569136132
304,505,0.4635019890738255
308,581,0.47534312907067794
328,789,0.42334990119024885
328,805,0.42334990119024885
328,806,0.42334990119024885
328,838,0.4233498117832817
343,964,0.41109267195030735
344,378,0.6630911048099833
347,351,0.403412968247342
352,760,0.44654766790382383
354,388,0.4820028145387979
355,367,0.5552057563037223
359,602,1.0000000596046448
359,652,1.0000000596046448
359,1115,1.0000000596046448
359,1178,1.0000000596046448
360,365,0.4482731821178153
360,632,0.4593759719742152
363,388,0.41830124682095454
369,446,0.40801491924232147
369,456,0.4004560327385857
369,628,0.46875588929707673
373,495,0.41400463661959674
376,396,0.4304314190162192
377,908,0.46154010576696464
377,962,0.4121468897146128
377,1058,0.4247221163176229
384,554,0.5959767728478786
396,555,0.4043955353037769
402,406,0.44799999587314454
404,1272,0.44590778839814393
408,505,0.7139494311206407
413,1226,0.42064924860153896
416,484,0.4747980488103223
416,700,0.4747980488103223
416,1007,0.751304896321896
423,893,0.42419383892747253
433,620,0.4415618717328652
442,448,0.4941245987688411
442,631,0.5226238570370829
446,1221,0.4095823938174238
448,631,0.4661250014387209
452,546,0.665764425721121
456,628,0.512285237632996
466,495,0.4643556840084098
466,560,0.40451359031804374
466,692,0.42263580518533006
466,972,0.48392985826608037
467,499,0.4359003984457203
467,689,0.5108708890174495
467,835,0.42699824637978007
470,496,0.5014786297714389
470,497,0.416643670458449
470,498,0.4188052961832218
470,633,0.406171121314051
470,666,0.43759279826538516
470,689,0.4158567988297243
476,744,0.4228898061534555
476,775,0.46224051895401447
482,1064,0.586466275947249
484,700,1.0000001192092896
484,742,0.46234889394988654
495,560,0.45445633640844924
495,972,0.4291093533476532
496,497,0.566639353004693
496,498,0.4610727054883905
496,499,0.4214364423101156
496,666,0.47050764490231195
496,689,0.44747842843802166
497,498,0.437143247357045
497,499,0.4320026597030712
497,612,0.402104416338736
497,666,0.4467177861314531
498,666,0.475701864896879
498,689,0.4172200232067547
499,689,0.41102185992075174
499,835,0.4173656429225068
510,1186,1.0000001192092896
524,1155,0.4110869756059897
526,1255,0.45252201983966056
534,550,0.42995011865905225
535,1221,0.4184432620062805
542,578,0.4760889519305376
543,563,0.4417691911591001
543,676,0.45068201256091095
544,711,0.46158768986077436
545,781,0.46308200444597236
550,679,0.40269637140748843
560,972,0.40204213146773793
583,685,0.4101116409246719
596,597,0.9418450046357556
602,652,1.0000000596046448
602,1115,1.0000000596046448
602,1178,1.0000000596046448
612,633,0.41305488243580524
620,723,0.437432772001497
620,1226,0.4254865174880921
633,689,0.4142429360621601
641,711,0.5874019173628743
652,1115,1.0000001192092896
652,1178,1.0000001192092896
658,1218,0.4048986362664386
672,682,0.42838372373210964
676,679,0.40493143853389546
676,685,0.4591545262117678
676,695,0.49043640602207283
676,1035,0.40100560483459546
676,1100,0.43224505120879686
679,695,0.4120452794655776
679,1076,0.40669952082564087
685,695,0.4975931542481202
688,759,0.590732729138135
693,723,0.44709027018658454
698,1238,0.4263865614931015
700,742,0.46234889394988654
726,929,0.8253319488028171
737,782,0.6083317357422674
737,940,0.4050705591534969
740,853,0.48691231799702445
