source,target,weight
0,1,0.4400565582608441
12,58,0.41276730698426845
28,31,0.45400998418387695
33,56,0.5397869312366359
33,72,0.6343309614188823
33,94,0.5377186908017771
33,104,0.5284563118755842
33,105,0.6215246860811425
33,106,0.6301725478545345
42,44,0.49829635903986697
43,44,0.4103814314723168
56,72,0.6108381270086121
56,94,0.4830427063312109
56,104,0.481635609694009
56,105,0.5180332876350471
56,106,0.6061469551207519
58,86,0.42349562168810695
64,98,1.0
72,94,0.5584444349109574
72,104,0.5346057278610583
72,105,0.6682398316880147
72,106,0.6715482662622723
80,81,0.9966800212860107
90,91,0.4458784318470919
94,104,0.5354892678386136
94,105,0.5365580318655494
94,106,0.5297449577130326
104,105,0.4731012633569179
104,106,0.4716825915702143
105,106,0.5818654191584078
108,112,0.42979671680479037
121,123,0.4474906173268439
125,127,0.5070230205321807
127,128,0.5359957779165285
129,130,0.4424646753845402
131,132,0.5386861182324664
