source,target,weight
2,7,0.49069505415039183
2,65,0.4017811291718042
5,17,0.42223265537722826
7,108,0.4050232768293266
9,10,0.5378467310689582
11,27,0.42991829373491364
12,14,0.5930825673153773
14,103,0.4862627564171626
15,88,0.426524539366197
15,89,0.6107314436355391
15,90,0.4023707081072712
15,126,0.4344216903042896
21,33,0.40629920250458423
24,25,0.6462824394818719
27,61,0.5560426984513676
29,35,0.47825882967715627
32,69,0.4342360399779389
33,35,0.5655579717195727
33,47,0.4087394419978877
33,53,0.5626590958691848
33,63,0.41475353762417094
33,71,0.4424719593476816
33,81,0.41469276754302187
33,82,0.46813115571177777
33,92,0.466358499025094
33,105,0.46722562247250576
33,107,0.42137008770880235
33,139,0.41128419463095034
35,47,0.40299385657170106
35,53,0.4629195659988767
35,69,0.4102988021166253
35,71,0.5202902690941855
35,82,0.4496502173036011
35,93,0.4044205545793105
35,171,0.44213096783969486
35,201,0.42315526653192237
36,96,0.40678083774329277
36,173,0.4187205014654948
38,47,0.40604753303906255
38,137,0.4002394910989636
39,43,0.43173739442211284
39,68,0.45945142841371633
40,41,0.4181208823594015
43,68,0.4488000664684856
47,53,0.4086562368077021
52,119,0.44382370081061645
52,120,0.4108507830843281
53,63,0.41057567982456356
53,71,0.6831164881632138
53,81,0.4575347660993014
53,82,0.5207110373145102
53,92,0.480456477622136
53,105,0.4329439145889011
53,107,0.40844837851459453
53,139,0.47995446070331726
58,153,0.4002773167274455
63,65,0.47146966103534194
63,92,0.4190434389490882
71,81,0.4337368459681728
71,82,0.4572700603123672
77,78,0.40638626231079866
81,82,0.743098162872798
82,92,0.46058942386234614
82,93,0.4315746620023972
82,105,0.4789880275000945
82,107,0.4344193000574882
82,139,0.4651351054204459
82,197,0.40555699934951195
86,87,1.0
86,90,0.40304577349281956
86,91,0.7506895993905662
86,165,0.8074788430162125
86,166,0.48730831551824183
87,90,0.40304577349281956
87,91,0.7506895993905662
87,165,0.8074788430162125
87,166,0.48730831551824183
88,89,0.6673628960387232
88,126,0.8466083121909713
89,90,0.4423610414826994
89,126,0.7127235686703925
90,166,0.4859155437553616
91,165,0.6745902833572301
91,166,0.5406592029296704
92,93,0.42427489592613565
92,105,0.5346391485538378
92,107,0.47849115045075585
92,139,0.4618221488066063
93,105,0.45008786966900227
93,107,0.41408791135550016
105,107,0.5224580651032621
105,139,0.45498509589169334
107,139,0.43912084839657306
113,114,0.5488525666225272
114,139,0.5070308955063336
116,119,0.42165640355580764
119,120,0.440018634600245
141,143,0.48534514065483236
141,144,0.4536451400250474
141,145,0.43583274040815934
141,146,0.4802850499112443
141,147,0.5531539179832858
141,148,0.4169427316564685
141,150,0.5465914468683246
141,152,0.4530725228836959
141,154,0.5116046028016055
141,156,0.45644781750244234
141,163,0.5332758882207315
141,167,0.4085162131051681
142,143,0.5483551678893741
142,144,0.4045118242993177
142,147,0.4025218840136222
142,148,0.4062179271311722
142,150,0.44745051963977966
142,156,0.4020962622083364
143,144,0.4909953954532321
143,145,0.47983625227276105
143,146,0.5611627775931336
143,147,0.5843440836134861
143,148,0.4366487880481626
143,150,0.5381169174456795
143,152,0.5392125631385918
143,154,0.5663839057174834
143,155,0.42061606483863323
143,156,0.5300431037074042
143,163,0.5540532573629792
143,167,0.551264170993974
143,190,0.5105196882961444
144,145,0.49806317920556686
144,146,0.7291323027318856
144,147,0.5708102570002397
144,148,0.5485713324394401
144,150,0.4350674449596188
144,152,0.46342107277674166
144,154,0.548732240102586
144,156,0.4738942086397576
144,163,0.4870164214595282
145,146,0.5601643681535045
145,147,0.5090650930545711
145,148,0.4339891054752535
145,150,0.53072706575541
145,152,0.4606871697712178
145,154,0.4978060216533805
145,156,0.4846825411811211
145,163,0.5473369684959712
146,147,0.6268098601299534
146,148,0.4540145044816211
146,150,0.4900969977081835
146,152,0.5512284796049094
146,154,0.5246358150461414
146,156,0.49395375752374004
146,163,0.5203833664417871
146,167,0.4289647636953239
147,148,0.45117840701378675
147,150,0.518722202463831
147,152,0.4781054837606782
147,154,0.4758317496039326
147,156,0.4649620612678775
147,159,0.4120301440577784
147,160,0.42733241622221685
147,163,0.47615738360843735
147,167,0.5070186449614911
147,190,0.48980603340944373
148,150,0.4706169097426448
148,152,0.4497355425306933
148,154,0.49279795933525483
148,156,0.42041581710599235
148,163,0.4758980959595897
150,152,0.5562638519425729
150,154,0.562064970496206
150,156,0.5389059361784309
150,160,0.4312029742211092
150,163,0.5963392306128529
150,167,0.45117850802790016
150,190,0.41190352256102847
152,154,0.6023280439436653
152,155,0.41566311765167097
152,156,0.5108122549383158
152,163,0.606162658449908
152,167,0.441186622291177
152,190,0.40256358963215433
154,155,0.4507936256722105
154,156,0.5683671648009497
154,163,0.6432336269853294
154,167,0.42294363434743226
154,190,0.40870231210864505
156,163,0.5505346727812793
156,167,0.4644046475513425
156,190,0.49319089131453964
163,167,0.413650564528503
163,190,0.43088829869675027
165,166,0.40907648923253115
167,190,0.5585408774753637
180,181,0.5502978131896591
184,186,0.41746622008864265
185,189,0.40553668215417227
186,194,0.6005642396355518
