source,target,weight
0,1,0.423034439289809
0,106,0.42157214057054465
2,6,0.45504721529415293
7,11,0.48283458237038185
7,30,0.4479518354870515
7,102,0.45359368600107863
8,14,0.48963940897379443
11,30,0.44010182233934103
14,42,0.45202626859073886
14,112,0.40614698849163267
27,28,0.8120807450896156
30,72,0.42338472887768275
30,102,0.5173957875826223
30,105,0.40090658638916604
30,108,0.44463858486433194
34,102,0.4398068627981817
35,108,0.4095021371492424
40,43,0.4808894480792293
41,42,0.4437297579268323
41,109,0.43843050634023156
43,44,0.4281858446241674
45,49,0.41673878074802856
46,90,0.5262074947422576
47,48,0.46197681216918474
48,71,0.47433148019625
51,52,0.4832957929993703
54,71,0.4143503296910361
55,111,0.40855171968744336
61,66,0.42323801217298895
63,64,0.5255901055174634
69,70,0.4098807983299405
75,76,0.5012121577303279
75,77,0.41120670408380156
75,78,0.5494888846105243
75,83,0.4434238734559648
75,85,0.4395349251156919
76,77,0.4337710626827277
76,78,0.5353913674549838
76,81,0.5072406471655367
76,83,0.4693546292559321
76,84,0.4264378025995123
76,85,0.47473806991883566
77,78,0.46877525328652964
78,83,0.5006758158914107
78,85,0.5289196743418247
81,83,0.41282934613896666
83,85,0.42780014435487945
85,86,0.4474409647267207
102,108,0.4677227441944125
105,108,0.472610863935234
110,111,0.5170878774072382
