source,target,weight
1,7,0.48163123588850504
1,21,0.5330755064012921
1,178,0.41565053014616526
2,9,0.4288472773529386
2,10,0.45422128349368945
3,75,0.6707130873828844
3,853,0.62513507052828
3,903,0.5368759390351144
7,21,0.43972788443801203
7,192,0.4096370827267845
15,81,0.47333294684328264
15,404,0.42317499653074725
21,178,0.4169935681369339
21,234,0.4053984362729762
28,877,0.4332411653466046
30,154,0.40875313312714895
31,39,0.4641202790840779
31,369,0.9543314576148987
31,598,0.9543314576148987
31,609,0.9543314576148987
31,907,0.9543314576148987
31,909,0.47021593629801695
31,920,0.9543315172195435
39,369,0.4355566902264271
39,598,0.4355566902264271
39,609,0.4355567051275883
39,907,0.4355567051275883
39,920,0.4355566902264271
40,523,0.516287855238234
40,623,0.4383996816804112
45,54,0.40324332186608963
45,278,0.528692023139636
50,53,0.4797938379427903
50,61,0.42590025337225845
53,61,0.46796504204342965
54,278,0.4715295821020003
58,67,0.44771490092404714
58,73,0.5051987455889801
60,66,0.6141907579008177
60,73,0.45610600449697003
60,855,0.45187483854768207
60,861,0.4046293871711826
61,63,0.41416202492950244
64,752,0.4210971389866233
65,66,0.45981877303350427
65,73,0.4745140718976525
65,848,0.4530344673922292
65,855,0.4517624281754084
65,861,0.4726415768841677
66,69,0.4116879264111225
66,73,0.45928868419961033
66,848,0.40868334968756526
66,855,0.4525496708016613
66,861,0.4012313079469277
67,73,0.5771768215513198
67,848,0.4469182353550215
67,855,0.5605080775648401
67,861,0.40938085799721846
69,73,0.46841748185563914
71,881,0.4461243537473228
73,848,0.5078994254841505
73,855,0.5693955116169168
73,861,0.49296678270540606
73,879,0.42515406242027776
75,688,0.42678388661126315
75,853,0.47464007408912195
75,903,0.646597977377573
89,195,0.5103260082526417
92,274,0.4065705340143973
92,692,0.4479994283210138
92,711,0.42707198123473616
93,103,0.4125176788794849
93,233,0.4154262519420994
93,251,0.5041796181460333
93,274,0.4414084886810108
93,335,0.4944437653264481
93,388,0.5326030797270505
93,654,0.43829225858666
93,692,0.4792966430598521
94,240,0.43139785017166676
94,335,0.42045830794329353
96,215,0.4354275894274857
97,150,0.4223082004798213
97,189,0.433747582446222
103,148,0.4139720388493868
103,152,0.4254400386860553
104,116,0.4264325441745793
104,133,0.41677295018156285
104,139,0.4412685003988772
104,181,0.41560271077273875
104,300,0.46671896276792607
104,499,0.420436247929472
105,189,0.4565022516010946
105,190,0.43516667970116124
105,215,0.4120600329380369
107,212,0.44103136272395704
112,335,0.41663652610204105
116,133,0.47882293882099014
116,138,0.518404340359365
116,300,0.4354059150058604
116,334,0.4396908594404234
116,499,0.4715407269497969
118,329,0.40362459283713414
120,371,0.4165615836945487
120,373,0.4165615836945487
120,395,0.4587624193465698
124,314,0.4762240286429733
124,806,0.4762240286429733
125,257,0.4647869229222816
128,282,0.4250435740311793
132,314,0.4682202853782244
132,806,0.4682202853782244
133,138,0.4101429678659858
133,139,0.472235280477893
133,155,0.41062042132926513
133,181,0.4011409065441915
133,300,0.4669256023147909
133,323,0.4298050602064669
133,334,0.4554103208182385
133,499,0.46376691225146777
136,301,0.539608682496685
138,144,0.5250866478794532
138,162,0.4384043988546071
138,499,0.43090981026971287
139,300,0.4959487522627541
139,334,0.4421774327799994
139,499,0.4492753743269525
142,174,0.4310039842780171
142,233,0.4536805755224234
142,251,0.4170796814085441
142,274,0.41389577477888984
142,654,0.4302933956549144
142,692,0.44016507984420034
144,162,0.4498608052035273
152,240,0.4285960922195126
152,251,0.4292903184615592
152,335,0.40869778171465987
152,388,0.41193937016551907
152,692,0.42384058378631895
152,892,0.41475519502733205
153,198,0.42356855426746903
153,232,0.4791954829464118
156,184,0.4124402483350835
160,245,0.47703682170611256
166,167,0.4321898937380555
166,178,0.4222569345773717
166,234,0.41525956825966137
167,178,0.41267716391374154
167,234,0.40710712261393
171,177,0.42893393592238993
174,654,0.42514479916087344
181,300,0.4262356418079811
185,310,0.4055759137458099
188,189,0.42494906663513093
188,190,0.4344155772837666
189,215,0.4467352149419528
191,215,0.4270757293977904
191,232,0.40867198356854484
192,779,0.4405293711501451
194,234,0.42524889561135454
200,203,0.4810683587953296
200,207,0.4945786923309098
202,243,0.8659088359992171
203,207,0.638143932305282
203,210,0.45604802852193715
203,742,0.4443320520193911
203,748,0.4257150670265552
206,241,0.4147388298148108
207,211,0.4045009597262453
207,409,0.448288003425351
215,232,0.5043446631886456
222,626,0.4127821053900794
222,635,0.4301972126571886
223,913,0.5875637629516925
226,232,0.43866236033689743
228,314,0.41918896727351695
228,806,0.41918896727351695
233,251,0.42611413272387966
233,274,0.4516892924800474
233,388,0.4240683092908438
233,654,0.5115723459607949
233,692,0.43808245520265754
240,251,0.40993043743265223
240,335,0.4324391018232142
240,388,0.4580359548461232
241,250,0.42843982577323914
244,249,0.43823957548693737
250,547,0.4472399130364312
251,274,0.4429969034743897
251,335,0.4744011894182109
251,388,0.49875365493657053
251,654,0.4689519849040973
251,692,0.5291775198546754
258,324,0.48115964334841166
268,282,0.41409485155942366
274,335,0.4941918490255742
274,654,0.4435493951689486
274,692,0.4908454433054761
283,287,0.400128873400153
283,288,0.4493318109535893
285,286,0.46416989008491916
285,290,0.44098513993548083
285,741,0.4176272891163991
285,752,0.4396212018593484
286,289,0.5011059376311282
286,290,0.5688333536202899
287,288,0.48375709866594585
287,292,0.44151703210784715
288,292,0.5586724675357978
289,290,0.4249032471672056
290,752,0.41113538089749135
300,323,0.46155100687308726
300,334,0.5080241497249223
300,499,0.43074773518494763
305,333,0.44611729442049486
305,869,0.4089105617971291
307,804,0.40944886380048384
310,578,0.40101684789536884
314,479,0.5165378932726861
314,806,1.0000001192092896
316,533,0.43335700751265716
319,320,0.4819775996329071
323,334,0.4269669780268145
327,692,0.4008119656166456
329,345,0.4199379807334029
330,332,0.4002892006241587
330,344,0.4447118618317222
330,349,0.403095937778291
332,339,0.41606726366735014
332,345,0.45585997035201753
332,412,0.4073263565739602
332,440,0.42789822650553794
333,780,0.4021801846946915
334,409,0.40818470742457735
335,388,0.4876991279729137
335,654,0.45389018511294527
335,692,0.4884269847779599
335,892,0.445944844591294
344,345,0.44522947938577107
345,440,0.4248597108749551
346,804,0.4548208848158276
349,386,0.4020213184785426
351,353,0.41171310321300675
359,774,0.43894005668969616
363,389,0.4158536064303392
366,409,0.4102257794520397
367,387,0.48367358156739726
367,407,0.43865397937857087
369,598,1.0
369,609,1.0
369,907,1.0
369,909,0.4290577369877142
369,920,1.0
371,373,1.0000000000000002
377,440,0.4329609481207439
378,409,0.4656365556078626
381,408,0.6198492688280222
381,517,0.6119611739727708
381,550,0.6346480580652706
381,671,0.48420262667300795
384,393,0.6381930966121147
384,406,0.44793576426365045
384,411,0.44267848855689884
385,909,0.40190491363855957
387,407,0.757904491115774
387,475,0.49870213970766986
388,654,0.4202806364264329
388,692,0.4543692752386379
391,872,0.5155162611902069
393,664,0.41386429112324036
396,403,0.47723774310663014
402,576,0.5733180248828844
403,411,0.4911320112514388
406,411,0.4551714627194886
407,419,0.43521712477103347
407,443,0.5301488933123848
407,446,0.40133349411463426
407,475,0.43461901322225016
407,686,0.40834489487498465
408,517,0.5282113995778637
408,550,0.5379099113023678
408,671,0.40882388591038554
408,759,0.45200979922322554
414,419,0.6362529439961848
419,423,0.5438451729290446
419,441,0.49052707713800536
419,443,0.4335914813125924
419,446,0.5286154632805593
419,452,0.4173187926415415
419,682,0.41680004252135416
419,686,0.4178423827021643
422,432,0.4928987920943291
422,558,0.40780273550391244
422,694,0.4592852832116372
423,429,0.5363456796084091
423,441,0.5629576086248101
