source,target,weight
1,5463,0.40041919143755134
1,6081,0.4023878220156992
1,6084,0.4003016449630014
1,6102,0.4023481903333538
5,10,0.5414270943448489
5,48,0.5531684386997011
5,80,0.41502348352139207
5,89,0.44159327005316285
5,107,0.5071725813574602
5,142,0.492295094163097
5,283,0.4339583258617842
5,326,0.47606092996064536
5,434,0.47802977394796903
5,457,0.4339583258617842
5,469,0.4750801331159933
5,494,0.4750801331159933
5,498,0.632172929648489
5,513,0.4750801331159933
5,528,0.436781922392975
5,623,0.4173463589157707
5,635,0.4742389021681278
5,753,0.4750801331159933
5,829,0.5105343146458827
5,899,0.42969141356238466
5,977,0.42489131715444173
5,1146,0.5436577809158456
5,1293,0.578673934922308
5,1329,0.483923503013505
5,1369,0.536680221988188
5,2022,0.5699620135600968
5,2155,0.5692195722357802
5,2869,0.46601020432787943
5,2974,0.46951265350971794
5,3522,0.6734059215402978
5,3960,0.44702422956166443
5,3988,0.4952568603309838
5,4056,0.5782784596666322
5,4450,0.5241595474905779
5,4485,0.45853817369497263
5,4531,0.4547223191147234
5,4573,0.4821983528221082
5,4759,0.411058151569767
5,5138,0.40232805426432233
5,5231,0.45170489554147486
5,5415,0.6612897744807043
5,5497,0.6612897744807043
5,6140,0.5241595474905779
5,6245,0.4747137549075755
5,6345,0.6612897744807043
5,6694,0.6688576239694193
5,7345,0.946721613407135
5,7973,0.4512144464349441
5,8553,0.45486077251508505
5,8919,0.40374576849126365
5,9019,0.489939648172197
5,9029,0.5635156046010708
5,9337,0.465486556785819
5,9639,0.946721613407135
5,9668,0.946721613407135
5,9901,0.5210162605239457
6,690,0.5040267206868098
6,7261,0.5013963368855747
7,100,0.6247919646723
7,173,0.40772951256049794
7,339,0.4262794018865935
7,410,0.42213765393508595
7,557,0.4026309610487334
7,567,0.6104232517702309
7,590,0.43972543488753957
7,591,0.6448987454235778
7,818,0.6218445745928017
7,835,0.6077323404772011
7,888,0.605521842621061
7,910,0.4514465690733306
7,1014,0.5714493649988304
7,1109,0.44202721937128225
7,1164,0.4234125328378721
7,1192,0.4196803332449309
7,1291,0.4037013114572875
7,1398,0.6010513750536172
7,1465,0.4040706516386382
7,1599,0.630939528129789
7,1973,0.6221028204384851
7,1984,0.6221028204384851
7,2013,0.5746139732820718
7,2053,0.4053279222132079
7,2075,0.4264775277258269
7,2081,0.40541462170651743
7,2217,0.4340735436560027
7,2263,0.5374737286345326
7,2519,0.4350333572508208
7,2540,0.6222401110155312
7,2710,0.42385414849532765
7,2715,0.4390893043161742
7,2905,0.4018361033083312
7,3073,0.6177189795000283
7,3149,0.6105725316030709
7,3165,0.4535538437116824
7,3206,0.45917410265220326
7,3243,0.44202721937128225
7,3417,0.5958911923391549
7,3637,0.6169206348879067
7,3786,0.4071337343336455
7,3888,0.6266518084032265
7,4017,0.4150514365316741
7,4021,0.6137839789811181
7,4054,0.6216337529642312
7,4386,0.422451628611669
7,4393,0.6255489734632699
7,4435,0.40001971136344594
7,4464,0.6196183113081185
7,4467,0.4066923207637946
7,4475,0.6510901597959725
7,4548,0.6137839789811181
7,4824,0.4224516584139914
7,4836,0.41479555379165334
7,5017,0.4224516584139914
7,5148,0.614320978306028
7,5494,0.5366628426103721
7,5816,0.5517063373866372
7,5874,0.45627591620696706
7,5997,0.6441868988496987
7,6060,0.40494678031219167
7,6171,0.4224976361872069
7,6213,0.5922167746050088
7,6298,0.6460239140016762
7,6359,0.6229322997553078
7,6480,0.6402084378225533
7,6518,0.6195632664186684
7,6530,0.6448987454235778
7,6534,0.41903064261687917
7,6603,0.4585135937811248
7,6637,0.42907530676139516
7,6909,0.4612339497686736
7,6953,0.41280337751429275
7,6991,0.44202721937128225
7,7286,0.6299580184442727
7,7344,0.6522333172781197
7,7378,0.4150528074385039
7,7443,0.6149175015909402
7,7696,0.6072243896944253
7,7949,0.6161498276216714
7,7995,0.6074672190172402
7,8038,0.627716883800718
7,8239,0.42806989561332387
7,8305,0.4148932654714812
7,8377,0.5921522599785621
7,8494,0.44202721937128225
7,8713,0.4049477339865081
7,8756,0.5322360199751756
7,8810,0.6324409095270364
7,8840,0.43688366423858327
7,8862,0.43203119050277394
7,8891,0.4148932654714812
7,8967,0.6108726111871926
7,9173,0.6379611340982644
7,9193,0.6310170737726418
7,9286,0.62341536559889
7,9646,0.43032023917449636
7,9893,0.4197833300711028
8,26,0.6139269887552139
10,623,0.4443850801951684
10,1293,0.41348971114245014
10,2869,0.5510582910829752
10,3522,0.43588853281540973
10,6694,0.42021989265784226
10,7345,0.4855819529340213
10,9639,0.4855819529340213
10,9668,0.4855819529340213
12,159,0.43144394000150843
13,429,0.4316894179339319
15,594,0.401281110304789
15,609,0.42792852750962296
16,7579,0.40801740768018857
18,496,0.4459381417790181
18,1028,0.5131500474395185
18,1031,0.41162499924766416
18,1168,0.43476371803967756
18,1544,1.0000001192092896
18,3061,0.4314187758666605
18,3062,0.4994463154684258
18,3373,0.40542945620725224
18,3387,0.6091826697413548
18,3706,0.6840745681265006
18,3858,0.43470621618314864
18,3887,0.46388768572210354
18,3929,0.4853589202065197
18,4022,0.45566124427300375
18,4163,0.4087490533886989
18,5573,0.487954636357697
18,5689,0.41060115990862
18,6148,0.4147803658044037
18,6748,1.0000001192092896
18,8045,0.6980118833222456
18,9094,0.4460421229752649
18,9452,0.5333659694354416
18,9597,1.0000001192092896
