source,target,weight
1,432,0.41384879668448127
1,706,0.44530284475922643
1,864,0.4151247372249419
1,1007,0.500429968683098
1,1010,0.41917522573367927
1,1160,0.43013977570406486
1,1167,0.4560093793407122
1,1580,0.4287393841434838
1,1626,0.4218395749849345
2,353,0.4334118207623772
2,1086,0.44516425986106034
3,1275,0.7913667446332014
4,813,0.43692564165076886
5,612,0.7043864337141602
6,229,0.450592568024011
6,262,0.48800604526983865
6,264,0.4505802979657708
6,267,0.4226114822259396
6,374,0.46352747405349337
6,786,0.5616511848480839
6,1069,0.49959882185469295
6,1106,0.5855765940014962
6,1245,0.46395273810204074
6,1247,0.5628604110537193
6,1248,0.500442710399773
6,1256,0.5004626241657981
6,1257,0.4335090512544034
6,1260,0.48280005546502874
6,1262,0.4383620699111945
6,1274,0.47998385161548485
6,1285,0.43999144424153735
6,1294,0.46242086351640105
6,1342,0.4212647794978315
6,1381,0.5335863496730615
6,1415,0.5355877032837437
6,1447,0.41524285729761545
6,1448,0.42539878010973553
6,1455,0.40668892954869384
6,1461,0.42103617134333293
6,1462,0.4979654495549808
6,1480,0.5623373809003733
6,1542,0.5969933819408226
6,1543,0.4416253675439995
6,1562,0.4793384591277377
6,1579,0.5978118192736691
6,1587,0.5147169911377569
6,1588,0.459925603904468
6,1596,0.529178322338407
6,1603,0.5055133515223205
6,1705,0.5623373809003733
6,1711,0.47567005117513583
6,1802,0.6148907441849946
6,1834,0.4815189413810892
6,1836,0.5277902863509977
6,1837,0.4434308351024577
6,1839,0.4696249366376048
6,1991,0.41623223797917863
6,1993,0.44926422949634864
7,241,0.4967719030170418
7,253,0.4251015118591894
7,343,0.42305997493550934
7,362,0.48057221590151794
7,382,0.4203772983535087
7,967,0.42387300277306406
7,1848,0.4272815350385769
9,80,0.4158717956421799
9,1375,0.5580043985983398
10,54,0.9543314576148987
10,67,1.0
10,161,0.40495800656021946
10,256,0.5749985649654872
10,338,0.5709625109667841
10,442,0.42769778450830664
10,449,0.5074722766012382
10,478,0.45049050156036735
10,727,0.5766386312356916
10,756,1.0
10,1084,0.45118131909634285
10,1131,1.0
10,1137,1.0
10,1138,1.0
10,1172,1.0
10,1190,1.0
10,1191,1.0
