source,target,weight
4,85,0.42772013716513824
5,7,0.4674705539047433
5,8,0.5226624263226339
5,10,0.5087912298956039
5,13,0.4388271424127807
5,22,0.41849516564358297
7,8,0.5077263867065492
7,10,0.5736144507243371
7,13,0.47972050655359866
8,9,0.40080255714376856
8,10,0.5153926831938206
8,13,0.5275475433968783
8,22,0.4050920204274741
10,13,0.5016579110407912
10,22,0.4270659866296064
11,98,0.44277253964032914
15,16,0.453695079895589
22,25,0.41119879792934855
25,28,0.4664147771471011
27,30,0.5412408009915162
42,56,0.443149740775551
43,84,0.5210292462162549
43,85,0.525810606709781
43,87,0.6122384503848968
49,93,0.6177705458003886
50,52,0.404789877244542
51,94,0.4366001819369434
52,89,0.4301455003396908
54,86,0.6142250144717107
73,89,0.5069541195235744
78,88,0.4262343537415775
84,85,0.4978882674699962
84,87,0.4778009588227209
85,87,0.5082967362510958
