source,target,weight
5,24,0.46981028288342697
5,29,0.44457238463802073
5,76,0.4111881030942962
5,113,0.40209557560449866
7,27,0.4123008443188412
16,21,0.4060188194699775
21,68,0.4002651899014354
21,75,0.4047788160050823
24,29,0.4384265098415127
25,29,0.4677872726285218
25,76,0.4204137968198367
29,76,0.43425590760247895
29,113,0.4332705813178284
38,40,0.4530881580593613
42,43,0.47406817196448436
42,44,0.5394868260228352
43,44,0.45757049817481793
43,55,0.40721963125616245
43,59,0.5306110370984191
44,55,0.4546985713557812
52,70,0.43433509368079193
54,64,0.5481993254566856
58,73,0.47821957402526477
58,87,0.6096478365662088
58,108,0.4514789805837637
59,68,0.4896422348877767
66,72,0.4123233890592154
66,81,0.4178105231503243
66,90,0.4192598839416506
68,113,0.4297107453398556
71,89,0.42801686960748264
72,81,0.43128007680132163
73,87,0.43185114484478254
73,108,0.40701473921820164
76,113,0.40664465632392915
83,92,0.4911545575794279
86,106,0.6128759232275978
87,108,0.4347662433320118
