source,target,weight
2,3,0.4297747154204769
3,49,0.45861630371583373
3,89,0.4549473109454059
5,63,0.7223262396696477
5,97,0.5759852372500898
8,10,0.7448357550524144
8,88,0.456086978434728
8,102,0.44363817655690946
10,16,0.48891579641261446
10,89,0.4058145056386429
17,89,0.6160186102539726
17,95,0.47500688369088756
19,21,0.467606767583019
28,47,0.4480628598866683
28,48,0.41512719526476144
31,78,0.5422003654133862
36,37,0.449544379648511
36,45,0.4267735248288943
37,45,0.5097987998730189
39,45,0.4587997169004837
47,48,0.5749744400980481
51,80,0.5995244037580802
63,97,0.5893548063130577
67,68,0.4126152277769697
74,87,0.6114741746542866
74,94,0.7030762496250107
81,89,0.4356726110914318
87,94,0.6386811306134599
89,95,0.6701649049069394
