source,target,weight
1,959,0.5898633682683904
2,20,0.47778480255186273
3,108,0.49459737169765716
3,229,0.4017424316851197
3,4554,1.0000000596046448
3,4873,0.44142317566998124
3,4874,0.44063254902311527
3,5053,0.40377773023815616
3,5719,1.0000000596046448
3,6050,0.4237805357759936
3,6051,0.4326838327944434
3,6052,0.4049527669397808
3,6318,1.0000000596046448
3,6426,0.43646929546021807
3,6611,0.42766314891193186
3,6966,0.4917012147748804
3,7312,0.49507106453543004
3,7355,0.45386774644004235
3,7379,0.4655813015476856
3,7522,0.4202706281799522
3,7630,0.40624320698050914
3,8691,0.4074119780742016
3,8806,1.0000000596046448
3,9181,0.43999496170438546
3,9765,0.5014729705688143
3,9905,1.0
4,3677,0.4014724452755454
8,47,0.48883263576103286
9,5782,0.4182209019622446
16,23,0.4032248747710986
16,1993,0.4703832452370168
17,453,0.4544842506758712
18,23,0.49371113971552083
18,25,0.42583260091204866
18,30,0.4767240392181765
18,46,0.5425829481421063
18,66,0.43362949843658694
18,68,0.42943605313838396
19,48,0.4120167065401121
19,62,0.43162411513538335
20,59,0.41644427475520907
21,2755,0.4765407291914616
21,2990,0.5698676292918761
23,46,0.5564739858786901
23,53,0.4277206494724081
23,58,0.4077318514183199
23,66,0.5122132978771066
24,30,0.47142414225870716
24,46,0.45287446244960994
24,68,0.46373294058560577
24,8161,0.4221172160822325
25,30,0.46959817244189406
25,46,0.4164511048298918
25,9588,0.40254095225017006
26,46,0.40638774815409795
28,30,0.4057150953676639
28,46,0.43013630988831736
30,46,0.4864733728470101
30,9588,0.40646846430908445
35,5845,0.4040027080597846
35,6458,0.4005722161642343
38,7269,0.4150803518692259
41,50,0.4643875713464183
43,6394,0.44784623585339267
43,7166,0.4251333301815994
45,223,0.5001441031181224
46,66,0.5409261884379608
46,68,0.40052467239991557
51,172,0.4036286347194743
51,225,0.4120443701123301
51,1284,0.4101339560115166
52,151,0.6676654948646186
52,298,0.4130386118520898
52,443,0.40368166025259605
53,58,0.6049373665741418
53,66,0.4844333879562124
55,6048,0.4433408577858969
58,66,0.47270923983666024
60,62,0.40612310480131253
61,78,0.4160024244188744
61,107,0.48231542792599935
61,143,0.5009982281502747
61,272,0.4298310055667212
61,372,0.5065175542620685
61,5958,0.4018596636844428
61,5961,0.44569853019326167
61,5980,0.4139492536734303
61,6027,0.5437071233218311
61,6042,0.4336734527722613
61,9559,0.464725027781163
64,79,0.4878014642825247
64,81,0.45188763837633095
64,334,0.4734915217201274
65,367,0.5343930333345849
65,981,0.48988719506413037
65,9138,0.4271672905735067
74,422,0.4870488574326328
78,107,0.41534194624247855
78,372,0.6297457510297788
78,5961,0.5107575220914367
78,6027,0.4050935804903034
79,334,0.5691367088746679
79,1598,0.4159201944286373
79,1884,0.4196137391394988
79,3024,0.45982207779285345
79,3334,0.4114316634301022
79,3357,0.4078718089798613
79,3616,0.42927702845060534
79,3626,0.43910898051402214
79,3736,0.40107742514231526
79,3814,0.4212432410909792
79,4391,0.40188169712707733
79,5382,0.435740328974793
79,6803,0.4060165738686411
79,7525,0.40045576322183973
79,7596,0.40177040349953347
80,1076,0.45294739823429486
80,1403,0.443292090633302
80,1476,0.42798342425679825
80,1658,0.5134443920241931
80,6698,0.42011720010605663
80,9328,0.4013819925752601
80,9760,0.46754612943391727
81,175,0.5301465122736215
81,1083,0.41819742954294076
81,7950,0.45598704241684507
86,3556,0.4132471871294429
86,3726,0.42536211791623113
86,4152,0.4042223378560589
90,125,0.5056550103389664
90,367,0.4436977857971256
90,901,0.4060963640970083
90,1604,0.4373709941673207
90,1646,0.42410843533014964
90,3685,0.45516896704115944
90,4510,0.43535010138319996
90,5187,0.4112661678068791
90,6103,0.42567735003369755
90,7760,0.4264370662391631
90,7768,0.538882447567584
90,7785,0.41535476823625433
90,7850,0.42897813904637216
90,7967,0.4799668373629815
90,9998,0.4090502206139998
92,1033,0.4024155207184237
92,1746,0.4421833412861685
92,5163,0.42442657498279246
92,5248,0.4448496361165646
98,822,0.6264895034494438
98,2520,0.40674089774909816
99,2380,0.4251457417354817
100,219,0.4683479260044887
105,5664,0.4658399361877721
107,143,0.48506048301729643
107,272,0.40287434043341275
107,372,0.5350000142702089
107,5961,0.4212127647343207
107,5980,0.4353815852376254
107,6027,0.4282350252713134
108,195,0.7231593661167304
108,229,0.734544454085858
108,603,0.6922953925084339
108,697,0.4435815200445422
108,780,0.7558882260595753
108,888,0.6323500286181691
108,1573,0.4546120705732167
108,1583,0.46056303470158955
108,1649,0.4638934144260921
108,1672,0.4531924667486012
108,1674,0.45079457188928723
