source,target,weight
0,1,0.4049089398404449
0,27,0.40372072498906797
0,105,0.4813355238864535
0,149,0.4106181576919318
0,152,0.47262793241514944
2,3,0.40686264415514295
2,152,0.4329528226170411
6,24,0.42478472564963043
6,27,0.46340340435139676
6,29,0.48915142508709286
6,30,0.4129104838571868
6,152,0.4149742735984567
8,18,0.4449240353687454
10,14,0.4526729954947638
10,19,0.5033140904875585
11,16,0.4120347553731524
17,18,0.49067018191848183
19,35,0.687954528706052
19,79,0.4276775160805503
20,21,0.42651530214300126
20,79,0.4239550878075475
21,24,0.4080202601095605
21,79,0.412306656978602
24,27,0.5622821038247667
24,29,0.5451918508171059
24,79,0.41396367787345256
27,29,0.5603715144064388
27,139,0.42655036625199594
27,152,0.4087012391118662
29,30,0.5470769485144236
29,142,0.41594505615089494
30,139,0.47530352399050924
30,142,0.45945002859304007
32,113,0.416833948008557
33,75,0.402479843623618
33,141,0.402479843623618
39,41,0.7307368052862828
45,132,0.4200941350207203
46,55,0.417184234843345
56,57,0.49592333563541785
56,63,0.40176903690391896
62,64,0.47447269625010874
62,68,0.40117109781189897
64,66,0.7009537014022267
64,68,0.49891730278413204
66,67,0.4978980852340843
75,141,1.0000001192092896
80,103,0.46568771054081576
83,88,0.4254622229676895
83,97,0.6309134207676313
105,149,0.5707007437688938
105,152,0.48230441123803897
107,108,1.0000000596046448
117,121,0.44719422941799963
119,120,0.4305902318674101
120,131,0.5664424303032194
139,140,0.4031890824056632
139,142,0.43094288640872436
140,142,0.4462663855481041
140,155,0.425989713200022
140,156,0.4534977135396657
142,152,0.4386673053649427
142,156,0.40098153376468426
143,146,0.4237130583663072
143,158,0.4087455840610197
146,151,0.41157507314271036
146,161,0.4131005493045785
150,152,0.42831752836685666
152,156,0.44961280553434624
155,156,0.4614996834153614
