source,target,weight
0,61,0.40510331387193765
1,98,0.48794676890972677
7,15,0.4594935181830085
7,18,0.4485847203178438
12,116,0.4428804310521601
16,97,0.42282207037979724
16,125,0.42494236245554184
16,154,0.46003194137154835
19,106,0.4817327997538752
19,181,0.43881611208004223
32,63,0.41845019166466674
35,46,0.5147325113796075
35,52,0.4790768394020467
36,47,0.5421790565508366
38,142,0.41598283696405614
39,55,0.4107846515326645
41,70,0.4361838130604899
41,92,0.4300114881802649
41,105,0.4118734699889724
41,170,0.4585870881860058
41,177,0.5289233861088999
42,55,0.4411419044337559
42,61,0.515567127182675
42,80,0.41149201904638244
42,95,0.4249904127314934
45,98,0.525136730622549
46,52,0.5774606845390506
55,72,0.45256185249113756
55,95,0.43438920111834306
58,96,0.46958258203883474
60,91,0.45002462018032924
61,62,0.4006899635924646
61,70,0.4419522492655138
61,73,0.49399409799283256
61,74,0.42734313016294406
61,80,0.45380167610460775
61,125,0.4093237812992736
61,134,0.4097373170546268
61,141,0.4120009094656319
62,67,0.47358105146708857
62,72,0.46081473964227954
62,73,0.4164124021820719
62,78,0.49814999495553935
62,80,0.4616358656180677
62,97,0.425241409818286
62,134,0.40115943451712377
62,181,0.45367331297446784
64,84,1.0000001192092896
67,72,0.4578427393924168
67,78,0.486177893460237
67,80,0.4186959127984481
67,105,0.40678309753587333
67,127,0.43718226101277474
67,134,0.44465123149965347
67,181,0.44327834681425754
68,125,0.4239731534017346
70,73,0.4075416706306968
70,80,0.4201475441285008
70,135,0.414390548580706
70,177,0.4219437761077718
71,78,0.41759356048281315
71,142,0.52980665788095
72,78,0.4981709355664438
72,97,0.41156781796293873
72,105,0.4160042752039149
73,74,0.518438439959496
73,80,0.41357461304464527
73,141,0.4008561090617634
74,76,0.4857032165502868
74,91,0.44651197679456445
74,131,0.4714976565257825
74,140,0.4258771026825308
74,141,0.4321912149486635
76,131,0.4586891192836694
78,181,0.488078989199361
78,182,0.4058156542706334
80,134,0.4442088586811305
93,106,0.4757153008665186
94,106,0.40304182116543974
94,181,0.491461612592449
105,106,0.46683391976088395
106,181,0.5655317677283608
106,182,0.41534160449507607
108,153,0.4723118781500124
108,171,0.42036247737693766
121,129,0.4678775101386483
124,177,0.41754315878607334
125,170,0.40624386632307313
125,172,0.4789018468384606
125,177,0.45970274839832326
127,174,0.409937272556203
130,131,0.4731608007597531
131,161,0.4018527030162164
132,153,0.4086659353750314
134,135,0.5414019285079614
140,141,0.4807867352642562
141,177,0.4066428392123914
145,147,0.4147147698499419
154,179,0.4311392161866041
160,193,0.46431877377298936
161,162,0.43817989740500946
170,172,0.40742167266392254
170,177,0.5153132683306889
172,177,0.44742557620098855
181,182,0.4608687501798362
181,183,0.4390628457730083
182,183,0.5786612548457932
