source,target,weight
0,3015,0.40410845442792653
0,3046,0.42585462995955303
0,4664,0.41619383657626896
3,27,0.4036508638560683
3,77,0.41959307312045274
3,100,0.44126003894812754
3,146,0.46933119089371855
3,232,0.40277692614855887
3,260,0.42569914138856735
3,289,0.4003590622221914
3,348,0.5067286098920015
3,427,0.43831103002146676
3,489,0.40472942339596446
3,542,0.4044793015903738
3,551,0.4416591410095245
3,556,0.4350997474654589
3,624,0.4052846085846573
3,649,0.4252770044475165
3,685,0.4082079683204529
3,700,0.5193580957523569
3,702,0.4452700196004502
3,712,0.40470851414400516
3,715,0.40642574653340224
3,739,0.47369468510157375
3,800,0.6670815351416585
3,815,0.4025192125356654
3,817,0.5477177535805065
3,878,0.6083198338942286
3,993,0.4345818830271385
3,1072,0.5156691079176601
3,1146,0.5055323043527841
3,1209,0.4031091012017966
3,1220,0.41670243659859024
3,1371,0.4309346776424394
3,6212,0.42855760099394913
3,9405,0.41122592683406056
4,3567,0.7381856251370279
5,301,0.44349695975339826
5,688,0.4012054638150779
5,8657,0.4117536161805615
8,281,0.4098407380875496
8,2317,0.5077939190275412
8,4401,0.6672484570821402
8,9390,0.6064646168904682
8,9697,0.408422461265745
9,50,0.41277490557228247
9,8548,0.40895126031502027
9,8688,0.4292558103569236
11,23,0.4258265473272092
11,215,0.42515245686621095
11,4633,0.46309622605228135
11,4662,0.40856156332469795
13,786,0.4088694111778852
13,995,0.4412549154570796
13,6857,0.40646402174782525
14,246,0.4045208622575323
14,8354,0.42645126562849756
15,35,0.4386502522960125
15,540,0.4286046017634645
15,788,0.410255312574882
15,902,0.40379297550902576
15,1058,0.4084576652488532
15,1157,0.42621414481083075
16,248,0.5447304876542647
16,350,0.5599345180390237
17,20,0.4375685724695111
17,26,0.5474880593384674
17,80,0.4141261769978939
17,114,0.5560229872928304
17,237,0.45547285344928484
17,320,0.41735347954943924
17,372,0.4211593716962214
17,391,0.47762410538801736
17,454,0.6191022109312901
17,514,0.4357181647239738
17,557,0.5211673637558835
17,566,0.44896293103911694
17,664,0.6191022109312901
17,1137,0.4899982184587929
17,1199,0.5206188533508759
17,1351,0.4540833632625012
19,747,0.9596824645996094
19,827,0.4137036565342563
19,1272,0.7054647134624773
19,1327,0.9596824645996094
19,2807,0.9596824645996094
19,4097,0.5147608897623425
19,4985,0.9596824645996094
19,6823,0.4696664371650568
19,8084,0.48265708109417693
19,8935,0.6584441773608058
19,9380,0.9596824645996094
20,26,0.4074082953016829
20,114,0.4352633041568474
20,237,0.43187672529126087
20,320,0.40042840105906463
20,454,0.5453884469069457
20,514,0.4515917602867157
20,557,0.5318772652090549
20,664,0.5453884469069457
20,1137,0.4795426874448461
20,1199,0.46061125288369154
20,1351,0.42588168037740737
21,58,0.46904910935129956
23,30,0.427251239850057
23,147,0.42140141792645336
23,215,0.5795019709605127
23,330,0.45195624052991146
23,675,0.42200544950992913
23,699,0.4305462561963247
23,2934,0.5528408892566219
23,2943,0.4847266481024192
23,3070,0.5663217075577017
23,4662,0.46544691540363015
24,94,0.41814929718242033
24,155,0.4244718905286147
24,175,0.4870893020986042
24,819,0.4361544846520913
24,875,0.4256411754467605
24,968,0.4303670653404102
24,1228,0.419941596722057
24,8291,0.4211297849565343
25,100,0.40566876281582914
25,437,0.440373028854887
25,489,0.40480781957630707
25,989,0.4328050155660864
25,8980,0.4093485064232625
25,9328,0.41329551952882865
26,80,0.4153671381766905
26,114,0.44202130908584253
26,237,0.43236163093932545
26,372,0.40490729343498133
26,391,0.501960952336153
26,454,0.5770241160973237
26,462,0.4460294320980665
26,514,0.4382300506874583
26,520,0.40578275833447586
26,557,0.4775478059347112
26,566,0.49717682579704553
26,648,0.4029541499795957
26,664,0.5770241160973237
26,875,0.40857990078950424
26,1137,0.4335395890214612
26,1199,0.5787762426327039
26,1351,0.4714420996857291
26,9955,0.41472863462869614
27,51,0.4555215397241257
27,146,0.5124316768369891
27,175,0.49551138524061994
27,260,0.5067181205230068
27,284,0.49411121132294145
27,290,0.4602430506357181
27,302,0.43782425267896524
27,337,0.4033166517547915
27,382,0.4562708950856443
27,407,0.44111565433774075
27,408,0.4123271656983062
27,462,0.42067332274127245
27,551,0.40171343836205486
27,578,0.4142154013404243
27,624,0.4047886276892998
27,712,0.4058911712189467
27,723,0.4405754219545094
27,735,0.43600108876580285
27,800,0.4990958928485918
27,810,0.4082261484356822
27,828,0.47011553494485764
27,853,0.5104086337326464
27,875,0.44153201063312425
27,878,0.44178667432312313
27,895,0.4441385685611151
27,1072,0.4646896874985511
27,1220,0.45586860324723755
27,1228,0.41047888515628195
27,7713,0.4058134241453793
27,9047,0.42353107452678795
27,9405,0.4565492451579557
27,9955,0.40728083764685497
30,147,0.4450943768571607
30,215,0.415989702758073
30,675,0.4111228046470491
30,699,0.4185052243507106
33,359,0.4284955912589269
33,1197,0.46509712531037184
34,4234,0.6325235817831506
35,105,0.4469824714488235
35,188,0.4160320109331601
35,242,0.4325957362209219
35,254,0.5169317880682844
35,340,0.445525658691701
35,343,0.4051888765750028
35,348,0.4374181252079423
35,370,0.438033859456223
35,407,0.42004612062138563
35,437,0.4310539480884325
35,463,0.4599530492268308
35,483,0.4077350992366684
35,489,0.4574292159533096
35,540,0.4712575792758154
35,556,0.42070832673913366
35,624,0.4295073816160683
35,648,0.4003068886059995
35,659,0.4936705687204944
35,720,0.4713533213575063
35,737,0.41159037857505587
35,753,0.41067204466387425
35,788,0.4471147506868188
35,815,0.4730454688483301
35,817,0.46003137558049445
35,993,0.40227157099227207
35,1058,0.4193036251620812
35,1157,0.48461465998928804
35,1164,0.4271495910041013
35,1294,0.4842517076144067
35,2143,0.4723558156164303
35,2148,0.41095413479014614
35,6588,0.4045575390039526
38,4283,0.40215364352623617
40,6981,0.4327070404843208
43,7637,0.4424918060570897
46,554,0.4002568951406955
48,2733,0.46193480134433523
48,6203,0.5359712288129788
48,7520,0.6669462129541487
50,354,0.4233625786147743
51,100,0.4857570038854863
51,146,0.4117701080841834
51,239,0.4514700705673251
51,260,0.4472967805765583
51,284,0.4162683656369984
51,290,0.4750869359225168
51,337,0.40220191954873996
51,356,0.48367726936381034
51,407,0.40761027930822163
51,419,0.4027421570230454
51,462,0.4540561143706885
51,632,0.4572585276838313
51,735,0.5161714457155678
51,737,0.4505361584891378
51,800,0.5302794788683325
51,810,0.4047298888584444
51,817,0.40464494957551933
51,828,0.4672531260816341
51,853,0.4286494739995197
51,875,0.42214039766846234
51,878,0.4689262628294987
51,895,0.40204338398075284
51,993,0.4190245405001797
51,1063,0.41544179709631446
51,1072,0.4571350794749447
51,1146,0.436671885989239
51,1220,0.5876784894479885
51,1609,0.4173077098493546
51,1636,0.4189606515657113
51,9047,0.40953660132760655
51,9633,0.450050167685752
52,756,0.4150262372421947
54,155,0.4079188713469266
54,274,0.4364828814143312
54,819,0.4151645778005105
55,653,0.4169964759000428
56,7547,0.4462697829777854
59,165,0.4659406032438844
60,172,0.44329345883868626
61,1992,0.4280514208885331
61,2649,0.41014867926222276
61,4848,0.4260152478027686
61,5958,0.4538455083462527
61,8526,0.42232233593097424
63,301,0.4111652769622328
63,379,0.5066303305706853
63,562,0.4862085882223456
63,629,0.4081847736453041
63,754,0.441046881845795
63,868,0.44495787393310415
63,2813,0.4039217289212743
63,3005,0.4126111363846055
63,9501,0.4242106119406755
67,8539,0.4168992251028197
68,837,0.5443931442433831
68,1034,0.4090429925398444
68,1269,0.4128308624031022
68,1322,0.4023636844865989
68,1680,0.41181732271445903
68,1718,0.43817709039988145
68,1985,0.4052141953367514
69,301,0.43434691157869976
69,868,0.40881398936056357
74,603,0.6250154190457715
74,7692,0.8181180827681301
74,9205,0.765050138922916
76,7250,0.4712350665556551
77,175,0.4314154282637066
77,232,0.6840994146193196
77,239,0.4534947317729468
77,260,0.47438613101413907
77,337,0.4066692016108158
77,348,0.5607837087180598
77,427,0.5837034962501357
77,462,0.4183037886325655
77,542,0.4202463555776559
77,624,0.45220179672136795
77,743,0.40850513375508923
77,800,0.46258288512972234
77,817,0.628617328899026
77,878,0.4602059085628697
77,1072,0.40464100077276305
77,1158,0.4299413467184253
77,1209,0.42641381758932784
77,1220,0.4676832033427235
77,1609,0.41855625526230333
77,7713,0.4457715958885544
77,9068,0.4213145599540818
77,9090,0.4569840159137456
77,9405,0.4111143732303461
78,813,0.5884038990962818
78,3686,0.4563257849827721
78,3711,0.4563257849827721
78,4411,0.5242920571018976
78,6817,0.5972756301651568
79,91,0.6142630279286556
79,412,0.5566347615249836
79,454,0.6332289537183169
79,557,0.4255710335702063
79,664,0.6332289537183169
80,114,0.4078403003036549
80,137,0.43292549128114577
80,370,0.42600318395839587
80,391,0.41846571310777547
80,454,0.43095516887616087
80,521,0.42883346548739476
80,547,0.4054206080395726
80,554,0.401863110984886
80,566,0.45087892848044814
80,664,0.43095516887616087
80,810,0.42470212963773607
80,853,0.4190663987759993
80,1137,0.415640442451895
80,1199,0.45967140258048406
80,1228,0.40570695501029813
80,8291,0.41452118102839197
81,358,0.4736989056679028
81,391,0.4000954232589194
81,875,0.4187517234964551
81,895,0.4450296703565239
82,284,0.4206213644751511
82,605,0.43198530248262657
82,895,0.40251004723337086
82,1388,0.41377412942664377
85,1211,0.5608976252631567
85,2487,0.43411472290043895
85,2752,0.41161227931769484
85,4760,0.483073326880856
85,7493,0.45704258533901687
85,8621,0.43843107708863044
86,809,0.4289568275073584
87,4890,0.4185510108503933
91,454,0.41693412310123085
91,664,0.41693412310123085
92,163,0.45043822691806673
92,239,0.4417791726604515
92,437,0.4636993384438383
92,440,0.43236144893072836
92,547,0.4439781677060769
