source,target,weight
6,66,0.6089168447276418
6,375,0.45375021487265066
12,286,0.40699729694307957
33,273,0.4687903858046075
36,131,0.40174111684829517
37,100,0.4535323537472823
38,232,0.4053809435291793
46,296,0.40289220881837035
47,125,0.5261780377623696
54,142,0.43940239093113964
54,148,0.432371182155399
56,80,0.6588307187322665
66,177,0.4041298068596232
66,257,0.4341837238253071
66,324,0.6091039412611591
66,375,0.43712007228110084
67,118,0.40101037677517415
73,194,0.4118345982995305
85,296,0.7045615219180721
87,277,0.42930799433676425
87,278,0.42930799433676425
87,351,0.5885523606780363
90,142,0.47371535250197394
94,359,0.40678042210968757
102,131,0.40136639471648794
106,221,0.4178597867270396
107,149,0.4013027702155152
122,164,0.449645013476578
122,170,0.4682064959060824
131,136,0.40970774138298394
134,148,0.4847258143237083
141,282,0.5037262010263392
141,304,0.4095087263298368
145,232,0.4391730474011031
148,355,0.4039016963638404
152,229,0.504931400790323
158,212,0.4625904727029525
158,232,0.44742053082421207
164,170,0.5102925599564865
191,208,0.4016065975392738
219,232,0.4274783533900638
229,321,0.4712468799590463
229,387,0.4200055930014328
244,245,0.5543017138663302
245,258,0.4287545796514547
259,268,0.48953569616280573
265,267,0.45318486437957156
271,310,0.4100804790272434
277,278,1.0
282,304,0.47912654390333087
299,369,0.5617070877582893
301,365,0.41765337012750986
306,311,0.4607618436095223
333,335,0.9999999701976777
345,379,0.4316271835039704
376,387,0.5351854325314276
